,REF_DATE,GEO,Population,IND_VALUE,RATE,NewHomes,PopChange,PriceChange,PriceChangeR,Shortfall,ShortfallP
0,2001,"Calgary, Alberta",977775.0,43.74166666666667,4.244576494023904,11080,,,,,
1,2002,"Calgary, Alberta",1007032.0,46.041666666666664,2.438778486055777,12630,29257.0,2.299999999999997,1.3791666666666638,-3997.0,-0.39690893635951985
2,2003,"Calgary, Alberta",1028587.0,48.449999999999996,2.9329581673306775,14287,21555.0,2.4083333333333314,1.4393333333333316,7019.0,0.6823924471143423
3,2004,"Calgary, Alberta",1051686.0,51.13333333333333,2.2506337301587305,13014,23099.0,2.683333333333337,1.6606666666666705,2929.0,0.2785051812042758
4,2005,"Calgary, Alberta",1085764.0,54.68333333333334,2.638006,12814,34078.0,3.5500000000000043,2.4563333333333377,-8450.0,-0.7782538378505826
5,2006,"Calgary, Alberta",1124723.0,78.55833333333334,3.9940248,12690,38959.0,23.875,22.303833333333333,-13579.0,-1.2073194911102556
6,2007,"Calgary, Alberta",1155560.0,91.24166666666667,4.34051952191235,13112,30837.0,12.683333333333337,10.858500000000003,-4613.0,-0.3992003876908166
7,2008,"Calgary, Alberta",1187476.0,91.83333333333333,3.043022310756972,14195,31916.0,0.5916666666666544,-1.2450000000000123,-3526.0,-0.29693231694787936
8,2009,"Calgary, Alberta",1220700.0,85.70833333333333,0.4240816,8238,33224.0,-6.125,-7.839166666666666,-16748.0,-1.371999672319161
9,2010,"Calgary, Alberta",1240521.0,87.23333333333333,0.5850836,10991,19821.0,1.5250000000000057,-0.21966666666666113,2161.0,0.1742010010310184
10,2011,"Calgary, Alberta",1263935.0,87.10000000000001,0.9972819277108435,7689,23414.0,-0.13333333333332575,-1.875333333333326,-8036.0,-0.6357921886805888
11,2012,"Calgary, Alberta",1300292.0,88.55833333333334,1.0006468,9593,36357.0,1.4583333333333286,-0.3128333333333382,-17171.0,-1.320549538103749
12,2013,"Calgary, Alberta",1344686.0,93.30833333333334,1.0030124,12056,44394.0,4.75,2.8838333333333335,-20282.0,-1.5083075156579304
13,2014,"Calgary, Alberta",1386828.0,99.81666666666666,0.9997448000000001,13753,42142.0,6.508333333333326,4.5119999999999925,-14636.0,-1.0553579823885875
14,2015,"Calgary, Alberta",1414010.0,100.875,0.6488304,14543,27182.0,1.0583333333333371,-0.959166666666663,1904.0,0.13465251306567846
15,2016,"Calgary, Alberta",1438160.0,100.01666666666667,0.5007543999999999,13239,24150.0,-0.8583333333333343,-2.8586666666666676,2328.0,0.16187350503421039
16,2017,"Calgary, Alberta",1458336.0,100.03333333333335,0.6904273092369478,11014,20176.0,0.01666666666667993,-1.983999999999987,1852.0,0.12699405349658788
17,2018,"Calgary, Alberta",1483528.0,99.63333333333333,1.3982168,9732,25192.0,-0.4000000000000199,-2.3926666666666865,-5728.0,-0.38610663229814335
18,2019,"Calgary, Alberta",1514426.0,97.93333333333334,1.746866,11134,30898.0,-1.6999999999999886,-3.6586666666666554,-8630.0,-0.5698528683474795
19,2020,"Calgary, Alberta",1542956.0,96.88333333333333,0.5413509960159363,10705,28530.0,-1.0500000000000114,-2.9876666666666782,-7120.0,-0.46145191437733807
20,2021,"Calgary, Alberta",1558588.0,105.55833333333334,0.1864281124497992,10774,15632.0,8.675000000000011,6.563833333333345,5916.0,0.37957433266520724
21,2022,"Calgary, Alberta",1608342.0,122.79166666666667,1.8788707818930042,13641,49754.0,17.233333333333334,14.7775,-22472.0,-1.3972152688918154
