,REF_DATE,GEO,Population,IND_VALUE,RATE,NewHomes,PopChange,PriceChange,PriceChangeR,Shortfall,ShortfallP
0,2001,"Edmonton, Alberta",962390.0,51.208333333333336,4.244576494023904,7493,,,,,
1,2002,"Edmonton, Alberta",984764.0,54.916666666666664,2.438778486055777,8614,22374.0,3.7083333333333286,2.609999999999995,-5146.0,-0.5225617508357332
2,2003,"Edmonton, Alberta",1001160.0,58.083333333333336,2.9329581673306775,11587,16396.0,3.1666666666666714,2.0050000000000043,6778.0,0.6770146629909306
3,2004,"Edmonton, Alberta",1017462.0,60.55833333333334,2.2506337301587305,11980,16302.0,2.4750000000000014,1.2638333333333347,7658.0,0.7526571016902843
4,2005,"Edmonton, Alberta",1042421.0,64.51666666666667,2.638006,11290,24959.0,3.9583333333333286,2.6679999999999953,-2379.0,-0.2282187331222222
5,2006,"Edmonton, Alberta",1074031.0,83.13333333333334,3.9940248,12175,31610.0,18.616666666666674,16.954000000000008,-7260.0,-0.6759581427351724
6,2007,"Edmonton, Alberta",1104317.0,109.76666666666667,4.34051952191235,11839,30286.0,26.633333333333326,24.43799999999999,-6608.0,-0.5983789075057253
7,2008,"Edmonton, Alberta",1131781.0,110.88333333333333,3.043022310756972,11217,27464.0,1.11666666666666,-1.1010000000000066,-5030.0,-0.44443227090753423
8,2009,"Edmonton, Alberta",1163333.0,98.5,0.4240816,9232,31552.0,-12.383333333333326,-14.353333333333326,-13088.0,-1.125043302304671
9,2010,"Edmonton, Alberta",1183929.0,97.72500000000001,0.5850836,9443,20596.0,-0.7749999999999915,-2.729499999999992,-1710.0,-0.14443433685634866
10,2011,"Edmonton, Alberta",1205342.0,98.625,0.9972819277108435,8941,21413.0,0.8999999999999915,-1.0725000000000087,-3531.0,-0.29294590249074537
11,2012,"Edmonton, Alberta",1234307.0,99.54166666666667,1.0006468,10166,28965.0,0.9166666666666714,-1.074166666666662,-8633.0,-0.6994208085994813
12,2013,"Edmonton, Alberta",1271773.0,99.97500000000001,1.0030124,12659,37466.0,0.4333333333333371,-1.5661666666666632,-12148.0,-0.9552019110328651
13,2014,"Edmonton, Alberta",1312214.0,100.08333333333333,0.9997448000000001,13140,40441.0,0.10833333333332007,-1.8933333333333464,-14161.0,-1.0791684892860465
14,2015,"Edmonton, Alberta",1338092.0,100.49166666666667,0.6488304,16530,25878.0,0.40833333333334565,-1.6014999999999877,7182.0,0.5367343949444433
15,2016,"Edmonton, Alberta",1364394.0,100.27499999999999,0.5007543999999999,15123,26302.0,-0.21666666666668277,-2.222166666666683,3944.0,0.28906606156286235
16,2017,"Edmonton, Alberta",1390149.0,99.95,0.6904273092369478,10753,25755.0,-0.32499999999998863,-2.3239999999999887,-4249.0,-0.3056506892426639
17,2018,"Edmonton, Alberta",1415351.0,99.55,1.3982168,10091,25202.0,-0.4000000000000057,-2.3910000000000053,-5020.0,-0.35468233674897603
18,2019,"Edmonton, Alberta",1442835.0,98.28333333333335,1.746866,10384,27484.0,-1.2666666666666515,-3.2323333333333184,-6716.0,-0.4654724899243503
19,2020,"Edmonton, Alberta",1467219.0,97.64166666666667,0.5413509960159363,11363,24384.0,-0.6416666666666799,-2.5945000000000134,-1658.0,-0.11300289868111033
20,2021,"Edmonton, Alberta",1480159.0,102.10000000000001,0.1864281124497992,11277,12940.0,4.458333333333343,2.4163333333333425,9614.0,0.6495248145638408
21,2022,"Edmonton, Alberta",1516719.0,109.39999999999999,1.8788707818930042,11866,36560.0,7.299999999999983,5.111999999999983,-12828.0,-0.8457730139861109
