,0
0,"Toronto, Ontario"
1,"Montréal, Quebec"
2,"Vancouver, British Columbia"
3,"Ottawa-Gatineau, Ontario/Quebec"
4,"Calgary, Alberta"
5,"Edmonton, Alberta"
6,"Québec, Quebec"
7,"Winnipeg, Manitoba"
8,"Hamilton, Ontario"
9,"Kitchener-Cambridge-Waterloo, Ontario"
10,"London, Ontario"
11,"St. Catharines-Niagara, Ontario"
12,"Halifax, Nova Scotia"
13,"Oshawa, Ontario"
14,"Victoria, British Columbia"
15,"Windsor, Ontario"
16,"Saskatoon, Saskatchewan"
17,"Regina, Saskatchewan"
18,"Sherbrooke, Quebec"
19,"St. John's, Newfoundland and Labrador"
20,"Barrie, Ontario"
21,"Kelowna, British Columbia"
22,"Abbotsford-Mission, British Columbia"
23,"Greater Sudbury, Ontario"
24,"Kingston, Ontario"
25,"Saguenay, Quebec"
26,"Trois-Rivières, Quebec"
27,"Guelph, Ontario"
28,"Moncton, New Brunswick"
29,"Brantford, Ontario"
