,REF_DATE,GEO,New housing price indexes,UOM,VALUE
0,2001-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.5
1,2001-01-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.3
2,2001-01-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",58.6
3,2001-01-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
4,2001-01-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
5,2001-01-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",59.4
6,2001-01-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
7,2001-01-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",55.8
8,2001-01-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",60.4
9,2001-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",61.1
10,2001-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",66.4
11,2001-01-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
12,2001-01-01,"London, Ontario",Total (house and land),"Index, 201612=100",63.8
13,2001-01-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.8
14,2001-01-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.1
15,2001-01-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",45.8
16,2001-01-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",37.8
17,2001-01-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",46.7
18,2001-01-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.1
19,2001-01-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",50.5
20,2001-01-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
21,2001-01-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",72.7
22,2001-01-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.3
23,2001-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.5
24,2001-02-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.3
25,2001-02-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.0
26,2001-02-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
27,2001-02-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
28,2001-02-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",60.0
29,2001-02-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
30,2001-02-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",55.9
31,2001-02-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",60.6
32,2001-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",61.5
