,REF_DATE,VALUE
177685,2001-02,37
178225,2001-03,23
178765,2001-04,24
179305,2001-05,25
179845,2001-06,47
180385,2001-07,24
180925,2001-08,38
181465,2001-09,38
182005,2001-10,37
182545,2001-11,35
183085,2001-12,38
183625,2002-01,25
184165,2002-02,43
184705,2002-03,38
185245,2002-04,27
185785,2002-05,33
186325,2002-06,55
186865,2002-07,40
187405,2002-08,82
187945,2002-09,89
188485,2002-10,61
189025,2002-11,84
189565,2002-12,125
190105,2003-01,64
190645,2003-02,31
191185,2003-03,105
191725,2003-04,106
192265,2003-05,59
192805,2003-06,63
193345,2003-07,123
193885,2003-08,81
194425,2003-09,62
194965,2003-10,89
195505,2003-11,107
196045,2003-12,135
196585,2004-01,67
197125,2004-02,148
197665,2004-03,96
198205,2004-04,62
198745,2004-05,87
199285,2004-06,58
199825,2004-07,45
200365,2004-08,97
200905,2004-09,81
201445,2004-10,45
201985,2004-11,75
202525,2004-12,79
203065,2005-01,140
203605,2005-02,117
204145,2005-03,77
204685,2005-04,57
205225,2005-05,144
205765,2005-06,61
206305,2005-07,43
206845,2005-08,105
207385,2005-09,72
207925,2005-10,65
208465,2005-11,99
209005,2005-12,109
209545,2006-01,47
210085,2006-02,86
210625,2006-03,48
211165,2006-04,41
211705,2006-05,64
212245,2006-06,15
212785,2006-07,70
213325,2006-08,68
213865,2006-09,166
214405,2006-10,54
214945,2006-11,49
215485,2006-12,37
216025,2007-01,141
216565,2007-02,63
217105,2007-03,136
217645,2007-04,81
218185,2007-05,28
218725,2007-06,40
219265,2007-07,212
219805,2007-08,99
220345,2007-09,159
220885,2007-10,103
221425,2007-11,81
221965,2007-12,130
222505,2008-01,213
223045,2008-02,57
223585,2008-03,75
224125,2008-04,87
224665,2008-05,198
225205,2008-06,51
225745,2008-07,95
226285,2008-08,54
226825,2008-09,49
227365,2008-10,46
227905,2008-11,88
228445,2008-12,59
228985,2009-01,63
229525,2009-02,40
230065,2009-03,36
230605,2009-04,28
231145,2009-05,35
231685,2009-06,274
232225,2009-07,31
232765,2009-08,83
233305,2009-09,93
233845,2009-10,35
234385,2009-11,140
234925,2009-12,40
235465,2010-01,105
236005,2010-02,98
236545,2010-03,41
237085,2010-04,23
237625,2010-05,48
238165,2010-06,43
238705,2010-07,136
239245,2010-08,39
239785,2010-09,76
240325,2010-10,55
240865,2010-11,69
241405,2010-12,34
241945,2011-01,45
242485,2011-02,42
243025,2011-03,27
243565,2011-04,51
244105,2011-05,43
244645,2011-06,25
245185,2011-07,57
245725,2011-08,26
246265,2011-09,42
246805,2011-10,20
247345,2011-11,31
247885,2011-12,47
248425,2012-01,11
248965,2012-02,27
249505,2012-03,22
250045,2012-04,31
250585,2012-05,52
251125,2012-06,107
251665,2012-07,88
252205,2012-08,27
252745,2012-09,76
253285,2012-10,29
253825,2012-11,29
254365,2012-12,21
254905,2013-01,22
255445,2013-02,50
255985,2013-03,27
256525,2013-04,24
257065,2013-05,22
257605,2013-06,35
258145,2013-07,19
258685,2013-08,45
259225,2013-09,20
259765,2013-10,23
260305,2013-11,46
260845,2013-12,22
261385,2014-01,16
261925,2014-02,57
262465,2014-03,47
263005,2014-04,97
263545,2014-05,12
264085,2014-06,62
264625,2014-07,118
265165,2014-08,24
265705,2014-09,18
266245,2014-10,50
266785,2014-11,20
267325,2014-12,55
267865,2015-01,4
268405,2015-02,127
268945,2015-03,23
269485,2015-04,80
270025,2015-05,32
270565,2015-06,54
271105,2015-07,35
271645,2015-08,31
272185,2015-09,39
272725,2015-10,43
273265,2015-11,42
273805,2015-12,103
274345,2016-01,30
274885,2016-02,38
275425,2016-03,76
275965,2016-04,62
276505,2016-05,138
277045,2016-06,83
277585,2016-07,36
278125,2016-08,95
278665,2016-09,62
279205,2016-10,143
279745,2016-11,60
280285,2016-12,41
280825,2017-01,136
281365,2017-02,37
281905,2017-03,46
282445,2017-04,114
282985,2017-05,23
283525,2017-06,59
284065,2017-07,193
284605,2017-08,45
285145,2017-09,59
285685,2017-10,36
286225,2017-11,96
286765,2017-12,57
287305,2018-01,35
287845,2018-02,84
288385,2018-03,46
288925,2018-04,44
289465,2018-05,119
290005,2018-06,233
290545,2018-07,84
291085,2018-08,47
291625,2018-09,23
292165,2018-10,188
292705,2018-11,33
293245,2018-12,638
293785,2019-01,85
294325,2019-02,30
294865,2019-03,144
295405,2019-04,78
295945,2019-05,232
296485,2019-06,111
297025,2019-07,79
297565,2019-08,125
298105,2019-09,141
298645,2019-10,45
299185,2019-11,162
299725,2019-12,71
300265,2020-01,64
300805,2020-02,74
301345,2020-03,44
301885,2020-04,36
302425,2020-05,70
302965,2020-06,35
303505,2020-07,145
304045,2020-08,42
304585,2020-09,91
305125,2020-10,27
305665,2020-11,162
306205,2020-12,251
306745,2021-01,120
307285,2021-02,42
307825,2021-03,70
308365,2021-04,73
308905,2021-05,220
309445,2021-06,205
309985,2021-07,40
310525,2021-08,113
311065,2021-09,78
311605,2021-10,107
312145,2021-11,116
312685,2021-12,384
313225,2022-01,74
313765,2022-02,54
314305,2022-03,60
314845,2022-04,124
315385,2022-05,53
315925,2022-06,104
316465,2022-07,65
317005,2022-08,63
317545,2022-09,40
318085,2022-10,121
318625,2022-11,76
319165,2022-12,53
