,REF_DATE,VALUE
177700,2001-02,116
178240,2001-03,117
178780,2001-04,148
179320,2001-05,137
179860,2001-06,169
180400,2001-07,404
180940,2001-08,256
181480,2001-09,330
182020,2001-10,232
182560,2001-11,206
183100,2001-12,188
183640,2002-01,207
184180,2002-02,196
184720,2002-03,144
185260,2002-04,121
185800,2002-05,154
186340,2002-06,195
186880,2002-07,285
187420,2002-08,310
187960,2002-09,252
188500,2002-10,261
189040,2002-11,238
189580,2002-12,200
190120,2003-01,198
190660,2003-02,143
191200,2003-03,162
191740,2003-04,192
192280,2003-05,177
192820,2003-06,196
193360,2003-07,302
193900,2003-08,222
194440,2003-09,254
194980,2003-10,240
195520,2003-11,233
196060,2003-12,149
196600,2004-01,133
197140,2004-02,102
197680,2004-03,163
198220,2004-04,188
198760,2004-05,245
199300,2004-06,190
199840,2004-07,200
200380,2004-08,294
200920,2004-09,237
201460,2004-10,223
202000,2004-11,163
202540,2004-12,176
203080,2005-01,199
203620,2005-02,125
204160,2005-03,202
204700,2005-04,165
205240,2005-05,148
205780,2005-06,197
206320,2005-07,110
206860,2005-08,151
207400,2005-09,188
207940,2005-10,182
208480,2005-11,110
209020,2005-12,68
209560,2006-01,83
210100,2006-02,63
210640,2006-03,132
211180,2006-04,51
211720,2006-05,265
212260,2006-06,59
212800,2006-07,75
213340,2006-08,89
213880,2006-09,129
214420,2006-10,137
214960,2006-11,46
215500,2006-12,109
216040,2007-01,157
216580,2007-02,52
217120,2007-03,98
217660,2007-04,81
218200,2007-05,104
218740,2007-06,32
219280,2007-07,49
219820,2007-08,106
220360,2007-09,70
220900,2007-10,54
221440,2007-11,206
221980,2007-12,59
222520,2008-01,104
223060,2008-02,49
223600,2008-03,47
224140,2008-04,102
224680,2008-05,91
225220,2008-06,78
225760,2008-07,92
226300,2008-08,121
226840,2008-09,94
227380,2008-10,95
227920,2008-11,101
228460,2008-12,30
229000,2009-01,49
229540,2009-02,34
230080,2009-03,81
230620,2009-04,47
231160,2009-05,25
231700,2009-06,57
232240,2009-07,31
232780,2009-08,53
233320,2009-09,35
233860,2009-10,208
234400,2009-11,43
234940,2009-12,65
235480,2010-01,19
236020,2010-02,44
236560,2010-03,47
237100,2010-04,182
237640,2010-05,118
238180,2010-06,22
238720,2010-07,50
239260,2010-08,50
239800,2010-09,107
240340,2010-10,35
240880,2010-11,43
241420,2010-12,35
241960,2011-01,66
242500,2011-02,39
243040,2011-03,24
243580,2011-04,53
244120,2011-05,157
244660,2011-06,57
245200,2011-07,42
245740,2011-08,54
246280,2011-09,48
246820,2011-10,43
247360,2011-11,33
247900,2011-12,148
248440,2012-01,24
248980,2012-02,16
249520,2012-03,45
250060,2012-04,16
250600,2012-05,19
251140,2012-06,38
251680,2012-07,42
252220,2012-08,69
252760,2012-09,38
253300,2012-10,58
253840,2012-11,44
254380,2012-12,74
254920,2013-01,160
255460,2013-02,58
256000,2013-03,140
256540,2013-04,61
257080,2013-05,177
257620,2013-06,30
258160,2013-07,76
258700,2013-08,31
259240,2013-09,34
259780,2013-10,29
260320,2013-11,87
260860,2013-12,91
261400,2014-01,25
261940,2014-02,122
262480,2014-03,217
263020,2014-04,61
263560,2014-05,53
264100,2014-06,79
264640,2014-07,73
265180,2014-08,48
265720,2014-09,61
266260,2014-10,59
266800,2014-11,25
267340,2014-12,35
267880,2015-01,31
268420,2015-02,64
268960,2015-03,37
269500,2015-04,110
270040,2015-05,40
270580,2015-06,178
271120,2015-07,63
271660,2015-08,92
272200,2015-09,103
272740,2015-10,61
273280,2015-11,154
273820,2015-12,74
274360,2016-01,58
274900,2016-02,86
275440,2016-03,70
275980,2016-04,29
276520,2016-05,89
277060,2016-06,76
277600,2016-07,48
278140,2016-08,50
278680,2016-09,146
279220,2016-10,58
279760,2016-11,97
280300,2016-12,150
280840,2017-01,83
281380,2017-02,53
281920,2017-03,48
282460,2017-04,156
283000,2017-05,59
283540,2017-06,104
284080,2017-07,254
284620,2017-08,59
285160,2017-09,251
285700,2017-10,75
286240,2017-11,34
286780,2017-12,121
287320,2018-01,44
287860,2018-02,243
288400,2018-03,335
288940,2018-04,107
289480,2018-05,46
290020,2018-06,118
290560,2018-07,168
291100,2018-08,106
291640,2018-09,248
292180,2018-10,113
292720,2018-11,69
293260,2018-12,122
293800,2019-01,48
294340,2019-02,59
294880,2019-03,130
295420,2019-04,124
295960,2019-05,65
296500,2019-06,118
297040,2019-07,127
297580,2019-08,52
298120,2019-09,79
298660,2019-10,32
299200,2019-11,116
299740,2019-12,65
300280,2020-01,89
300820,2020-02,27
301360,2020-03,50
301900,2020-04,37
302440,2020-05,37
302980,2020-06,69
303520,2020-07,23
304060,2020-08,32
304600,2020-09,63
305140,2020-10,238
305680,2020-11,102
306220,2020-12,77
306760,2021-01,35
307300,2021-02,161
307840,2021-03,40
308380,2021-04,168
308920,2021-05,56
309460,2021-06,44
310000,2021-07,49
310540,2021-08,83
311080,2021-09,46
311620,2021-10,45
312160,2021-11,51
312700,2021-12,28
313240,2022-01,19
313780,2022-02,102
314320,2022-03,39
314860,2022-04,55
315400,2022-05,75
315940,2022-06,275
316480,2022-07,164
317020,2022-08,32
317560,2022-09,135
318100,2022-10,87
318640,2022-11,74
319180,2022-12,152
