,REF_DATE,VALUE
177715,2001-02,8
178255,2001-03,48
178795,2001-04,42
179335,2001-05,49
179875,2001-06,27
180415,2001-07,0
180955,2001-08,66
181495,2001-09,53
182035,2001-10,60
182575,2001-11,70
183115,2001-12,36
183655,2002-01,14
184195,2002-02,0
184735,2002-03,65
185275,2002-04,83
185815,2002-05,55
186355,2002-06,67
186895,2002-07,20
187435,2002-08,74
187975,2002-09,34
188515,2002-10,38
189055,2002-11,51
189595,2002-12,37
190135,2003-01,35
190675,2003-02,35
191215,2003-03,11
191755,2003-04,96
192295,2003-05,72
192835,2003-06,20
193375,2003-07,49
193915,2003-08,47
194455,2003-09,29
194995,2003-10,28
195535,2003-11,21
196075,2003-12,16
196615,2004-01,60
197155,2004-02,26
197695,2004-03,54
198235,2004-04,41
198775,2004-05,32
199315,2004-06,62
199855,2004-07,20
200395,2004-08,0
200935,2004-09,69
201475,2004-10,89
202015,2004-11,68
202555,2004-12,21
203095,2005-01,12
203635,2005-02,22
204175,2005-03,10
204715,2005-04,73
205255,2005-05,32
205795,2005-06,44
206335,2005-07,21
206875,2005-08,39
207415,2005-09,42
207955,2005-10,30
208495,2005-11,72
209035,2005-12,78
209575,2006-01,32
210115,2006-02,20
210655,2006-03,14
211195,2006-04,32
211735,2006-05,51
212275,2006-06,16
212815,2006-07,31
213355,2006-08,74
213895,2006-09,54
214435,2006-10,81
214975,2006-11,37
215515,2006-12,44
216055,2007-01,24
216595,2007-02,46
217135,2007-03,19
217675,2007-04,39
218215,2007-05,25
218755,2007-06,67
219295,2007-07,30
219835,2007-08,13
220375,2007-09,55
220915,2007-10,28
221455,2007-11,47
221995,2007-12,91
222535,2008-01,38
223075,2008-02,59
223615,2008-03,30
224155,2008-04,37
224695,2008-05,60
225235,2008-06,53
225775,2008-07,25
226315,2008-08,23
226855,2008-09,57
227395,2008-10,56
227935,2008-11,53
228475,2008-12,32
229015,2009-01,50
229555,2009-02,27
230095,2009-03,8
230635,2009-04,36
231175,2009-05,91
231715,2009-06,36
232255,2009-07,14
232795,2009-08,7
233335,2009-09,20
233875,2009-10,12
234415,2009-11,30
234955,2009-12,45
235495,2010-01,19
236035,2010-02,26
236575,2010-03,25
237115,2010-04,21
237655,2010-05,35
238195,2010-06,19
238735,2010-07,33
239275,2010-08,28
239815,2010-09,16
240355,2010-10,19
240895,2010-11,29
241435,2010-12,118
241975,2011-01,33
242515,2011-02,23
243055,2011-03,19
243595,2011-04,15
244135,2011-05,42
244675,2011-06,38
245215,2011-07,35
245755,2011-08,24
246295,2011-09,30
246835,2011-10,33
247375,2011-11,21
247915,2011-12,37
248455,2012-01,9
248995,2012-02,14
249535,2012-03,44
250075,2012-04,37
250615,2012-05,8
251155,2012-06,69
251695,2012-07,25
252235,2012-08,96
252775,2012-09,22
253315,2012-10,23
253855,2012-11,51
254395,2012-12,39
254935,2013-01,35
255475,2013-02,26
256015,2013-03,13
256555,2013-04,13
257095,2013-05,65
257635,2013-06,33
258175,2013-07,51
258715,2013-08,24
259255,2013-09,29
259795,2013-10,45
260335,2013-11,16
260875,2013-12,77
261415,2014-01,38
261955,2014-02,22
262495,2014-03,7
263035,2014-04,26
263575,2014-05,21
264115,2014-06,39
264655,2014-07,39
265195,2014-08,42
265735,2014-09,20
266275,2014-10,41
266815,2014-11,79
267355,2014-12,37
267895,2015-01,41
268435,2015-02,2
268975,2015-03,46
269515,2015-04,15
270055,2015-05,56
270595,2015-06,29
271135,2015-07,41
271675,2015-08,54
272215,2015-09,82
272755,2015-10,22
273295,2015-11,168
273835,2015-12,38
274375,2016-01,31
274915,2016-02,41
275455,2016-03,36
275995,2016-04,25
276535,2016-05,25
277075,2016-06,26
277615,2016-07,43
278155,2016-08,17
278695,2016-09,38
279235,2016-10,63
279775,2016-11,26
280315,2016-12,31
280855,2017-01,177
281395,2017-02,26
281935,2017-03,10
282475,2017-04,12
283015,2017-05,39
283555,2017-06,25
284095,2017-07,43
284635,2017-08,19
285175,2017-09,15
285715,2017-10,35
286255,2017-11,14
286795,2017-12,15
287335,2018-01,38
287875,2018-02,11
288415,2018-03,36
288955,2018-04,72
289495,2018-05,32
290035,2018-06,52
290575,2018-07,57
291115,2018-08,38
291655,2018-09,30
292195,2018-10,33
292735,2018-11,58
293275,2018-12,101
293815,2019-01,57
294355,2019-02,30
294895,2019-03,48
295435,2019-04,32
295975,2019-05,37
296515,2019-06,32
297055,2019-07,22
297595,2019-08,28
298135,2019-09,33
298675,2019-10,29
299215,2019-11,75
299755,2019-12,88
300295,2020-01,86
300835,2020-02,63
301375,2020-03,88
301915,2020-04,40
302455,2020-05,68
302995,2020-06,77
303535,2020-07,93
304075,2020-08,59
304615,2020-09,55
305155,2020-10,29
305695,2020-11,45
306235,2020-12,125
306775,2021-01,89
307315,2021-02,79
307855,2021-03,72
308395,2021-04,146
308935,2021-05,121
309475,2021-06,50
310015,2021-07,55
310555,2021-08,61
311095,2021-09,192
311635,2021-10,50
312175,2021-11,70
312715,2021-12,113
313255,2022-01,171
313795,2022-02,189
314335,2022-03,118
314875,2022-04,128
315415,2022-05,113
315955,2022-06,60
316495,2022-07,90
317035,2022-08,42
317575,2022-09,53
318115,2022-10,109
318655,2022-11,61
319195,2022-12,71
