,REF_DATE,VALUE
177730,2001-02,995
178270,2001-03,592
178810,2001-04,1092
179350,2001-05,699
179890,2001-06,1026
180430,2001-07,959
180970,2001-08,803
181510,2001-09,1205
182050,2001-10,823
182590,2001-11,775
183130,2001-12,914
183670,2002-01,926
184210,2002-02,897
184750,2002-03,1131
185290,2002-04,774
185830,2002-05,1035
186370,2002-06,1240
186910,2002-07,786
187450,2002-08,1407
187990,2002-09,1234
188530,2002-10,1037
189070,2002-11,941
189610,2002-12,1222
190150,2003-01,1018
190690,2003-02,1515
191230,2003-03,951
191770,2003-04,894
192310,2003-05,1231
192850,2003-06,1143
193390,2003-07,1244
193930,2003-08,1368
194470,2003-09,1418
195010,2003-10,1079
195550,2003-11,1109
196090,2003-12,1317
196630,2004-01,1119
197170,2004-02,1110
197710,2004-03,783
198250,2004-04,973
198790,2004-05,1056
199330,2004-06,920
199870,2004-07,919
200410,2004-08,1414
200950,2004-09,1032
201490,2004-10,1231
202030,2004-11,1457
202570,2004-12,1000
203110,2005-01,882
203650,2005-02,849
204190,2005-03,671
204730,2005-04,1254
205270,2005-05,1327
205810,2005-06,1007
206350,2005-07,1310
206890,2005-08,1170
207430,2005-09,1430
207970,2005-10,1410
208510,2005-11,743
209050,2005-12,761
209590,2006-01,612
210130,2006-02,767
210670,2006-03,1175
211210,2006-04,829
211750,2006-05,1247
212290,2006-06,1005
212830,2006-07,1002
213370,2006-08,1083
213910,2006-09,1098
214450,2006-10,1201
214990,2006-11,1056
215530,2006-12,1615
216070,2007-01,967
216610,2007-02,1070
217150,2007-03,685
217690,2007-04,1022
218230,2007-05,1694
218770,2007-06,1338
219310,2007-07,1184
219850,2007-08,1127
220390,2007-09,979
220930,2007-10,1030
221470,2007-11,963
222010,2007-12,1053
222550,2008-01,1505
223090,2008-02,1582
223630,2008-03,1032
224170,2008-04,1089
224710,2008-05,1270
225250,2008-06,940
225790,2008-07,877
226330,2008-08,1408
226870,2008-09,1020
227410,2008-10,1838
227950,2008-11,807
228490,2008-12,827
229030,2009-01,732
229570,2009-02,619
230110,2009-03,667
230650,2009-04,554
231190,2009-05,676
231730,2009-06,910
232270,2009-07,826
232810,2009-08,443
233350,2009-09,936
233890,2009-10,568
234430,2009-11,781
234970,2009-12,526
235510,2010-01,293
236050,2010-02,1100
236590,2010-03,822
237130,2010-04,651
237670,2010-05,640
238210,2010-06,1244
238750,2010-07,1405
239290,2010-08,1181
239830,2010-09,685
240370,2010-10,942
240910,2010-11,1229
241450,2010-12,799
241990,2011-01,514
242530,2011-02,633
243070,2011-03,409
243610,2011-04,638
244150,2011-05,590
244690,2011-06,603
245230,2011-07,460
245770,2011-08,811
246310,2011-09,721
246850,2011-10,732
247390,2011-11,779
247930,2011-12,799
248470,2012-01,637
249010,2012-02,590
249550,2012-03,815
250090,2012-04,698
250630,2012-05,649
251170,2012-06,1116
251710,2012-07,833
252250,2012-08,815
252790,2012-09,770
253330,2012-10,1020
253870,2012-11,817
254410,2012-12,833
254950,2013-01,581
255490,2013-02,908
256030,2013-03,740
256570,2013-04,938
257110,2013-05,1142
257650,2013-06,1656
258190,2013-07,850
258730,2013-08,884
259270,2013-09,1046
259810,2013-10,1410
260350,2013-11,1152
260890,2013-12,749
261430,2014-01,1789
261970,2014-02,865
262510,2014-03,1128
263050,2014-04,1763
263590,2014-05,720
264130,2014-06,881
264670,2014-07,919
265210,2014-08,1145
265750,2014-09,980
266290,2014-10,1401
266830,2014-11,1062
267370,2014-12,1100
267910,2015-01,627
268450,2015-02,1008
268990,2015-03,1504
269530,2015-04,1553
270070,2015-05,1137
270610,2015-06,1282
271150,2015-07,863
271690,2015-08,1621
272230,2015-09,1250
272770,2015-10,1231
273310,2015-11,1453
273850,2015-12,1014
274390,2016-01,780
274930,2016-02,977
275470,2016-03,835
276010,2016-04,1498
276550,2016-05,696
277090,2016-06,1766
277630,2016-07,1015
278170,2016-08,949
278710,2016-09,1207
279250,2016-10,1334
279790,2016-11,1487
280330,2016-12,695
280870,2017-01,692
281410,2017-02,1139
281950,2017-03,1236
282490,2017-04,841
283030,2017-05,718
283570,2017-06,695
284110,2017-07,661
284650,2017-08,655
285190,2017-09,1014
285730,2017-10,464
286270,2017-11,1538
286810,2017-12,1361
287350,2018-01,592
287890,2018-02,850
288430,2018-03,715
288970,2018-04,723
289510,2018-05,920
290050,2018-06,616
290590,2018-07,461
291130,2018-08,1099
291670,2018-09,924
292210,2018-10,1010
292750,2018-11,979
293290,2018-12,843
293830,2019-01,1037
294370,2019-02,562
294910,2019-03,896
295450,2019-04,653
295990,2019-05,988
296530,2019-06,1048
297070,2019-07,1347
297610,2019-08,1118
298150,2019-09,657
298690,2019-10,1061
299230,2019-11,661
299770,2019-12,1106
300310,2020-01,847
300850,2020-02,888
301390,2020-03,739
301930,2020-04,897
302470,2020-05,609
303010,2020-06,828
303550,2020-07,635
304090,2020-08,1305
304630,2020-09,1246
305170,2020-10,946
305710,2020-11,978
306250,2020-12,787
306790,2021-01,509
307330,2021-02,455
307870,2021-03,755
308410,2021-04,1034
308950,2021-05,749
309490,2021-06,1266
310030,2021-07,874
310570,2021-08,988
311110,2021-09,868
311650,2021-10,798
312190,2021-11,1092
312730,2021-12,1386
313270,2022-01,855
313810,2022-02,889
314350,2022-03,923
314890,2022-04,900
315430,2022-05,1277
315970,2022-06,1379
316510,2022-07,892
317050,2022-08,1950
317590,2022-09,1230
318130,2022-10,954
318670,2022-11,1118
319210,2022-12,1274
