,REF_DATE,VALUE
177745,2001-02,741
178285,2001-03,398
178825,2001-04,474
179365,2001-05,693
179905,2001-06,594
180445,2001-07,500
180985,2001-08,752
181525,2001-09,669
182065,2001-10,1006
182605,2001-11,515
183145,2001-12,700
183685,2002-01,435
184225,2002-02,730
184765,2002-03,441
185305,2002-04,486
185845,2002-05,571
186385,2002-06,939
186925,2002-07,581
187465,2002-08,763
188005,2002-09,729
188545,2002-10,1132
189085,2002-11,877
189625,2002-12,930
190165,2003-01,701
190705,2003-02,624
191245,2003-03,714
191785,2003-04,925
192325,2003-05,1571
192865,2003-06,1005
193405,2003-07,971
193945,2003-08,987
194485,2003-09,1244
195025,2003-10,1061
195565,2003-11,801
196105,2003-12,983
196645,2004-01,665
197185,2004-02,695
197725,2004-03,800
198265,2004-04,735
198805,2004-05,906
199345,2004-06,1052
199885,2004-07,732
200425,2004-08,1259
200965,2004-09,1108
201505,2004-10,1627
202045,2004-11,1003
202585,2004-12,1398
203125,2005-01,748
203665,2005-02,764
204205,2005-03,1002
204745,2005-04,772
205285,2005-05,1325
205825,2005-06,857
206365,2005-07,730
206905,2005-08,1226
207445,2005-09,1041
207985,2005-10,1138
208525,2005-11,882
209065,2005-12,805
209605,2006-01,803
210145,2006-02,596
210685,2006-03,1158
211225,2006-04,946
211765,2006-05,1122
212305,2006-06,1339
212845,2006-07,1043
213385,2006-08,855
213925,2006-09,1463
214465,2006-10,976
215005,2006-11,897
215545,2006-12,977
216085,2007-01,1374
216625,2007-02,962
217165,2007-03,998
217705,2007-04,684
218245,2007-05,996
218785,2007-06,1117
219325,2007-07,956
219865,2007-08,853
220405,2007-09,989
220945,2007-10,971
221485,2007-11,923
222025,2007-12,1016
222565,2008-01,744
223105,2008-02,1033
223645,2008-03,1082
224185,2008-04,982
224725,2008-05,1022
225265,2008-06,1067
225805,2008-07,1154
226345,2008-08,1062
226885,2008-09,916
227425,2008-10,895
227965,2008-11,808
228505,2008-12,452
229045,2009-01,1028
229585,2009-02,862
230125,2009-03,395
230665,2009-04,401
231205,2009-05,523
231745,2009-06,774
232285,2009-07,747
232825,2009-08,1604
233365,2009-09,1049
233905,2009-10,558
234445,2009-11,502
234985,2009-12,789
235525,2010-01,804
236065,2010-02,583
236605,2010-03,549
237145,2010-04,555
237685,2010-05,708
238225,2010-06,1030
238765,2010-07,829
239305,2010-08,953
239845,2010-09,676
240385,2010-10,805
240925,2010-11,792
241465,2010-12,1159
242005,2011-01,689
242545,2011-02,1057
243085,2011-03,643
243625,2011-04,683
244165,2011-05,567
244705,2011-06,758
245245,2011-07,766
245785,2011-08,672
246325,2011-09,766
246865,2011-10,739
247405,2011-11,733
247945,2011-12,868
248485,2012-01,712
249025,2012-02,714
249565,2012-03,804
250105,2012-04,569
250645,2012-05,975
251185,2012-06,1005
251725,2012-07,915
252265,2012-08,1248
252805,2012-09,639
253345,2012-10,1005
253885,2012-11,827
254425,2012-12,753
254965,2013-01,1037
255505,2013-02,1014
256045,2013-03,933
256585,2013-04,1083
257125,2013-05,999
257665,2013-06,1048
258205,2013-07,918
258745,2013-08,1080
259285,2013-09,853
259825,2013-10,862
260365,2013-11,1527
260905,2013-12,1305
261445,2014-01,1128
261985,2014-02,952
262525,2014-03,772
263065,2014-04,1162
263605,2014-05,721
264145,2014-06,1400
264685,2014-07,1359
265225,2014-08,1155
265765,2014-09,824
266305,2014-10,915
266845,2014-11,1551
267385,2014-12,1201
267925,2015-01,719
268465,2015-02,1510
269005,2015-03,1572
269545,2015-04,920
270085,2015-05,1294
270625,2015-06,1519
271165,2015-07,1686
271705,2015-08,1436
272245,2015-09,1644
272785,2015-10,1173
273325,2015-11,1695
273865,2015-12,1362
274405,2016-01,1191
274945,2016-02,1282
275485,2016-03,1241
276025,2016-04,1540
276565,2016-05,1145
277105,2016-06,1341
277645,2016-07,1281
278185,2016-08,1606
278725,2016-09,1509
279265,2016-10,903
279805,2016-11,1114
280345,2016-12,970
280885,2017-01,953
281425,2017-02,1010
281965,2017-03,511
282505,2017-04,1050
283045,2017-05,971
283585,2017-06,947
284125,2017-07,1436
284665,2017-08,695
285205,2017-09,579
285745,2017-10,890
286285,2017-11,791
286825,2017-12,920
287365,2018-01,730
287905,2018-02,1032
288445,2018-03,574
288985,2018-04,748
289525,2018-05,584
290065,2018-06,1001
290605,2018-07,952
291145,2018-08,1009
291685,2018-09,798
292225,2018-10,737
292765,2018-11,839
293305,2018-12,1087
293845,2019-01,1337
294385,2019-02,928
294925,2019-03,826
295465,2019-04,572
296005,2019-05,594
296545,2019-06,871
297085,2019-07,815
297625,2019-08,732
298165,2019-09,993
298705,2019-10,1142
299245,2019-11,906
299785,2019-12,668
300325,2020-01,697
300865,2020-02,665
301405,2020-03,602
301945,2020-04,826
302485,2020-05,691
303025,2020-06,1376
303565,2020-07,1648
304105,2020-08,1116
304645,2020-09,808
305185,2020-10,1062
305725,2020-11,971
306265,2020-12,901
306805,2021-01,882
307345,2021-02,487
307885,2021-03,886
308425,2021-04,1185
308965,2021-05,1264
309505,2021-06,888
310045,2021-07,1075
310585,2021-08,719
311125,2021-09,1521
311665,2021-10,917
312205,2021-11,548
312745,2021-12,905
313285,2022-01,1252
313825,2022-02,583
314365,2022-03,785
314905,2022-04,1202
315445,2022-05,818
315985,2022-06,911
316525,2022-07,1214
317065,2022-08,887
317605,2022-09,905
318145,2022-10,1005
318685,2022-11,1088
319225,2022-12,1216
