,REF_DATE,VALUE
177775,2001-02,70
178315,2001-03,68
178855,2001-04,93
179395,2001-05,85
179935,2001-06,93
180475,2001-07,91
181015,2001-08,126
181555,2001-09,113
182095,2001-10,71
182635,2001-11,87
183175,2001-12,60
183715,2002-01,38
184255,2002-02,45
184795,2002-03,180
185335,2002-04,82
185875,2002-05,148
186415,2002-06,80
186955,2002-07,91
187495,2002-08,118
188035,2002-09,106
188575,2002-10,107
189115,2002-11,88
189655,2002-12,108
190195,2003-01,48
190735,2003-02,81
191275,2003-03,60
191815,2003-04,84
192355,2003-05,84
192895,2003-06,75
193435,2003-07,126
193975,2003-08,176
194515,2003-09,91
195055,2003-10,87
195595,2003-11,65
196135,2003-12,80
196675,2004-01,48
197215,2004-02,82
197755,2004-03,42
198295,2004-04,94
198835,2004-05,54
199375,2004-06,68
199915,2004-07,176
200455,2004-08,116
200995,2004-09,191
201535,2004-10,110
202075,2004-11,103
202615,2004-12,94
203155,2005-01,63
203695,2005-02,79
204235,2005-03,60
204775,2005-04,50
205315,2005-05,84
205855,2005-06,60
206395,2005-07,104
206935,2005-08,104
207475,2005-09,135
208015,2005-10,133
208555,2005-11,83
209095,2005-12,129
209635,2006-01,53
210175,2006-02,53
210715,2006-03,43
211255,2006-04,73
211795,2006-05,109
212335,2006-06,149
212875,2006-07,88
213415,2006-08,87
213955,2006-09,72
214495,2006-10,80
215035,2006-11,43
215575,2006-12,66
216115,2007-01,36
216655,2007-02,31
217195,2007-03,44
217735,2007-04,35
218275,2007-05,76
218815,2007-06,115
219355,2007-07,114
219895,2007-08,96
220435,2007-09,145
220975,2007-10,87
221515,2007-11,70
222055,2007-12,86
222595,2008-01,58
223135,2008-02,46
223675,2008-03,92
224215,2008-04,48
224755,2008-05,47
225295,2008-06,59
225835,2008-07,55
226375,2008-08,88
226915,2008-09,117
227455,2008-10,53
227995,2008-11,66
228535,2008-12,40
229075,2009-01,28
229615,2009-02,102
230155,2009-03,38
230695,2009-04,43
231235,2009-05,92
231775,2009-06,120
232315,2009-07,26
232855,2009-08,49
233395,2009-09,45
233935,2009-10,129
234475,2009-11,89
235015,2009-12,37
235555,2010-01,42
236095,2010-02,39
236635,2010-03,46
237175,2010-04,56
237715,2010-05,61
238255,2010-06,85
238795,2010-07,102
239335,2010-08,50
239875,2010-09,93
240415,2010-10,76
240955,2010-11,49
241495,2010-12,146
242035,2011-01,48
242575,2011-02,53
243115,2011-03,58
243655,2011-04,47
244195,2011-05,26
244735,2011-06,27
245275,2011-07,131
245815,2011-08,61
246355,2011-09,122
246895,2011-10,62
247435,2011-11,47
247975,2011-12,76
248515,2012-01,47
249055,2012-02,17
249595,2012-03,26
250135,2012-04,106
250675,2012-05,44
251215,2012-06,28
251755,2012-07,94
252295,2012-08,48
252835,2012-09,72
253375,2012-10,33
253915,2012-11,51
254455,2012-12,38
254995,2013-01,30
255535,2013-02,18
256075,2013-03,21
256615,2013-04,49
257155,2013-05,138
257695,2013-06,42
258235,2013-07,55
258775,2013-08,103
259315,2013-09,59
259855,2013-10,49
260395,2013-11,6
260935,2013-12,113
261475,2014-01,50
262015,2014-02,40
262555,2014-03,36
263095,2014-04,34
263635,2014-05,19
264175,2014-06,43
264715,2014-07,149
265255,2014-08,54
265795,2014-09,127
266335,2014-10,26
266875,2014-11,71
267415,2014-12,42
267955,2015-01,59
268495,2015-02,37
269035,2015-03,168
269575,2015-04,23
270115,2015-05,162
270655,2015-06,46
271195,2015-07,56
271735,2015-08,92
272275,2015-09,214
272815,2015-10,58
273355,2015-11,106
273895,2015-12,108
274435,2016-01,32
274975,2016-02,38
275515,2016-03,43
276055,2016-04,45
276595,2016-05,131
277135,2016-06,64
277675,2016-07,84
278215,2016-08,55
278755,2016-09,56
279295,2016-10,133
279835,2016-11,69
280375,2016-12,166
280915,2017-01,216
281455,2017-02,68
281995,2017-03,45
282535,2017-04,78
283075,2017-05,67
283615,2017-06,161
284155,2017-07,74
284695,2017-08,125
285235,2017-09,145
285775,2017-10,41
286315,2017-11,136
286855,2017-12,110
287395,2018-01,20
287935,2018-02,132
288475,2018-03,266
289015,2018-04,168
289555,2018-05,30
290095,2018-06,94
290635,2018-07,17
291175,2018-08,209
291715,2018-09,70
292255,2018-10,165
292795,2018-11,19
293335,2018-12,12
293875,2019-01,82
294415,2019-02,21
294955,2019-03,80
295495,2019-04,98
296035,2019-05,209
296575,2019-06,26
297115,2019-07,22
297655,2019-08,30
298195,2019-09,96
298735,2019-10,37
299275,2019-11,49
299815,2019-12,147
300355,2020-01,40
300895,2020-02,208
301435,2020-03,44
301975,2020-04,60
302515,2020-05,37
303055,2020-06,52
303595,2020-07,15
304135,2020-08,52
304675,2020-09,26
305215,2020-10,199
305755,2020-11,24
306295,2020-12,29
306835,2021-01,198
307375,2021-02,31
307915,2021-03,185
308455,2021-04,18
308995,2021-05,32
309535,2021-06,34
310075,2021-07,35
310615,2021-08,56
311155,2021-09,134
311695,2021-10,69
312235,2021-11,76
312775,2021-12,31
313315,2022-01,15
313855,2022-02,16
314395,2022-03,16
314935,2022-04,20
315475,2022-05,23
316015,2022-06,15
316555,2022-07,23
317095,2022-08,22
317635,2022-09,124
318175,2022-10,40
318715,2022-11,181
319255,2022-12,38
