,REF_DATE,VALUE
177790,2001-02,58
178330,2001-03,219
178870,2001-04,347
179410,2001-05,99
179950,2001-06,103
180490,2001-07,248
181030,2001-08,168
181570,2001-09,407
182110,2001-10,145
182650,2001-11,227
183190,2001-12,187
183730,2002-01,198
184270,2002-02,352
184810,2002-03,214
185350,2002-04,121
185890,2002-05,146
186430,2002-06,297
186970,2002-07,115
187510,2002-08,233
188050,2002-09,255
188590,2002-10,264
189130,2002-11,119
189670,2002-12,274
190210,2003-01,114
190750,2003-02,273
191290,2003-03,227
191830,2003-04,107
192370,2003-05,171
192910,2003-06,204
193450,2003-07,336
193990,2003-08,294
194530,2003-09,507
195070,2003-10,218
195610,2003-11,471
196150,2003-12,205
196690,2004-01,133
197230,2004-02,73
197770,2004-03,374
198310,2004-04,265
198850,2004-05,111
199390,2004-06,184
199930,2004-07,245
200470,2004-08,118
201010,2004-09,273
201550,2004-10,352
202090,2004-11,267
202630,2004-12,493
203170,2005-01,86
203710,2005-02,156
204250,2005-03,118
204790,2005-04,131
205330,2005-05,127
205870,2005-06,114
206410,2005-07,146
206950,2005-08,152
207490,2005-09,239
208030,2005-10,367
208570,2005-11,376
209110,2005-12,229
209650,2006-01,169
210190,2006-02,114
210730,2006-03,159
211270,2006-04,302
211810,2006-05,102
212350,2006-06,118
212890,2006-07,160
213430,2006-08,192
213970,2006-09,175
214510,2006-10,244
215050,2006-11,203
215590,2006-12,153
216130,2007-01,193
216670,2007-02,81
217210,2007-03,78
217750,2007-04,86
218290,2007-05,174
218830,2007-06,82
219370,2007-07,199
219910,2007-08,217
220450,2007-09,186
220990,2007-10,311
221530,2007-11,150
222070,2007-12,392
222610,2008-01,75
223150,2008-02,390
223690,2008-03,194
224230,2008-04,94
224770,2008-05,78
225310,2008-06,138
225850,2008-07,185
226390,2008-08,127
226930,2008-09,259
227470,2008-10,379
228010,2008-11,466
228550,2008-12,208
229090,2009-01,159
229630,2009-02,183
230170,2009-03,74
230710,2009-04,205
231250,2009-05,240
231790,2009-06,118
232330,2009-07,148
232870,2009-08,65
233410,2009-09,193
233950,2009-10,361
234490,2009-11,122
235030,2009-12,203
235570,2010-01,114
236110,2010-02,110
236650,2010-03,78
237190,2010-04,187
237730,2010-05,87
238270,2010-06,188
238810,2010-07,138
239350,2010-08,183
239890,2010-09,391
240430,2010-10,337
240970,2010-11,101
241510,2010-12,130
242050,2011-01,49
242590,2011-02,79
243130,2011-03,128
243670,2011-04,152
244210,2011-05,126
244750,2011-06,86
245290,2011-07,285
245830,2011-08,107
246370,2011-09,175
246910,2011-10,316
247450,2011-11,221
247990,2011-12,186
248530,2012-01,75
249070,2012-02,160
249610,2012-03,165
250150,2012-04,91
250690,2012-05,103
251230,2012-06,242
251770,2012-07,213
252310,2012-08,314
252850,2012-09,116
253390,2012-10,107
253930,2012-11,213
254470,2012-12,357
255010,2013-01,274
255550,2013-02,62
256090,2013-03,88
256630,2013-04,61
257170,2013-05,212
257710,2013-06,535
258250,2013-07,18
258790,2013-08,107
259330,2013-09,927
259870,2013-10,171
260410,2013-11,342
260950,2013-12,560
261490,2014-01,195
262030,2014-02,77
262570,2014-03,96
263110,2014-04,219
263650,2014-05,40
264190,2014-06,65
264730,2014-07,244
265270,2014-08,39
265810,2014-09,411
266350,2014-10,42
266890,2014-11,49
267430,2014-12,373
267970,2015-01,431
268510,2015-02,94
269050,2015-03,144
269590,2015-04,103
270130,2015-05,53
270670,2015-06,86
271210,2015-07,90
271750,2015-08,28
272290,2015-09,366
272830,2015-10,140
273370,2015-11,58
273910,2015-12,81
274450,2016-01,168
274990,2016-02,22
275530,2016-03,96
276070,2016-04,25
276610,2016-05,303
277150,2016-06,139
277690,2016-07,190
278230,2016-08,43
278770,2016-09,98
279310,2016-10,240
279850,2016-11,172
280390,2016-12,532
280930,2017-01,174
281470,2017-02,71
282010,2017-03,305
282550,2017-04,49
283090,2017-05,165
283630,2017-06,343
284170,2017-07,38
284710,2017-08,346
285250,2017-09,190
285790,2017-10,185
286330,2017-11,148
286870,2017-12,366
287410,2018-01,381
287950,2018-02,72
288490,2018-03,128
289030,2018-04,139
289570,2018-05,163
290110,2018-06,431
290650,2018-07,93
291190,2018-08,97
291730,2018-09,208
292270,2018-10,71
292810,2018-11,58
293350,2018-12,405
293890,2019-01,181
294430,2019-02,166
294970,2019-03,182
295510,2019-04,342
296050,2019-05,95
296590,2019-06,337
297130,2019-07,152
297670,2019-08,21
298210,2019-09,224
298750,2019-10,472
299290,2019-11,227
299830,2019-12,269
300370,2020-01,101
300910,2020-02,111
301450,2020-03,274
301990,2020-04,78
302530,2020-05,107
303070,2020-06,566
303610,2020-07,243
304150,2020-08,123
304690,2020-09,352
305230,2020-10,182
305770,2020-11,101
306310,2020-12,538
306850,2021-01,46
307390,2021-02,343
307930,2021-03,272
308470,2021-04,307
309010,2021-05,250
309550,2021-06,301
310090,2021-07,134
310630,2021-08,215
311170,2021-09,257
311710,2021-10,110
312250,2021-11,202
312790,2021-12,513
313330,2022-01,73
313870,2022-02,334
314410,2022-03,76
314950,2022-04,161
315490,2022-05,74
316030,2022-06,189
316570,2022-07,395
317110,2022-08,121
317650,2022-09,520
318190,2022-10,256
318730,2022-11,762
319270,2022-12,100
