,REF_DATE,VALUE
177805,2001-02,221
178345,2001-03,181
178885,2001-04,232
179425,2001-05,309
179965,2001-06,421
180505,2001-07,254
181045,2001-08,233
181585,2001-09,224
182125,2001-10,438
182665,2001-11,270
183205,2001-12,219
183745,2002-01,299
184285,2002-02,156
184825,2002-03,253
185365,2002-04,378
185905,2002-05,191
186445,2002-06,300
186985,2002-07,359
187525,2002-08,321
188065,2002-09,293
188605,2002-10,441
189145,2002-11,354
189685,2002-12,276
190225,2003-01,239
190765,2003-02,148
191305,2003-03,350
191845,2003-04,162
192385,2003-05,323
192925,2003-06,238
193465,2003-07,175
194005,2003-08,394
194545,2003-09,158
195085,2003-10,494
195625,2003-11,281
196165,2003-12,341
196705,2004-01,161
197245,2004-02,182
197785,2004-03,233
198325,2004-04,140
198865,2004-05,249
199405,2004-06,187
199945,2004-07,454
200485,2004-08,323
201025,2004-09,313
201565,2004-10,373
202105,2004-11,372
202645,2004-12,246
203185,2005-01,190
203725,2005-02,227
204265,2005-03,171
204805,2005-04,180
205345,2005-05,326
205885,2005-06,327
206425,2005-07,198
206965,2005-08,286
207505,2005-09,252
208045,2005-10,281
208585,2005-11,191
209125,2005-12,213
209665,2006-01,230
210205,2006-02,270
210745,2006-03,226
211285,2006-04,299
211825,2006-05,324
212365,2006-06,382
212905,2006-07,244
213445,2006-08,414
213985,2006-09,245
214525,2006-10,345
215065,2006-11,162
215605,2006-12,206
216145,2007-01,298
216685,2007-02,238
217225,2007-03,239
217765,2007-04,282
218305,2007-05,276
218845,2007-06,199
219385,2007-07,256
219925,2007-08,214
220465,2007-09,362
221005,2007-10,271
221545,2007-11,387
222085,2007-12,287
222625,2008-01,185
223165,2008-02,238
223705,2008-03,180
224245,2008-04,200
224785,2008-05,270
225325,2008-06,261
225865,2008-07,253
226405,2008-08,200
226945,2008-09,243
227485,2008-10,264
228025,2008-11,219
228565,2008-12,204
229105,2009-01,170
229645,2009-02,167
230185,2009-03,159
230725,2009-04,235
231265,2009-05,319
231805,2009-06,238
232345,2009-07,139
232885,2009-08,245
233425,2009-09,246
233965,2009-10,409
234505,2009-11,210
235045,2009-12,184
235585,2010-01,180
236125,2010-02,174
236665,2010-03,269
237205,2010-04,173
237745,2010-05,287
238285,2010-06,460
238825,2010-07,268
239365,2010-08,240
239905,2010-09,191
240445,2010-10,220
240985,2010-11,435
241525,2010-12,281
242065,2011-01,176
242605,2011-02,160
243145,2011-03,216
243685,2011-04,226
244225,2011-05,170
244765,2011-06,224
245305,2011-07,250
245845,2011-08,185
246385,2011-09,181
246925,2011-10,449
247465,2011-11,224
248005,2011-12,256
248545,2012-01,223
249085,2012-02,190
249625,2012-03,154
250165,2012-04,251
250705,2012-05,163
251245,2012-06,376
251785,2012-07,304
252325,2012-08,187
252865,2012-09,415
253405,2012-10,286
253945,2012-11,202
254485,2012-12,418
255025,2013-01,117
255565,2013-02,347
256105,2013-03,132
256645,2013-04,145
257185,2013-05,161
257725,2013-06,164
258265,2013-07,133
258805,2013-08,120
259345,2013-09,364
259885,2013-10,182
260425,2013-11,286
260965,2013-12,208
261505,2014-01,173
262045,2014-02,79
262585,2014-03,212
263125,2014-04,123
263665,2014-05,302
264205,2014-06,185
264745,2014-07,313
265285,2014-08,105
265825,2014-09,115
266365,2014-10,343
266905,2014-11,405
267445,2014-12,280
267985,2015-01,290
268525,2015-02,278
269065,2015-03,179
269605,2015-04,82
270145,2015-05,468
270685,2015-06,299
271225,2015-07,169
271765,2015-08,216
272305,2015-09,223
272845,2015-10,169
273385,2015-11,121
273925,2015-12,228
274465,2016-01,148
275005,2016-02,166
275545,2016-03,112
276085,2016-04,134
276625,2016-05,135
277165,2016-06,139
277705,2016-07,160
278245,2016-08,239
278785,2016-09,147
279325,2016-10,356
279865,2016-11,224
280405,2016-12,115
280945,2017-01,363
281485,2017-02,226
282025,2017-03,128
282565,2017-04,117
283105,2017-05,244
283645,2017-06,206
284185,2017-07,202
284725,2017-08,183
285265,2017-09,142
285805,2017-10,289
286345,2017-11,174
286885,2017-12,234
287425,2018-01,70
287965,2018-02,99
288505,2018-03,257
289045,2018-04,177
289585,2018-05,182
290125,2018-06,290
290665,2018-07,166
291205,2018-08,65
291745,2018-09,267
292285,2018-10,173
292825,2018-11,488
293365,2018-12,270
293905,2019-01,225
294445,2019-02,252
294985,2019-03,338
295525,2019-04,358
296065,2019-05,94
296605,2019-06,335
297145,2019-07,108
297685,2019-08,226
298225,2019-09,102
298765,2019-10,156
299305,2019-11,128
299845,2019-12,219
300385,2020-01,168
300925,2020-02,342
301465,2020-03,179
302005,2020-04,540
302545,2020-05,109
303085,2020-06,89
303625,2020-07,375
304165,2020-08,159
304705,2020-09,119
305245,2020-10,400
305785,2020-11,225
306325,2020-12,266
306865,2021-01,198
307405,2021-02,271
307945,2021-03,334
308485,2021-04,257
309025,2021-05,125
309565,2021-06,112
310105,2021-07,220
310645,2021-08,67
311185,2021-09,219
311725,2021-10,256
312265,2021-11,216
312805,2021-12,728
313345,2022-01,107
313885,2022-02,161
314425,2022-03,110
314965,2022-04,88
315505,2022-05,384
316045,2022-06,92
316585,2022-07,132
317125,2022-08,514
317665,2022-09,94
318205,2022-10,673
318745,2022-11,291
319285,2022-12,517
