,REF_DATE,VALUE
177820,2001-02,26
178360,2001-03,32
178900,2001-04,121
179440,2001-05,55
179980,2001-06,53
180520,2001-07,50
181060,2001-08,135
181600,2001-09,56
182140,2001-10,72
182680,2001-11,58
183220,2001-12,86
183760,2002-01,61
184300,2002-02,33
184840,2002-03,40
185380,2002-04,127
185920,2002-05,215
186460,2002-06,87
187000,2002-07,96
187540,2002-08,173
188080,2002-09,86
188620,2002-10,80
189160,2002-11,229
189700,2002-12,104
190240,2003-01,68
190780,2003-02,125
191320,2003-03,54
191860,2003-04,310
192400,2003-05,99
192940,2003-06,133
193480,2003-07,170
194020,2003-08,160
194560,2003-09,109
195100,2003-10,138
195640,2003-11,136
196180,2003-12,179
196720,2004-01,100
197260,2004-02,120
197800,2004-03,154
198340,2004-04,157
198880,2004-05,160
199420,2004-06,140
199960,2004-07,178
200500,2004-08,155
201040,2004-09,136
201580,2004-10,153
202120,2004-11,198
202660,2004-12,133
203200,2005-01,114
203740,2005-02,139
204280,2005-03,124
204820,2005-04,136
205360,2005-05,302
205900,2005-06,154
206440,2005-07,200
206980,2005-08,179
207520,2005-09,201
208060,2005-10,127
208600,2005-11,98
209140,2005-12,162
209680,2006-01,95
210220,2006-02,180
210760,2006-03,228
211300,2006-04,140
211840,2006-05,202
212380,2006-06,182
212920,2006-07,311
213460,2006-08,253
214000,2006-09,177
214540,2006-10,223
215080,2006-11,193
215620,2006-12,145
216160,2007-01,124
216700,2007-02,143
217240,2007-03,75
217780,2007-04,271
218320,2007-05,97
218860,2007-06,125
219400,2007-07,95
219940,2007-08,235
220480,2007-09,403
221020,2007-10,268
221560,2007-11,82
222100,2007-12,97
222640,2008-01,170
223180,2008-02,205
223720,2008-03,73
224260,2008-04,399
224800,2008-05,237
225340,2008-06,383
225880,2008-07,234
226420,2008-08,237
226960,2008-09,417
227500,2008-10,518
228040,2008-11,83
228580,2008-12,186
229120,2009-01,257
229660,2009-02,73
230200,2009-03,161
230740,2009-04,279
231280,2009-05,196
231820,2009-06,264
232360,2009-07,137
232900,2009-08,156
233440,2009-09,134
233980,2009-10,67
234520,2009-11,170
235060,2009-12,48
235600,2010-01,121
236140,2010-02,56
236680,2010-03,244
237220,2010-04,288
237760,2010-05,58
238300,2010-06,71
238840,2010-07,102
239380,2010-08,122
239920,2010-09,82
240460,2010-10,123
241000,2010-11,69
241540,2010-12,117
242080,2011-01,59
242620,2011-02,104
243160,2011-03,49
243700,2011-04,161
244240,2011-05,58
244780,2011-06,67
245320,2011-07,56
245860,2011-08,96
246400,2011-09,74
246940,2011-10,157
247480,2011-11,80
248020,2011-12,156
248560,2012-01,71
249100,2012-02,62
249640,2012-03,102
250180,2012-04,53
250720,2012-05,134
251260,2012-06,38
251800,2012-07,75
252340,2012-08,76
252880,2012-09,152
253420,2012-10,67
253960,2012-11,59
254500,2012-12,82
255040,2013-01,68
255580,2013-02,66
256120,2013-03,49
256660,2013-04,45
257200,2013-05,145
257740,2013-06,51
258280,2013-07,124
258820,2013-08,92
259360,2013-09,57
259900,2013-10,62
260440,2013-11,117
260980,2013-12,98
261520,2014-01,105
262060,2014-02,59
262600,2014-03,44
263140,2014-04,55
263680,2014-05,79
264220,2014-06,76
264760,2014-07,66
265300,2014-08,76
265840,2014-09,117
266380,2014-10,90
266920,2014-11,108
267460,2014-12,178
268000,2015-01,74
268540,2015-02,158
269080,2015-03,28
269620,2015-04,64
270160,2015-05,130
270700,2015-06,68
271240,2015-07,76
271780,2015-08,79
272320,2015-09,87
272860,2015-10,163
273400,2015-11,114
273940,2015-12,77
274480,2016-01,117
275020,2016-02,151
275560,2016-03,138
276100,2016-04,93
276640,2016-05,132
277180,2016-06,117
277720,2016-07,69
278260,2016-08,124
278800,2016-09,298
279340,2016-10,238
279880,2016-11,222
280420,2016-12,84
280960,2017-01,146
281500,2017-02,67
282040,2017-03,63
282580,2017-04,55
283120,2017-05,83
283660,2017-06,165
284200,2017-07,116
284740,2017-08,125
285280,2017-09,304
285820,2017-10,167
286360,2017-11,123
286900,2017-12,84
287440,2018-01,71
287980,2018-02,130
288520,2018-03,286
289060,2018-04,251
289600,2018-05,317
290140,2018-06,178
290680,2018-07,126
291220,2018-08,52
291760,2018-09,51
292300,2018-10,334
292840,2018-11,286
293380,2018-12,269
293920,2019-01,432
294460,2019-02,453
295000,2019-03,848
295540,2019-04,281
296080,2019-05,149
296620,2019-06,354
297160,2019-07,219
297700,2019-08,69
298240,2019-09,52
298780,2019-10,235
299320,2019-11,210
299860,2019-12,120
300400,2020-01,105
300940,2020-02,91
301480,2020-03,193
302020,2020-04,79
302560,2020-05,556
303100,2020-06,141
303640,2020-07,114
304180,2020-08,128
304720,2020-09,243
305260,2020-10,420
305800,2020-11,153
306340,2020-12,0
306880,2021-01,100
307420,2021-02,228
307960,2021-03,100
308500,2021-04,314
309040,2021-05,105
309580,2021-06,255
310120,2021-07,166
310660,2021-08,315
311200,2021-09,150
311740,2021-10,133
312280,2021-11,65
312820,2021-12,209
313360,2022-01,215
313900,2022-02,99
314440,2022-03,235
314980,2022-04,108
315520,2022-05,136
316060,2022-06,159
316600,2022-07,355
317140,2022-08,448
317680,2022-09,95
318220,2022-10,258
318760,2022-11,117
319300,2022-12,167
