,REF_DATE,VALUE
177835,2001-02,18
178375,2001-03,35
178915,2001-04,47
179455,2001-05,27
179995,2001-06,35
180535,2001-07,41
181075,2001-08,132
181615,2001-09,66
182155,2001-10,84
182695,2001-11,75
183235,2001-12,38
183775,2002-01,52
184315,2002-02,59
184855,2002-03,44
185395,2002-04,28
185935,2002-05,31
186475,2002-06,42
187015,2002-07,78
187555,2002-08,183
188095,2002-09,87
188635,2002-10,95
189175,2002-11,84
189715,2002-12,60
190255,2003-01,43
190795,2003-02,47
191335,2003-03,55
191875,2003-04,58
192415,2003-05,61
192955,2003-06,48
193495,2003-07,71
194035,2003-08,79
194575,2003-09,107
195115,2003-10,119
195655,2003-11,87
196195,2003-12,62
196735,2004-01,37
197275,2004-02,67
197815,2004-03,68
198355,2004-04,15
198895,2004-05,22
199435,2004-06,129
199975,2004-07,84
200515,2004-08,83
201055,2004-09,43
201595,2004-10,70
202135,2004-11,70
202675,2004-12,89
203215,2005-01,60
203755,2005-02,340
204295,2005-03,31
204835,2005-04,30
205375,2005-05,67
205915,2005-06,41
206455,2005-07,69
206995,2005-08,29
207535,2005-09,211
208075,2005-10,92
208615,2005-11,53
209155,2005-12,63
209695,2006-01,37
210235,2006-02,59
210775,2006-03,47
211315,2006-04,27
211855,2006-05,44
212395,2006-06,83
212935,2006-07,27
213475,2006-08,81
214015,2006-09,76
214555,2006-10,44
215095,2006-11,66
215635,2006-12,40
216175,2007-01,199
216715,2007-02,32
217255,2007-03,44
217795,2007-04,28
218335,2007-05,37
218875,2007-06,63
219415,2007-07,60
219955,2007-08,12
220495,2007-09,85
221035,2007-10,30
221575,2007-11,103
222115,2007-12,83
222655,2008-01,54
223195,2008-02,63
223735,2008-03,72
224275,2008-04,43
224815,2008-05,58
225355,2008-06,62
225895,2008-07,60
226435,2008-08,168
226975,2008-09,166
227515,2008-10,59
228055,2008-11,39
228595,2008-12,224
229135,2009-01,36
229675,2009-02,33
230215,2009-03,70
230755,2009-04,49
231295,2009-05,29
231835,2009-06,18
232375,2009-07,38
232915,2009-08,48
233455,2009-09,46
233995,2009-10,29
234535,2009-11,29
235075,2009-12,93
235615,2010-01,38
236155,2010-02,18
236695,2010-03,53
237235,2010-04,81
237775,2010-05,43
238315,2010-06,40
238855,2010-07,138
239395,2010-08,16
239935,2010-09,318
240475,2010-10,39
241015,2010-11,63
241555,2010-12,48
242095,2011-01,41
242635,2011-02,41
243175,2011-03,31
243715,2011-04,49
244255,2011-05,17
244795,2011-06,116
245335,2011-07,41
245875,2011-08,48
246415,2011-09,24
246955,2011-10,62
247495,2011-11,58
248035,2011-12,80
248575,2012-01,35
249115,2012-02,46
249655,2012-03,118
250195,2012-04,19
250735,2012-05,27
251275,2012-06,54
251815,2012-07,202
252355,2012-08,36
252895,2012-09,52
253435,2012-10,101
253975,2012-11,45
254515,2012-12,67
255055,2013-01,18
255595,2013-02,33
256135,2013-03,42
256675,2013-04,33
257215,2013-05,140
257755,2013-06,27
258295,2013-07,38
258835,2013-08,52
259375,2013-09,131
259915,2013-10,29
260455,2013-11,31
260995,2013-12,236
261535,2014-01,13
262075,2014-02,36
262615,2014-03,18
263155,2014-04,28
263695,2014-05,69
264235,2014-06,20
264775,2014-07,20
265315,2014-08,54
265855,2014-09,60
266395,2014-10,129
266935,2014-11,318
267475,2014-12,45
268015,2015-01,17
268555,2015-02,17
269095,2015-03,28
269635,2015-04,41
270175,2015-05,33
270715,2015-06,34
271255,2015-07,14
271795,2015-08,48
272335,2015-09,32
272875,2015-10,147
273415,2015-11,38
273955,2015-12,195
274495,2016-01,4
275035,2016-02,8
275575,2016-03,47
276115,2016-04,109
276655,2016-05,30
277195,2016-06,41
277735,2016-07,36
278275,2016-08,67
278815,2016-09,159
279355,2016-10,82
279895,2016-11,27
280435,2016-12,19
280975,2017-01,28
281515,2017-02,15
282055,2017-03,49
282595,2017-04,24
283135,2017-05,41
283675,2017-06,32
284215,2017-07,40
284755,2017-08,50
285295,2017-09,29
285835,2017-10,27
286375,2017-11,29
286915,2017-12,69
287455,2018-01,26
287995,2018-02,23
288535,2018-03,36
289075,2018-04,37
289615,2018-05,48
290155,2018-06,34
290695,2018-07,48
291235,2018-08,224
291775,2018-09,80
292315,2018-10,43
292855,2018-11,6
293395,2018-12,36
293935,2019-01,138
294475,2019-02,31
295015,2019-03,55
295555,2019-04,65
296095,2019-05,28
296635,2019-06,41
297175,2019-07,203
297715,2019-08,18
298255,2019-09,151
298795,2019-10,112
299335,2019-11,52
299875,2019-12,47
300415,2020-01,29
300955,2020-02,54
301495,2020-03,40
302035,2020-04,57
302575,2020-05,76
303115,2020-06,200
303655,2020-07,221
304195,2020-08,8
304735,2020-09,41
305275,2020-10,43
305815,2020-11,40
306355,2020-12,50
306895,2021-01,18
307435,2021-02,26
307975,2021-03,37
308515,2021-04,37
309055,2021-05,39
309595,2021-06,65
310135,2021-07,46
310675,2021-08,53
311215,2021-09,62
311755,2021-10,78
312295,2021-11,42
312835,2021-12,72
313375,2022-01,663
313915,2022-02,38
314455,2022-03,54
314995,2022-04,18
315535,2022-05,136
316075,2022-06,217
316615,2022-07,17
317155,2022-08,45
317695,2022-09,66
318235,2022-10,233
318775,2022-11,128
319315,2022-12,199
