,REF_DATE,VALUE
177865,2001-02,61
178405,2001-03,85
178945,2001-04,93
179485,2001-05,160
180025,2001-06,238
180565,2001-07,176
181105,2001-08,156
181645,2001-09,208
182185,2001-10,149
182725,2001-11,166
183265,2001-12,204
183805,2002-01,94
184345,2002-02,119
184885,2002-03,147
185425,2002-04,121
185965,2002-05,167
186505,2002-06,199
187045,2002-07,223
187585,2002-08,210
188125,2002-09,260
188665,2002-10,217
189205,2002-11,193
189745,2002-12,193
190285,2003-01,153
190825,2003-02,138
191365,2003-03,136
191905,2003-04,108
192445,2003-05,154
192985,2003-06,225
193525,2003-07,240
194065,2003-08,185
194605,2003-09,233
195145,2003-10,208
195685,2003-11,232
196225,2003-12,160
196765,2004-01,110
197305,2004-02,147
197845,2004-03,183
198385,2004-04,127
198925,2004-05,592
199465,2004-06,374
200005,2004-07,406
200545,2004-08,222
201085,2004-09,346
201625,2004-10,261
202165,2004-11,393
202705,2004-12,277
203245,2005-01,145
203785,2005-02,172
204325,2005-03,397
204865,2005-04,181
205405,2005-05,210
205945,2005-06,193
206485,2005-07,398
207025,2005-08,271
207565,2005-09,278
208105,2005-10,177
208645,2005-11,379
209185,2005-12,260
209725,2006-01,169
210265,2006-02,289
210805,2006-03,191
211345,2006-04,164
211885,2006-05,258
212425,2006-06,222
212965,2006-07,356
213505,2006-08,215
214045,2006-09,256
214585,2006-10,267
215125,2006-11,240
215665,2006-12,160
216205,2007-01,176
216745,2007-02,173
217285,2007-03,158
217825,2007-04,365
218365,2007-05,151
218905,2007-06,436
219445,2007-07,444
219985,2007-08,226
220525,2007-09,276
221065,2007-10,392
221605,2007-11,213
222145,2007-12,179
222685,2008-01,173
223225,2008-02,120
223765,2008-03,436
224305,2008-04,179
224845,2008-05,174
225385,2008-06,538
225925,2008-07,153
226465,2008-08,200
227005,2008-09,236
227545,2008-10,223
228085,2008-11,168
228625,2008-12,540
229165,2009-01,64
229705,2009-02,174
230245,2009-03,127
230785,2009-04,84
231325,2009-05,216
231865,2009-06,114
232405,2009-07,82
232945,2009-08,199
233485,2009-09,82
234025,2009-10,141
234565,2009-11,130
235105,2009-12,97
235645,2010-01,310
236185,2010-02,93
236725,2010-03,113
237265,2010-04,564
237805,2010-05,149
238345,2010-06,210
238885,2010-07,179
239425,2010-08,125
239965,2010-09,142
240505,2010-10,162
241045,2010-11,386
241585,2010-12,274
242125,2011-01,282
242665,2011-02,80
243205,2011-03,84
243745,2011-04,136
244285,2011-05,395
244825,2011-06,155
245365,2011-07,258
245905,2011-08,132
246445,2011-09,136
246985,2011-10,159
247525,2011-11,151
248065,2011-12,134
248605,2012-01,76
249145,2012-02,112
249685,2012-03,96
250225,2012-04,108
250765,2012-05,132
251305,2012-06,104
251845,2012-07,133
252385,2012-08,212
252925,2012-09,145
253465,2012-10,144
254005,2012-11,157
254545,2012-12,248
255085,2013-01,88
255625,2013-02,92
256165,2013-03,38
256705,2013-04,106
257245,2013-05,131
257785,2013-06,394
258325,2013-07,107
258865,2013-08,172
259405,2013-09,412
259945,2013-10,125
260485,2013-11,151
261025,2013-12,135
261565,2014-01,86
262105,2014-02,79
262645,2014-03,92
263185,2014-04,128
263725,2014-05,114
264265,2014-06,125
264805,2014-07,127
265345,2014-08,110
265885,2014-09,162
266425,2014-10,401
266965,2014-11,125
267505,2014-12,462
268045,2015-01,55
268585,2015-02,67
269125,2015-03,127
269665,2015-04,42
270205,2015-05,141
270745,2015-06,88
271285,2015-07,200
271825,2015-08,274
272365,2015-09,153
272905,2015-10,194
273445,2015-11,447
273985,2015-12,149
274525,2016-01,557
275065,2016-02,76
275605,2016-03,276
276145,2016-04,140
276685,2016-05,133
277225,2016-06,439
277765,2016-07,206
278305,2016-08,141
278845,2016-09,202
279385,2016-10,390
279925,2016-11,176
280465,2016-12,176
281005,2017-01,130
281545,2017-02,71
282085,2017-03,127
282625,2017-04,150
283165,2017-05,122
283705,2017-06,537
284245,2017-07,128
284785,2017-08,259
285325,2017-09,206
285865,2017-10,176
286405,2017-11,241
286945,2017-12,210
287485,2018-01,323
288025,2018-02,157
288565,2018-03,172
289105,2018-04,151
289645,2018-05,614
290185,2018-06,212
290725,2018-07,426
291265,2018-08,560
291805,2018-09,230
292345,2018-10,422
292885,2018-11,236
293425,2018-12,210
293965,2019-01,188
294505,2019-02,239
295045,2019-03,143
295585,2019-04,145
296125,2019-05,200
296665,2019-06,140
297205,2019-07,181
297745,2019-08,169
298285,2019-09,397
298825,2019-10,358
299365,2019-11,258
299905,2019-12,213
300445,2020-01,449
300985,2020-02,366
301525,2020-03,146
302065,2020-04,104
302605,2020-05,234
303145,2020-06,204
303685,2020-07,307
304225,2020-08,166
304765,2020-09,603
305305,2020-10,258
305845,2020-11,179
306385,2020-12,124
306925,2021-01,220
307465,2021-02,405
308005,2021-03,157
308545,2021-04,181
309085,2021-05,544
309625,2021-06,392
310165,2021-07,396
310705,2021-08,274
311245,2021-09,212
311785,2021-10,550
312325,2021-11,267
312865,2021-12,217
313405,2022-01,162
313945,2022-02,344
314485,2022-03,219
315025,2022-04,346
315565,2022-05,73
316105,2022-06,482
316645,2022-07,361
317185,2022-08,233
317725,2022-09,210
318265,2022-10,194
318805,2022-11,324
319345,2022-12,382
