,REF_DATE,VALUE
177670,2001-02,7191
178210,2001-03,6280
178750,2001-04,8794
179290,2001-05,7757
179830,2001-06,9390
180370,2001-07,11207
180910,2001-08,11079
181450,2001-09,11438
181990,2001-10,10626
182530,2001-11,10071
183070,2001-12,8235
183610,2002-01,9225
184150,2002-02,8763
184690,2002-03,9041
185230,2002-04,8323
185770,2002-05,9784
186310,2002-06,11816
186850,2002-07,12549
187390,2002-08,14656
187930,2002-09,12307
188470,2002-10,12999
189010,2002-11,12275
189550,2002-12,13657
190090,2003-01,9630
190630,2003-02,9084
191170,2003-03,9187
191710,2003-04,11173
192250,2003-05,12632
192790,2003-06,13437
193330,2003-07,13936
193870,2003-08,12675
194410,2003-09,14138
194950,2003-10,14386
195490,2003-11,11831
196030,2003-12,13000
196570,2004-01,11492
197110,2004-02,9276
197650,2004-03,10198
198190,2004-04,10645
198730,2004-05,11556
199270,2004-06,14184
199810,2004-07,16054
200350,2004-08,14309
200890,2004-09,13736
201430,2004-10,15303
201970,2004-11,13842
202510,2004-12,13557
203050,2005-01,10560
203590,2005-02,10617
204130,2005-03,13156
204670,2005-04,12004
205210,2005-05,12430
205750,2005-06,12320
206290,2005-07,16862
206830,2005-08,13862
207370,2005-09,12649
207910,2005-10,13184
208450,2005-11,12130
208990,2005-12,11702
209530,2006-01,11175
210070,2006-02,12512
210610,2006-03,10009
211150,2006-04,11453
211690,2006-05,12185
212230,2006-06,13461
212770,2006-07,15736
213310,2006-08,13530
213850,2006-09,12519
214390,2006-10,12343
214930,2006-11,11784
215470,2006-12,11878
216010,2007-01,13866
216550,2007-02,10371
217090,2007-03,9160
217630,2007-04,10348
218170,2007-05,12772
218710,2007-06,13566
219250,2007-07,15712
219790,2007-08,11636
220330,2007-09,12645
220870,2007-10,12056
221410,2007-11,12741
221950,2007-12,12310
222490,2008-01,9364
223030,2008-02,13020
223570,2008-03,10331
224110,2008-04,12834
224650,2008-05,13579
225190,2008-06,14012
225730,2008-07,15112
226270,2008-08,13817
226810,2008-09,14224
227350,2008-10,15201
227890,2008-11,14416
228430,2008-12,12642
228970,2009-01,10027
229510,2009-02,9918
230050,2009-03,8521
230590,2009-04,10884
231130,2009-05,12130
231670,2009-06,12690
232210,2009-07,12537
232750,2009-08,11057
233290,2009-09,10168
233830,2009-10,10147
234370,2009-11,10797
234910,2009-12,11476
235450,2010-01,10994
235990,2010-02,8202
236530,2010-03,7902
237070,2010-04,10461
237610,2010-05,10081
238150,2010-06,15618
238690,2010-07,16604
239230,2010-08,12198
239770,2010-09,11818
240310,2010-10,12138
240850,2010-11,11098
241390,2010-12,11200
241930,2011-01,9330
242470,2011-02,9448
243010,2011-03,7554
243550,2011-04,8662
