,REF_DATE,VALUE
177910,2001-02,142
178450,2001-03,130
178990,2001-04,218
179530,2001-05,185
180070,2001-06,251
180610,2001-07,300
181150,2001-08,226
181690,2001-09,239
182230,2001-10,227
182770,2001-11,218
183310,2001-12,187
183850,2002-01,157
184390,2002-02,157
184930,2002-03,205
185470,2002-04,195
186010,2002-05,252
186550,2002-06,303
187090,2002-07,315
187630,2002-08,451
188170,2002-09,410
188710,2002-10,313
189250,2002-11,280
189790,2002-12,277
190330,2003-01,252
190870,2003-02,194
191410,2003-03,257
191950,2003-04,204
192490,2003-05,219
193030,2003-06,229
193570,2003-07,325
194110,2003-08,310
194650,2003-09,400
195190,2003-10,355
195730,2003-11,326
196270,2003-12,388
196810,2004-01,350
197350,2004-02,259
197890,2004-03,245
198430,2004-04,235
198970,2004-05,294
199510,2004-06,271
200050,2004-07,268
200590,2004-08,274
201130,2004-09,371
201670,2004-10,394
202210,2004-11,400
202750,2004-12,286
203290,2005-01,266
203830,2005-02,134
204370,2005-03,212
204910,2005-04,220
205450,2005-05,202
205990,2005-06,136
206530,2005-07,197
207070,2005-08,241
207610,2005-09,248
208150,2005-10,297
208690,2005-11,234
209230,2005-12,236
209770,2006-01,201
210310,2006-02,177
210850,2006-03,149
211390,2006-04,211
211930,2006-05,231
212470,2006-06,198
213010,2006-07,295
213550,2006-08,273
214090,2006-09,240
214630,2006-10,239
215170,2006-11,185
215710,2006-12,184
216250,2007-01,250
216790,2007-02,204
217330,2007-03,161
217870,2007-04,245
218410,2007-05,180
218950,2007-06,211
219490,2007-07,214
220030,2007-08,161
220570,2007-09,259
221110,2007-10,185
221650,2007-11,390
222190,2007-12,138
222730,2008-01,189
223270,2008-02,112
223810,2008-03,102
224350,2008-04,166
224890,2008-05,217
225430,2008-06,302
225970,2008-07,259
226510,2008-08,174
227050,2008-09,213
227590,2008-10,180
228130,2008-11,179
228670,2008-12,246
229210,2009-01,119
229750,2009-02,103
230290,2009-03,127
230830,2009-04,175
231370,2009-05,304
231910,2009-06,95
232450,2009-07,120
232990,2009-08,95
233530,2009-09,96
234070,2009-10,97
234610,2009-11,89
235150,2009-12,143
235690,2010-01,86
236230,2010-02,71
236770,2010-03,85
237310,2010-04,103
237850,2010-05,132
238390,2010-06,185
238930,2010-07,191
239470,2010-08,108
240010,2010-09,173
240550,2010-10,130
241090,2010-11,126
241630,2010-12,170
242170,2011-01,74
242710,2011-02,80
243250,2011-03,112
243790,2011-04,148
244330,2011-05,153
244870,2011-06,228
245410,2011-07,191
245950,2011-08,170
246490,2011-09,189
247030,2011-10,172
247570,2011-11,167
248110,2011-12,154
248650,2012-01,160
249190,2012-02,114
249730,2012-03,89
250270,2012-04,146
250810,2012-05,166
251350,2012-06,166
251890,2012-07,191
252430,2012-08,155
252970,2012-09,176
253510,2012-10,147
254050,2012-11,116
254590,2012-12,133
255130,2013-01,102
255670,2013-02,94
256210,2013-03,148
256750,2013-04,99
257290,2013-05,131
257830,2013-06,116
258370,2013-07,137
258910,2013-08,214
259450,2013-09,140
259990,2013-10,117
260530,2013-11,174
261070,2013-12,208
261610,2014-01,80
262150,2014-02,54
262690,2014-03,58
263230,2014-04,101
263770,2014-05,99
264310,2014-06,107
264850,2014-07,128
265390,2014-08,123
265930,2014-09,124
266470,2014-10,211
267010,2014-11,290
267550,2014-12,136
268090,2015-01,110
268630,2015-02,165
269170,2015-03,63
269710,2015-04,75
270250,2015-05,119
270790,2015-06,47
271330,2015-07,79
271870,2015-08,81
272410,2015-09,70
272950,2015-10,200
273490,2015-11,162
274030,2015-12,191
274570,2016-01,143
275110,2016-02,163
275650,2016-03,367
276190,2016-04,219
276730,2016-05,88
277270,2016-06,111
277810,2016-07,129
278350,2016-08,151
278890,2016-09,118
279430,2016-10,153
279970,2016-11,112
280510,2016-12,149
281050,2017-01,282
281590,2017-02,192
282130,2017-03,147
282670,2017-04,264
283210,2017-05,141
283750,2017-06,129
284290,2017-07,69
284830,2017-08,224
285370,2017-09,302
285910,2017-10,408
286450,2017-11,154
286990,2017-12,167
287530,2018-01,119
288070,2018-02,160
288610,2018-03,75
289150,2018-04,124
289690,2018-05,219
290230,2018-06,101
290770,2018-07,183
291310,2018-08,267
291850,2018-09,152
292390,2018-10,461
292930,2018-11,174
293470,2018-12,198
294010,2019-01,141
294550,2019-02,109
295090,2019-03,174
295630,2019-04,128
296170,2019-05,138
296710,2019-06,99
297250,2019-07,227
297790,2019-08,241
298330,2019-09,195
298870,2019-10,159
299410,2019-11,286
299950,2019-12,252
300490,2020-01,288
301030,2020-02,164
301570,2020-03,192
302110,2020-04,288
302650,2020-05,87
303190,2020-06,167
303730,2020-07,195
304270,2020-08,100
304810,2020-09,322
305350,2020-10,168
305890,2020-11,186
306430,2020-12,308
306970,2021-01,206
307510,2021-02,153
308050,2021-03,107
308590,2021-04,128
309130,2021-05,155
309670,2021-06,135
310210,2021-07,360
310750,2021-08,182
311290,2021-09,119
311830,2021-10,210
312370,2021-11,313
312910,2021-12,421
313450,2022-01,75
313990,2022-02,336
314530,2022-03,284
315070,2022-04,199
315610,2022-05,278
316150,2022-06,76
316690,2022-07,251
317230,2022-08,230
317770,2022-09,163
318310,2022-10,677
318850,2022-11,144
319390,2022-12,300
