,REF_DATE,VALUE
177985,2001-02,130
178525,2001-03,111
179065,2001-04,90
179605,2001-05,137
180145,2001-06,483
180685,2001-07,369
181225,2001-08,328
181765,2001-09,173
182305,2001-10,265
182845,2001-11,171
183385,2001-12,156
183925,2002-01,78
184465,2002-02,350
185005,2002-03,126
185545,2002-04,105
186085,2002-05,340
186625,2002-06,518
187165,2002-07,548
187705,2002-08,573
188245,2002-09,406
188785,2002-10,327
189325,2002-11,217
189865,2002-12,160
190405,2003-01,207
190945,2003-02,124
191485,2003-03,152
192025,2003-04,367
192565,2003-05,405
193105,2003-06,1447
193645,2003-07,800
194185,2003-08,375
194725,2003-09,540
195265,2003-10,412
195805,2003-11,320
196345,2003-12,368
196885,2004-01,413
197425,2004-02,320
197965,2004-03,361
198505,2004-04,282
199045,2004-05,388
199585,2004-06,936
200125,2004-07,867
200665,2004-08,311
201205,2004-09,354
201745,2004-10,400
202285,2004-11,468
202825,2004-12,159
203365,2005-01,356
203905,2005-02,329
204445,2005-03,325
204985,2005-04,734
205525,2005-05,317
206065,2005-06,775
206605,2005-07,1315
207145,2005-08,376
207685,2005-09,249
208225,2005-10,604
208765,2005-11,370
209305,2005-12,399
209845,2006-01,301
210385,2006-02,447
210925,2006-03,187
211465,2006-04,220
212005,2006-05,305
212545,2006-06,1021
213085,2006-07,1657
213625,2006-08,341
214165,2006-09,677
214705,2006-10,291
215245,2006-11,163
215785,2006-12,312
216325,2007-01,302
216865,2007-02,178
217405,2007-03,184
217945,2007-04,201
218485,2007-05,351
219025,2007-06,511
219565,2007-07,948
220105,2007-08,356
220645,2007-09,338
221185,2007-10,412
221725,2007-11,300
222265,2007-12,361
222805,2008-01,190
223345,2008-02,179
223885,2008-03,118
224425,2008-04,462
224965,2008-05,433
225505,2008-06,401
226045,2008-07,857
226585,2008-08,548
227125,2008-09,555
227665,2008-10,702
228205,2008-11,752
228745,2008-12,289
229285,2009-01,345
229825,2009-02,173
230365,2009-03,190
230905,2009-04,133
231445,2009-05,742
231985,2009-06,355
232525,2009-07,1291
233065,2009-08,271
233605,2009-09,281
234145,2009-10,448
234685,2009-11,367
235225,2009-12,524
235765,2010-01,297
236305,2010-02,195
236845,2010-03,291
237385,2010-04,375
237925,2010-05,277
238465,2010-06,1125
239005,2010-07,1185
239545,2010-08,515
240085,2010-09,411
240625,2010-10,629
241165,2010-11,498
241705,2010-12,621
242245,2011-01,283
242785,2011-02,280
243325,2011-03,291
243865,2011-04,285
244405,2011-05,512
244945,2011-06,675
245485,2011-07,1393
246025,2011-08,319
246565,2011-09,341
247105,2011-10,507
247645,2011-11,307
248185,2011-12,474
248725,2012-01,277
249265,2012-02,236
249805,2012-03,260
250345,2012-04,224
250885,2012-05,317
251425,2012-06,799
251965,2012-07,1244
252505,2012-08,411
253045,2012-09,410
253585,2012-10,539
254125,2012-11,325
254665,2012-12,476
255205,2013-01,284
255745,2013-02,134
256285,2013-03,284
256825,2013-04,94
257365,2013-05,468
257905,2013-06,625
258445,2013-07,1426
258985,2013-08,631
259525,2013-09,503
260065,2013-10,513
260605,2013-11,292
261145,2013-12,211
261685,2014-01,505
262225,2014-02,244
262765,2014-03,184
263305,2014-04,174
263845,2014-05,312
264385,2014-06,421
264925,2014-07,1226
265465,2014-08,289
266005,2014-09,166
266545,2014-10,403
267085,2014-11,195
267625,2014-12,332
268165,2015-01,112
268705,2015-02,208
269245,2015-03,348
269785,2015-04,246
270325,2015-05,230
270865,2015-06,498
271405,2015-07,714
271945,2015-08,436
272485,2015-09,150
273025,2015-10,553
273565,2015-11,330
274105,2015-12,529
274645,2016-01,90
275185,2016-02,88
275725,2016-03,121
276265,2016-04,164
276805,2016-05,191
277345,2016-06,396
277885,2016-07,1622
278425,2016-08,336
278965,2016-09,496
279505,2016-10,293
280045,2016-11,334
280585,2016-12,784
281125,2017-01,146
281665,2017-02,87
282205,2017-03,672
282745,2017-04,266
283285,2017-05,301
283825,2017-06,462
284365,2017-07,1444
284905,2017-08,413
285445,2017-09,244
285985,2017-10,445
286525,2017-11,236
287065,2017-12,301
287605,2018-01,101
288145,2018-02,154
288685,2018-03,234
289225,2018-04,260
289765,2018-05,505
290305,2018-06,456
290845,2018-07,1202
291385,2018-08,493
291925,2018-09,477
292465,2018-10,382
293005,2018-11,876
293545,2018-12,569
294085,2019-01,104
294625,2019-02,129
295165,2019-03,67
295705,2019-04,117
296245,2019-05,501
296785,2019-06,1162
297325,2019-07,1914
297865,2019-08,691
298405,2019-09,294
298945,2019-10,329
299485,2019-11,267
300025,2019-12,175
300565,2020-01,289
301105,2020-02,202
301645,2020-03,166
302185,2020-04,0
302725,2020-05,532
303265,2020-06,840
303805,2020-07,1572
304345,2020-08,550
304885,2020-09,210
305425,2020-10,540
305965,2020-11,163
306505,2020-12,541
307045,2021-01,245
307585,2021-02,325
308125,2021-03,477
308665,2021-04,470
309205,2021-05,822
309745,2021-06,381
310285,2021-07,1896
310825,2021-08,149
311365,2021-09,936
311905,2021-10,884
312445,2021-11,134
312985,2021-12,298
313525,2022-01,472
314065,2022-02,219
314605,2022-03,1025
315145,2022-04,420
315685,2022-05,201
316225,2022-06,407
316765,2022-07,2545
317305,2022-08,418
317845,2022-09,888
318385,2022-10,660
318925,2022-11,213
319465,2022-12,811
