,REF_DATE,VALUE
178015,2001-02,76
178555,2001-03,67
179095,2001-04,88
179635,2001-05,70
180175,2001-06,70
180715,2001-07,115
181255,2001-08,77
181795,2001-09,150
182335,2001-10,105
182875,2001-11,136
183415,2001-12,93
183955,2002-01,109
184495,2002-02,78
185035,2002-03,72
185575,2002-04,87
186115,2002-05,86
186655,2002-06,92
187195,2002-07,104
187735,2002-08,126
188275,2002-09,137
188815,2002-10,133
189355,2002-11,136
189895,2002-12,102
190435,2003-01,98
190975,2003-02,81
191515,2003-03,55
192055,2003-04,85
192595,2003-05,110
193135,2003-06,113
193675,2003-07,118
194215,2003-08,149
194755,2003-09,144
195295,2003-10,145
195835,2003-11,123
196375,2003-12,102
196915,2004-01,127
197455,2004-02,80
197995,2004-03,88
198535,2004-04,67
199075,2004-05,150
199615,2004-06,133
200155,2004-07,120
200695,2004-08,158
201235,2004-09,135
201775,2004-10,166
202315,2004-11,172
202855,2004-12,120
203395,2005-01,134
203935,2005-02,130
204475,2005-03,119
205015,2005-04,106
205555,2005-05,121
206095,2005-06,118
206635,2005-07,147
207175,2005-08,141
207715,2005-09,128
208255,2005-10,150
208795,2005-11,103
209335,2005-12,224
209875,2006-01,82
210415,2006-02,93
210955,2006-03,118
211495,2006-04,107
212035,2006-05,94
212575,2006-06,78
213115,2006-07,141
213655,2006-08,98
214195,2006-09,96
214735,2006-10,150
215275,2006-11,93
215815,2006-12,113
216355,2007-01,115
216895,2007-02,70
217435,2007-03,71
217975,2007-04,114
218515,2007-05,76
219055,2007-06,68
219595,2007-07,130
220135,2007-08,123
220675,2007-09,60
221215,2007-10,120
221755,2007-11,106
222295,2007-12,114
222835,2008-01,88
223375,2008-02,97
223915,2008-03,48
224455,2008-04,56
224995,2008-05,78
225535,2008-06,83
226075,2008-07,96
226615,2008-08,87
227155,2008-09,71
227695,2008-10,78
228235,2008-11,114
228775,2008-12,74
229315,2009-01,61
229855,2009-02,85
230395,2009-03,54
230935,2009-04,49
231475,2009-05,85
232015,2009-06,57
232555,2009-07,67
233095,2009-08,73
233635,2009-09,64
234175,2009-10,63
234715,2009-11,114
235255,2009-12,145
235795,2010-01,76
236335,2010-02,87
236875,2010-03,113
237415,2010-04,109
237955,2010-05,69
238495,2010-06,71
239035,2010-07,111
239575,2010-08,112
240115,2010-09,99
240655,2010-10,69
241195,2010-11,79
241735,2010-12,77
242275,2011-01,66
242815,2011-02,57
243355,2011-03,63
243895,2011-04,93
244435,2011-05,118
244975,2011-06,56
245515,2011-07,75
246055,2011-08,54
246595,2011-09,64
247135,2011-10,89
247675,2011-11,127
248215,2011-12,71
248755,2012-01,57
249295,2012-02,51
249835,2012-03,155
250375,2012-04,85
250915,2012-05,86
251455,2012-06,69
251995,2012-07,123
252535,2012-08,59
253075,2012-09,91
253615,2012-10,112
254155,2012-11,75
254695,2012-12,136
255235,2013-01,61
255775,2013-02,78
256315,2013-03,63
256855,2013-04,116
257395,2013-05,81
257935,2013-06,144
258475,2013-07,146
259015,2013-08,85
259555,2013-09,79
260095,2013-10,82
260635,2013-11,122
261175,2013-12,60
261715,2014-01,53
262255,2014-02,105
262795,2014-03,197
263335,2014-04,71
263875,2014-05,87
264415,2014-06,113
264955,2014-07,165
265495,2014-08,70
266035,2014-09,99
266575,2014-10,120
267115,2014-11,116
267655,2014-12,111
268195,2015-01,55
268735,2015-02,52
269275,2015-03,163
269815,2015-04,73
270355,2015-05,97
270895,2015-06,166
271435,2015-07,175
271975,2015-08,74
272515,2015-09,98
273055,2015-10,120
273595,2015-11,216
274135,2015-12,89
274675,2016-01,81
275215,2016-02,102
275755,2016-03,113
276295,2016-04,128
276835,2016-05,157
277375,2016-06,139
277915,2016-07,118
278455,2016-08,115
278995,2016-09,360
279535,2016-10,71
280075,2016-11,177
280615,2016-12,116
281155,2017-01,95
281695,2017-02,136
282235,2017-03,134
282775,2017-04,205
283315,2017-05,212
283855,2017-06,166
284395,2017-07,228
284935,2017-08,271
285475,2017-09,144
286015,2017-10,140
286555,2017-11,207
287095,2017-12,129
287635,2018-01,104
288175,2018-02,178
288715,2018-03,192
289255,2018-04,200
289795,2018-05,140
290335,2018-06,135
290875,2018-07,214
291415,2018-08,233
291955,2018-09,160
292495,2018-10,121
293035,2018-11,151
293575,2018-12,195
294115,2019-01,78
294655,2019-02,65
295195,2019-03,131
295735,2019-04,122
296275,2019-05,66
296815,2019-06,91
297355,2019-07,132
297895,2019-08,143
298435,2019-09,98
298975,2019-10,128
299515,2019-11,202
300055,2019-12,157
300595,2020-01,106
301135,2020-02,216
301675,2020-03,256
302215,2020-04,271
302755,2020-05,173
303295,2020-06,210
303835,2020-07,206
304375,2020-08,234
304915,2020-09,372
305455,2020-10,239
305995,2020-11,236
306535,2020-12,147
307075,2021-01,106
307615,2021-02,201
308155,2021-03,305
308695,2021-04,130
309235,2021-05,166
309775,2021-06,168
310315,2021-07,294
310855,2021-08,206
311395,2021-09,145
311935,2021-10,197
312475,2021-11,159
313015,2021-12,237
313555,2022-01,78
314095,2022-02,235
314635,2022-03,177
315175,2022-04,265
315715,2022-05,459
316255,2022-06,238
316795,2022-07,266
317335,2022-08,170
317875,2022-09,412
318415,2022-10,131
318955,2022-11,113
319495,2022-12,193
