,REF_DATE,VALUE
178135,2001-02,17
178675,2001-03,19
179215,2001-04,17
179755,2001-05,39
180295,2001-06,43
180835,2001-07,55
181375,2001-08,28
181915,2001-09,28
182455,2001-10,19
182995,2001-11,20
183535,2001-12,28
184075,2002-01,19
184615,2002-02,14
185155,2002-03,6
185695,2002-04,27
186235,2002-05,66
186775,2002-06,46
187315,2002-07,59
187855,2002-08,21
188395,2002-09,43
188935,2002-10,33
189475,2002-11,33
190015,2002-12,22
190555,2003-01,18
191095,2003-02,16
191635,2003-03,34
192175,2003-04,36
192715,2003-05,107
193255,2003-06,239
193795,2003-07,102
194335,2003-08,44
194875,2003-09,62
195415,2003-10,46
195955,2003-11,50
196495,2003-12,25
197035,2004-01,38
197575,2004-02,39
198115,2004-03,44
198655,2004-04,61
199195,2004-05,62
199735,2004-06,130
200275,2004-07,117
200815,2004-08,60
201355,2004-09,63
201895,2004-10,153
202435,2004-11,62
202975,2004-12,43
203515,2005-01,113
204055,2005-02,11
204595,2005-03,24
205135,2005-04,66
205675,2005-05,77
206215,2005-06,71
206755,2005-07,174
207295,2005-08,63
207835,2005-09,74
208375,2005-10,77
208915,2005-11,90
209455,2005-12,62
209995,2006-01,33
210535,2006-02,44
211075,2006-03,52
211615,2006-04,56
212155,2006-05,107
212695,2006-06,153
213235,2006-07,167
213775,2006-08,22
214315,2006-09,67
214855,2006-10,61
215395,2006-11,92
215935,2006-12,121
216475,2007-01,23
217015,2007-02,25
217555,2007-03,39
218095,2007-04,169
218635,2007-05,50
219175,2007-06,107
219715,2007-07,146
220255,2007-08,47
220795,2007-09,50
221335,2007-10,142
221875,2007-11,134
222415,2007-12,110
222955,2008-01,54
223495,2008-02,55
224035,2008-03,16
224575,2008-04,75
225115,2008-05,77
225655,2008-06,135
226195,2008-07,141
226735,2008-08,134
227275,2008-09,220
227815,2008-10,82
228355,2008-11,69
228895,2008-12,67
229435,2009-01,92
229975,2009-02,56
230515,2009-03,12
231055,2009-04,75
231595,2009-05,74
232135,2009-06,269
232675,2009-07,150
233215,2009-08,33
233755,2009-09,48
234295,2009-10,65
234835,2009-11,60
235375,2009-12,167
235915,2010-01,74
236455,2010-02,24
236995,2010-03,79
237535,2010-04,0
238075,2010-05,131
238615,2010-06,358
239155,2010-07,211
239695,2010-08,73
240235,2010-09,45
240775,2010-10,84
241315,2010-11,78
241855,2010-12,59
242395,2011-01,20
242935,2011-02,28
243475,2011-03,40
244015,2011-04,67
244555,2011-05,134
245095,2011-06,73
245635,2011-07,411
246175,2011-08,67
246715,2011-09,330
247255,2011-10,96
247795,2011-11,81
248335,2011-12,65
248875,2012-01,83
249415,2012-02,64
249955,2012-03,62
250495,2012-04,91
251035,2012-05,178
251575,2012-06,135
252115,2012-07,191
252655,2012-08,85
253195,2012-09,53
253735,2012-10,75
254275,2012-11,62
254815,2012-12,77
255355,2013-01,36
255895,2013-02,48
256435,2013-03,8
256975,2013-04,48
257515,2013-05,41
258055,2013-06,126
258595,2013-07,176
259135,2013-08,43
259675,2013-09,59
260215,2013-10,74
260755,2013-11,56
261295,2013-12,66
261835,2014-01,55
262375,2014-02,12
262915,2014-03,32
263455,2014-04,42
263995,2014-05,62
264535,2014-06,135
265075,2014-07,219
265615,2014-08,56
266155,2014-09,63
266695,2014-10,60
267235,2014-11,55
267775,2014-12,70
268315,2015-01,17
268855,2015-02,22
269395,2015-03,79
269935,2015-04,14
270475,2015-05,121
271015,2015-06,90
271555,2015-07,105
272095,2015-08,69
272635,2015-09,61
273175,2015-10,64
273715,2015-11,82
274255,2015-12,36
274795,2016-01,18
275335,2016-02,8
275875,2016-03,5
276415,2016-04,14
276955,2016-05,34
277495,2016-06,95
278035,2016-07,71
278575,2016-08,121
279115,2016-09,96
279655,2016-10,21
280195,2016-11,27
280735,2016-12,45
281275,2017-01,28
281815,2017-02,29
282355,2017-03,14
282895,2017-04,15
283435,2017-05,64
283975,2017-06,51
284515,2017-07,79
285055,2017-08,53
285595,2017-09,81
286135,2017-10,101
286675,2017-11,26
287215,2017-12,42
287755,2018-01,26
288295,2018-02,31
288835,2018-03,7
289375,2018-04,35
289915,2018-05,8
290455,2018-06,135
290995,2018-07,87
291535,2018-08,65
292075,2018-09,77
292615,2018-10,48
293155,2018-11,190
293695,2018-12,72
294235,2019-01,15
294775,2019-02,34
295315,2019-03,14
295855,2019-04,34
296395,2019-05,78
296935,2019-06,54
297475,2019-07,105
298015,2019-08,79
298555,2019-09,52
299095,2019-10,185
299635,2019-11,23
300175,2019-12,64
300715,2020-01,60
301255,2020-02,32
301795,2020-03,25
302335,2020-04,0
302875,2020-05,36
303415,2020-06,59
303955,2020-07,182
304495,2020-08,72
305035,2020-09,67
305575,2020-10,67
306115,2020-11,56
306655,2020-12,78
307195,2021-01,18
307735,2021-02,61
308275,2021-03,28
308815,2021-04,55
309355,2021-05,56
309895,2021-06,91
310435,2021-07,97
310975,2021-08,128
311515,2021-09,81
312055,2021-10,69
312595,2021-11,54
313135,2021-12,78
313675,2022-01,47
314215,2022-02,71
314755,2022-03,12
315295,2022-04,24
315835,2022-05,90
316375,2022-06,142
316915,2022-07,84
317455,2022-08,167
317995,2022-09,123
318535,2022-10,160
319075,2022-11,73
319615,2022-12,93
