,REF_DATE,VALUE
178150,2001-02,459
178690,2001-03,569
179230,2001-04,839
179770,2001-05,858
180310,2001-06,518
180850,2001-07,858
181390,2001-08,733
181930,2001-09,741
182470,2001-10,643
183010,2001-11,589
183550,2001-12,489
184090,2002-01,1282
184630,2002-02,853
185170,2002-03,656
185710,2002-04,747
186250,2002-05,959
186790,2002-06,615
187330,2002-07,664
187870,2002-08,1550
188410,2002-09,905
188950,2002-10,1287
189490,2002-11,926
190030,2002-12,1624
190570,2003-01,1029
191110,2003-02,595
191650,2003-03,912
192190,2003-04,1007
192730,2003-05,1616
193270,2003-06,896
193810,2003-07,1330
194350,2003-08,1205
194890,2003-09,1340
195430,2003-10,1504
195970,2003-11,800
196510,2003-12,1160
197050,2004-01,1148
197590,2004-02,1001
198130,2004-03,915
198670,2004-04,1156
199210,2004-05,1069
199750,2004-06,1229
200290,2004-07,1018
200830,2004-08,2013
201370,2004-09,925
201910,2004-10,1064
202450,2004-11,998
202990,2004-12,1766
203530,2005-01,1304
204070,2005-02,1108
204610,2005-03,1383
205150,2005-04,2238
205690,2005-05,1508
206230,2005-06,1154
206770,2005-07,1159
207310,2005-08,959
207850,2005-09,1277
208390,2005-10,1683
208930,2005-11,738
209470,2005-12,1323
210010,2006-01,755
210550,2006-02,4062
211090,2006-03,903
211630,2006-04,1618
212170,2006-05,1452
212710,2006-06,1309
213250,2006-07,1536
213790,2006-08,1252
214330,2006-09,1248
214870,2006-10,1266
215410,2006-11,1230
215950,2006-12,1441
216490,2007-01,1932
217030,2007-02,1480
217570,2007-03,1202
218110,2007-04,1388
218650,2007-05,2261
219190,2007-06,1298
219730,2007-07,1534
220270,2007-08,1386
220810,2007-09,1468
221350,2007-10,1067
221890,2007-11,1466
222430,2007-12,1334
222970,2008-01,838
223510,2008-02,1484
224050,2008-03,890
224590,2008-04,2328
225130,2008-05,1696
225670,2008-06,1600
226210,2008-07,2162
226750,2008-08,1458
227290,2008-09,1561
227830,2008-10,1900
228370,2008-11,1628
228910,2008-12,1605
229450,2009-01,1431
229990,2009-02,1241
230530,2009-03,1160
231070,2009-04,1545
231610,2009-05,1785
232150,2009-06,2049
232690,2009-07,925
233230,2009-08,1227
233770,2009-09,954
234310,2009-10,1159
234850,2009-11,1350
235390,2009-12,1962
235930,2010-01,3033
