,REF_DATE,VALUE
178180,2001-02,217
178720,2001-03,99
179260,2001-04,113
179800,2001-05,109
180340,2001-06,143
180880,2001-07,156
181420,2001-08,200
181960,2001-09,264
182500,2001-10,215
183040,2001-11,204
183580,2001-12,193
184120,2002-01,150
184660,2002-02,158
185200,2002-03,250
185740,2002-04,159
186280,2002-05,97
186820,2002-06,193
187360,2002-07,201
187900,2002-08,256
188440,2002-09,246
188980,2002-10,208
189520,2002-11,310
190060,2002-12,217
190600,2003-01,200
191140,2003-02,110
191680,2003-03,325
192220,2003-04,153
192760,2003-05,147
193300,2003-06,167
193840,2003-07,219
194380,2003-08,164
194920,2003-09,181
195460,2003-10,137
196000,2003-11,127
196540,2003-12,386
197080,2004-01,204
197620,2004-02,173
198160,2004-03,152
198700,2004-04,97
199240,2004-05,128
199780,2004-06,241
200320,2004-07,258
200860,2004-08,208
201400,2004-09,167
201940,2004-10,202
202480,2004-11,189
203020,2004-12,213
203560,2005-01,138
204100,2005-02,370
204640,2005-03,180
205180,2005-04,107
205720,2005-05,65
206260,2005-06,92
206800,2005-07,137
207340,2005-08,192
207880,2005-09,181
208420,2005-10,153
208960,2005-11,152
209500,2005-12,112
210040,2006-01,84
210580,2006-02,100
211120,2006-03,101
211660,2006-04,73
212200,2006-05,92
212740,2006-06,119
213280,2006-07,65
213820,2006-08,86
214360,2006-09,60
214900,2006-10,73
215440,2006-11,53
215980,2006-12,45
216520,2007-01,34
217060,2007-02,48
217600,2007-03,37
218140,2007-04,25
218680,2007-05,29
219220,2007-06,49
219760,2007-07,39
220300,2007-08,55
220840,2007-09,62
221380,2007-10,39
221920,2007-11,55
222460,2007-12,41
223000,2008-01,30
223540,2008-02,31
224080,2008-03,26
224620,2008-04,24
225160,2008-05,28
225700,2008-06,34
226240,2008-07,37
226780,2008-08,52
227320,2008-09,46
227860,2008-10,48
228400,2008-11,34
228940,2008-12,161
229480,2009-01,29
230020,2009-02,29
230560,2009-03,15
231100,2009-04,37
231640,2009-05,34
232180,2009-06,24
232720,2009-07,39
233260,2009-08,47
233800,2009-09,23
234340,2009-10,50
234880,2009-11,41
235420,2009-12,42
235960,2010-01,50
236500,2010-02,38
237040,2010-03,35
237580,2010-04,50
238120,2010-05,44
238660,2010-06,55
239200,2010-07,38
239740,2010-08,28
240280,2010-09,71
240820,2010-10,59
241360,2010-11,69
241900,2010-12,74
242440,2011-01,36
242980,2011-02,30
243520,2011-03,23
244060,2011-04,49
244600,2011-05,52
245140,2011-06,87
245680,2011-07,23
246220,2011-08,96
246760,2011-09,45
247300,2011-10,50
247840,2011-11,59
248380,2011-12,18
248920,2012-01,54
249460,2012-02,35
250000,2012-03,50
250540,2012-04,78
251080,2012-05,69
251620,2012-06,102
252160,2012-07,149
252700,2012-08,99
253240,2012-09,82
253780,2012-10,35
254320,2012-11,82
254860,2012-12,68
255400,2013-01,58
255940,2013-02,44
256480,2013-03,42
257020,2013-04,16
257560,2013-05,63
258100,2013-06,42
258640,2013-07,63
259180,2013-08,53
259720,2013-09,81
260260,2013-10,57
260800,2013-11,86
261340,2013-12,62
261880,2014-01,46
262420,2014-02,47
262960,2014-03,18
263500,2014-04,48
264040,2014-05,83
264580,2014-06,40
265120,2014-07,56
265660,2014-08,60
266200,2014-09,84
266740,2014-10,75
267280,2014-11,88
267820,2014-12,90
268360,2015-01,58
268900,2015-02,43
269440,2015-03,37
269980,2015-04,91
270520,2015-05,59
271060,2015-06,35
271600,2015-07,65
272140,2015-08,87
272680,2015-09,58
273220,2015-10,92
273760,2015-11,104
274300,2015-12,100
274840,2016-01,96
275380,2016-02,86
275920,2016-03,74
276460,2016-04,56
277000,2016-05,88
277540,2016-06,92
278080,2016-07,100
278620,2016-08,83
279160,2016-09,104
279700,2016-10,100
280240,2016-11,118
280780,2016-12,77
281320,2017-01,72
281860,2017-02,187
282400,2017-03,84
282940,2017-04,75
283480,2017-05,116
284020,2017-06,107
284560,2017-07,86
285100,2017-08,188
285640,2017-09,94
286180,2017-10,108
286720,2017-11,109
287260,2017-12,88
287800,2018-01,88
288340,2018-02,71
288880,2018-03,49
289420,2018-04,64
289960,2018-05,100
290500,2018-06,76
291040,2018-07,93
291580,2018-08,97
292120,2018-09,68
292660,2018-10,102
293200,2018-11,134
293740,2018-12,87
294280,2019-01,62
294820,2019-02,39
295360,2019-03,54
295900,2019-04,27
296440,2019-05,41
296980,2019-06,83
297520,2019-07,80
298060,2019-08,126
298600,2019-09,49
299140,2019-10,137
299680,2019-11,89
300220,2019-12,71
300760,2020-01,81
301300,2020-02,61
301840,2020-03,93
302380,2020-04,49
302920,2020-05,70
303460,2020-06,81
304000,2020-07,152
304540,2020-08,274
305080,2020-09,130
305620,2020-10,90
306160,2020-11,90
306700,2020-12,220
307240,2021-01,28
307780,2021-02,56
308320,2021-03,22
308860,2021-04,71
309400,2021-05,100
309940,2021-06,76
310480,2021-07,152
311020,2021-08,134
311560,2021-09,89
312100,2021-10,129
312640,2021-11,148
313180,2021-12,64
313720,2022-01,77
314260,2022-02,47
314800,2022-03,50
315340,2022-04,47
315880,2022-05,104
316420,2022-06,122
316960,2022-07,149
317500,2022-08,91
318040,2022-09,79
318580,2022-10,149
319120,2022-11,156
319660,2022-12,60
