,REF_DATE,VALUE
28998,2001-02,80.9
29118,2001-03,81.0
29238,2001-04,80.9
29358,2001-05,80.9
29478,2001-06,81.0
29598,2001-07,81.0
29718,2001-08,81.1
29838,2001-09,81.4
29958,2001-10,81.4
30078,2001-11,81.3
30198,2001-12,81.7
30318,2002-01,81.5
30438,2002-02,81.5
30558,2002-03,81.0
30678,2002-04,81.4
30798,2002-05,82.3
30918,2002-06,81.7
31038,2002-07,81.9
31158,2002-08,82.1
31278,2002-09,82.5
31398,2002-10,82.4
31518,2002-11,82.4
31638,2002-12,82.6
31758,2003-01,82.6
31878,2003-02,82.9
31998,2003-03,82.5
32118,2003-04,82.6
32238,2003-05,82.6
32358,2003-06,82.6
32478,2003-07,82.4
32598,2003-08,82.6
32718,2003-09,82.7
32838,2003-10,82.9
32958,2003-11,82.9
33078,2003-12,82.9
33198,2004-01,82.9
33318,2004-02,84.1
33438,2004-03,84.1
33558,2004-04,83.7
33678,2004-05,84.4
33798,2004-06,84.2
33918,2004-07,84.4
34038,2004-08,84.6
34158,2004-09,84.8
34278,2004-10,84.7
34398,2004-11,84.9
34518,2004-12,84.9
34638,2005-01,84.9
34758,2005-02,85.0
34878,2005-03,84.8
34998,2005-04,84.7
35118,2005-05,85.8
35238,2005-06,85.7
35358,2005-07,86.2
35478,2005-08,86.1
35598,2005-09,86.4
35718,2005-10,86.4
35838,2005-11,86.7
35958,2005-12,86.4
36078,2006-01,86.3
36198,2006-02,86.7
36318,2006-03,86.7
36438,2006-04,87.1
36558,2006-05,87.0
36678,2006-06,86.7
36798,2006-07,86.9
36918,2006-08,87.5
37038,2006-09,87.5
37158,2006-10,87.9
37278,2006-11,88.2
37398,2006-12,88.1
37518,2007-01,87.7
37638,2007-02,89.1
37758,2007-03,89.3
37878,2007-04,90.2
37998,2007-05,91.1
38118,2007-06,91.2
38238,2007-07,90.8
38358,2007-08,91.2
38478,2007-09,92.0
38598,2007-10,92.4
38718,2007-11,93.2
38838,2007-12,93.3
38958,2008-01,93.6
39078,2008-02,94.8
39198,2008-03,95.0
39318,2008-04,95.0
39438,2008-05,96.8
39558,2008-06,96.7
39678,2008-07,96.6
39798,2008-08,96.6
39918,2008-09,96.6
40038,2008-10,96.5
40158,2008-11,96.6
40278,2008-12,96.6
40398,2009-01,96.6
40518,2009-02,96.6
40638,2009-03,96.6
40758,2009-04,96.6
40878,2009-05,96.6
40998,2009-06,96.6
41118,2009-07,96.6
41238,2009-08,96.6
41358,2009-09,96.1
41478,2009-10,96.7
41598,2009-11,96.5
41718,2009-12,96.6
41838,2010-01,96.9
41958,2010-02,97.1
42078,2010-03,97.1
42198,2010-04,96.9
42318,2010-05,96.9
42438,2010-06,96.9
42558,2010-07,95.0
42678,2010-08,95.0
42798,2010-09,95.0
42918,2010-10,95.5
43038,2010-11,95.5
43158,2010-12,95.5
43278,2011-01,95.8
43398,2011-02,95.8
43518,2011-03,95.9
43638,2011-04,95.9
43758,2011-05,95.9
43878,2011-06,95.9
43998,2011-07,95.9
44118,2011-08,96.8
44238,2011-09,96.7
44358,2011-10,96.7
44478,2011-11,96.4
44598,2011-12,96.4
44718,2012-01,96.5
44838,2012-02,96.5
44958,2012-03,96.6
45078,2012-04,96.6
45198,2012-05,98.1
45318,2012-06,97.8
45438,2012-07,97.8
45558,2012-08,97.8
45678,2012-09,97.8
45798,2012-10,97.7
45918,2012-11,97.9
46038,2012-12,97.9
46158,2013-01,97.9
46278,2013-02,98.0
46398,2013-03,98.0
46518,2013-04,98.0
46638,2013-05,98.6
46758,2013-06,98.6
46878,2013-07,98.4
46998,2013-08,98.4
47118,2013-09,98.4
47238,2013-10,98.4
47358,2013-11,98.4
47478,2013-12,98.4
47598,2014-01,98.4
47718,2014-02,98.4
47838,2014-03,98.4
47958,2014-04,98.4
48078,2014-05,98.9
48198,2014-06,98.9
48318,2014-07,98.9
48438,2014-08,98.9
48558,2014-09,98.9
48678,2014-10,98.9
48798,2014-11,98.9
48918,2014-12,98.9
49038,2015-01,98.9
49158,2015-02,98.8
49278,2015-03,98.8
49398,2015-04,98.8
49518,2015-05,99.0
49638,2015-06,99.1
49758,2015-07,99.1
49878,2015-08,99.1
49998,2015-09,99.1
50118,2015-10,99.1
50238,2015-11,99.1
50358,2015-12,99.0
50478,2016-01,99.0
50598,2016-02,99.0
50718,2016-03,99.0
50838,2016-04,99.0
50958,2016-05,98.8
51078,2016-06,99.0
51198,2016-07,99.0
51318,2016-08,99.4
51438,2016-09,99.8
51558,2016-10,100.0
51678,2016-11,100.0
51798,2016-12,100.0
51918,2017-01,99.2
52038,2017-02,99.4
52158,2017-03,99.6
52278,2017-04,99.6
52398,2017-05,99.6
52518,2017-06,99.6
52638,2017-07,99.6
52758,2017-08,99.6
52878,2017-09,99.6
52998,2017-10,99.8
53118,2017-11,99.8
53238,2017-12,99.8
53358,2018-01,99.8
53478,2018-02,99.8
53598,2018-03,100.0
53718,2018-04,100.0
53838,2018-05,100.2
53958,2018-06,100.6
54078,2018-07,100.6
54198,2018-08,100.9
54318,2018-09,100.9
54438,2018-10,100.9
54558,2018-11,100.9
54678,2018-12,100.7
54798,2019-01,100.9
54918,2019-02,101.2
55038,2019-03,101.3
55158,2019-04,101.3
55278,2019-05,101.3
55398,2019-06,101.0
55518,2019-07,101.3
55638,2019-08,101.7
55758,2019-09,101.7
55878,2019-10,101.7
55998,2019-11,101.9
56118,2019-12,101.6
56238,2020-01,102.7
56358,2020-02,102.7
56478,2020-03,102.7
56598,2020-04,102.8
56718,2020-05,102.8
56838,2020-06,102.8
56958,2020-07,102.8
57078,2020-08,103.5
57198,2020-09,103.7
57318,2020-10,104.2
57438,2020-11,104.2
57558,2020-12,104.7
57678,2021-01,106.1
57798,2021-02,108.2
57918,2021-03,109.6
58038,2021-04,118.0
58158,2021-05,118.7
58278,2021-06,118.7
58398,2021-07,120.9
58518,2021-08,120.9
58638,2021-09,120.2
58758,2021-10,120.1
58878,2021-11,121.4
58998,2021-12,121.4
59118,2022-01,121.4
59238,2022-02,121.4
59358,2022-03,121.4
59478,2022-04,121.4
59598,2022-05,121.8
59718,2022-06,122.0
59838,2022-07,122.0
59958,2022-08,122.0
60078,2022-09,122.0
60198,2022-10,122.0
60318,2022-11,121.4
60438,2022-12,121.4
