,REF_DATE,VALUE
28941,2001-02,66.3
29061,2001-03,66.3
29181,2001-04,66.3
29301,2001-05,66.4
29421,2001-06,66.4
29541,2001-07,66.4
29661,2001-08,66.9
29781,2001-09,66.9
29901,2001-10,67.2
30021,2001-11,67.6
30141,2001-12,67.6
30261,2002-01,68.3
30381,2002-02,68.3
30501,2002-03,68.3
30621,2002-04,69.0
30741,2002-05,69.1
30861,2002-06,69.1
30981,2002-07,69.3
31101,2002-08,69.4
31221,2002-09,69.4
31341,2002-10,69.4
31461,2002-11,70.0
31581,2002-12,70.0
31701,2003-01,70.7
31821,2003-02,70.7
31941,2003-03,70.8
32061,2003-04,72.1
32181,2003-05,72.3
32301,2003-06,72.3
32421,2003-07,72.3
32541,2003-08,72.3
32661,2003-09,72.3
32781,2003-10,72.3
32901,2003-11,72.3
33021,2003-12,73.2
33141,2004-01,73.2
33261,2004-02,73.2
33381,2004-03,73.2
33501,2004-04,73.2
33621,2004-05,73.6
33741,2004-06,73.6
33861,2004-07,73.6
33981,2004-08,73.6
34101,2004-09,73.6
34221,2004-10,73.6
34341,2004-11,73.6
34461,2004-12,73.6
34581,2005-01,73.6
34701,2005-02,73.6
34821,2005-03,73.6
34941,2005-04,73.6
35061,2005-05,73.6
35181,2005-06,73.6
35301,2005-07,74.0
35421,2005-08,77.2
35541,2005-09,78.4
35661,2005-10,78.4
35781,2005-11,78.4
35901,2005-12,78.4
36021,2006-01,78.4
36141,2006-02,78.4
36261,2006-03,78.4
36381,2006-04,78.4
36501,2006-05,78.6
36621,2006-06,78.7
36741,2006-07,79.0
36861,2006-08,79.0
36981,2006-09,79.0
37101,2006-10,79.0
37221,2006-11,79.4
37341,2006-12,79.4
37461,2007-01,79.4
37581,2007-02,79.4
37701,2007-03,79.4
37821,2007-04,80.4
37941,2007-05,84.2
38061,2007-06,84.2
38181,2007-07,84.3
38301,2007-08,84.4
38421,2007-09,84.7
38541,2007-10,84.7
38661,2007-11,87.6
38781,2007-12,87.6
38901,2008-01,88.4
39021,2008-02,88.4
39141,2008-03,89.5
39261,2008-04,89.5
39381,2008-05,89.9
39501,2008-06,90.3
39621,2008-07,90.5
39741,2008-08,90.5
39861,2008-09,90.6
39981,2008-10,90.7
40101,2008-11,90.7
40221,2008-12,90.8
40341,2009-01,90.8
40461,2009-02,90.9
40581,2009-03,90.9
40701,2009-04,90.9
40821,2009-05,90.9
40941,2009-06,90.9
41061,2009-07,90.9
41181,2009-08,90.9
41301,2009-09,91.1
41421,2009-10,91.1
41541,2009-11,91.3
41661,2009-12,91.3
41781,2010-01,91.4
41901,2010-02,91.4
42021,2010-03,91.5
42141,2010-04,91.5
42261,2010-05,91.6
42381,2010-06,91.7
42501,2010-07,91.7
42621,2010-08,91.7
42741,2010-09,91.7
42861,2010-10,91.7
42981,2010-11,92.8
43101,2010-12,93.1
43221,2011-01,93.1
43341,2011-02,93.1
43461,2011-03,93.1
43581,2011-04,93.1
43701,2011-05,93.1
43821,2011-06,93.1
43941,2011-07,93.2
44061,2011-08,93.2
44181,2011-09,93.9
44301,2011-10,93.9
44421,2011-11,93.9
44541,2011-12,93.9
44661,2012-01,93.9
44781,2012-02,95.0
44901,2012-03,95.0
45021,2012-04,95.0
45141,2012-05,95.2
45261,2012-06,95.0
45381,2012-07,95.5
45501,2012-08,95.9
45621,2012-09,95.8
45741,2012-10,95.8
45861,2012-11,96.3
45981,2012-12,96.5
46101,2013-01,96.6
46221,2013-02,97.6
46341,2013-03,97.6
46461,2013-04,97.6
46581,2013-05,97.9
46701,2013-06,97.8
46821,2013-07,98.2
46941,2013-08,98.1
47061,2013-09,98.2
47181,2013-10,98.2
47301,2013-11,98.2
47421,2013-12,98.1
47541,2014-01,98.1
47661,2014-02,98.0
47781,2014-03,98.1
47901,2014-04,98.1
48021,2014-05,98.1
48141,2014-06,98.0
48261,2014-07,98.0
48381,2014-08,98.0
48501,2014-09,98.3
48621,2014-10,98.4
48741,2014-11,98.4
48861,2014-12,98.4
48981,2015-01,98.4
49101,2015-02,98.8
49221,2015-03,98.9
49341,2015-04,98.9
49461,2015-05,99.0
49581,2015-06,99.1
49701,2015-07,99.0
49821,2015-08,99.0
49941,2015-09,99.0
50061,2015-10,99.1
50181,2015-11,98.7
50301,2015-12,98.9
50421,2016-01,98.9
50541,2016-02,98.9
50661,2016-03,98.9
50781,2016-04,98.9
50901,2016-05,99.0
51021,2016-06,99.0
51141,2016-07,99.3
51261,2016-08,99.3
51381,2016-09,99.3
51501,2016-10,99.8
51621,2016-11,100.0
51741,2016-12,100.0
51861,2017-01,100.2
51981,2017-02,100.2
52101,2017-03,100.2
52221,2017-04,100.0
52341,2017-05,100.4
52461,2017-06,100.4
52581,2017-07,100.8
52701,2017-08,100.7
52821,2017-09,100.8
52941,2017-10,101.1
53061,2017-11,101.1
53181,2017-12,101.0
53301,2018-01,101.0
53421,2018-02,101.0
53541,2018-03,101.5
53661,2018-04,101.9
53781,2018-05,101.8
53901,2018-06,101.8
54021,2018-07,102.0
54141,2018-08,102.0
54261,2018-09,101.7
54381,2018-10,101.6
54501,2018-11,101.6
54621,2018-12,101.6
54741,2019-01,101.9
54861,2019-02,102.1
54981,2019-03,102.1
55101,2019-04,102.1
55221,2019-05,102.5
55341,2019-06,102.5
55461,2019-07,102.7
55581,2019-08,102.5
55701,2019-09,102.5
55821,2019-10,102.5
55941,2019-11,102.5
56061,2019-12,102.5
56181,2020-01,102.9
56301,2020-02,103.6
56421,2020-03,103.8
56541,2020-04,103.9
56661,2020-05,104.4
56781,2020-06,104.9
56901,2020-07,105.4
57021,2020-08,107.1
57141,2020-09,108.0
57261,2020-10,109.3
57381,2020-11,110.1
57501,2020-12,110.1
57621,2021-01,110.1
57741,2021-02,112.7
57861,2021-03,113.8
57981,2021-04,116.0
58101,2021-05,117.8
58221,2021-06,117.8
58341,2021-07,117.8
58461,2021-08,117.8
58581,2021-09,117.8
58701,2021-10,117.8
58821,2021-11,117.8
58941,2021-12,117.8
59061,2022-01,117.8
59181,2022-02,117.8
59301,2022-03,119.1
59421,2022-04,119.1
59541,2022-05,122.0
59661,2022-06,122.0
59781,2022-07,122.0
59901,2022-08,122.0
60021,2022-09,122.0
60141,2022-10,122.0
60261,2022-11,122.0
