,REF_DATE,VALUE
28980,2001-02,60.6
28981,2001-02,54.1
28982,2001-02,77.3
29100,2001-03,60.6
29101,2001-03,54.1
29102,2001-03,77.3
29220,2001-04,60.9
29221,2001-04,54.3
29222,2001-04,77.3
29340,2001-05,61.1
29341,2001-05,54.6
29342,2001-05,77.3
29460,2001-06,61.3
29461,2001-06,55.0
29462,2001-06,77.3
29580,2001-07,61.6
29581,2001-07,55.3
29582,2001-07,77.3
29700,2001-08,61.6
29701,2001-08,55.2
29702,2001-08,77.3
29820,2001-09,61.9
29821,2001-09,55.7
29822,2001-09,77.3
29940,2001-10,62.2
29941,2001-10,56.1
29942,2001-10,77.3
30060,2001-11,61.8
30061,2001-11,55.5
30062,2001-11,77.3
30180,2001-12,61.9
30181,2001-12,55.7
30182,2001-12,77.3
30300,2002-01,62.0
30301,2002-01,55.9
30302,2002-01,77.3
30420,2002-02,62.5
30421,2002-02,56.4
30422,2002-02,77.3
30540,2002-03,62.3
30541,2002-03,56.2
30542,2002-03,77.3
30660,2002-04,62.7
30661,2002-04,56.9
30662,2002-04,77.3
30780,2002-05,63.2
30781,2002-05,57.6
30782,2002-05,77.3
30900,2002-06,63.7
30901,2002-06,58.1
30902,2002-06,77.3
31020,2002-07,63.8
31021,2002-07,58.4
31022,2002-07,77.3
31140,2002-08,64.5
31141,2002-08,58.7
31142,2002-08,78.3
31260,2002-09,64.8
31261,2002-09,59.1
31262,2002-09,78.3
31380,2002-10,65.7
31381,2002-10,60.7
31382,2002-10,78.3
31500,2002-11,66.2
31501,2002-11,61.3
31502,2002-11,78.3
31620,2002-12,66.5
31621,2002-12,61.5
31622,2002-12,78.7
31740,2003-01,66.5
31741,2003-01,61.5
31742,2003-01,78.7
31860,2003-02,66.5
31861,2003-02,61.5
31862,2003-02,78.7
31980,2003-03,67.0
31981,2003-03,62.2
31982,2003-03,78.6
32100,2003-04,67.3
32101,2003-04,62.5
32102,2003-04,78.6
32220,2003-05,67.7
32221,2003-05,62.8
32222,2003-05,79.2
32340,2003-06,67.6
32341,2003-06,62.8
32342,2003-06,79.1
32460,2003-07,68.3
32461,2003-07,63.7
32462,2003-07,79.1
32580,2003-08,68.9
32581,2003-08,64.0
32582,2003-08,80.3
32700,2003-09,68.7
32701,2003-09,63.8
32702,2003-09,80.3
32820,2003-10,69.0
32821,2003-10,64.1
32822,2003-10,80.3
32940,2003-11,69.3
32941,2003-11,64.5
32942,2003-11,80.3
33060,2003-12,69.2
33061,2003-12,64.4
33062,2003-12,80.3
33180,2004-01,69.4
33181,2004-01,64.6
33182,2004-01,80.5
33300,2004-02,70.0
33301,2004-02,65.3
33302,2004-02,80.6
33420,2004-03,69.6
33421,2004-03,64.9
33422,2004-03,80.6
33540,2004-04,70.2
33541,2004-04,65.5
33542,2004-04,80.6
33660,2004-05,71.3
33661,2004-05,66.7
33662,2004-05,81.5
33780,2004-06,71.8
33781,2004-06,67.2
33782,2004-06,81.8
33900,2004-07,72.1
33901,2004-07,67.5
33902,2004-07,81.8
34020,2004-08,72.1
34021,2004-08,67.4
34022,2004-08,82.3
34140,2004-09,72.6
34141,2004-09,68.1
34142,2004-09,82.3
34260,2004-10,73.0
34261,2004-10,68.4
34262,2004-10,82.9
34380,2004-11,73.9
34381,2004-11,69.6
34382,2004-11,82.9
34500,2004-12,73.8
34501,2004-12,69.5
34502,2004-12,83.1
34620,2005-01,74.0
34621,2005-01,69.8
34622,2005-01,83.1
34740,2005-02,74.3
34741,2005-02,70.1
34742,2005-02,83.1
34860,2005-03,74.6
34861,2005-03,70.2
34862,2005-03,83.8
34980,2005-04,75.2
34981,2005-04,71.0
34982,2005-04,83.8
35100,2005-05,75.9
35101,2005-05,71.9
35102,2005-05,83.8
35220,2005-06,75.7
35221,2005-06,71.8
35222,2005-06,83.8
35340,2005-07,76.1
35341,2005-07,72.3
35342,2005-07,83.8
35460,2005-08,76.1
35461,2005-08,71.8
35462,2005-08,85.4
35580,2005-09,76.2
35581,2005-09,72.0
35582,2005-09,85.4
35700,2005-10,76.7
35701,2005-10,72.5
35702,2005-10,85.7
35820,2005-11,76.5
35821,2005-11,72.2
35822,2005-11,85.9
35940,2005-12,77.2
35941,2005-12,73.0
35942,2005-12,86.2
36060,2006-01,77.8
36061,2006-01,73.8
36062,2006-01,86.5
36180,2006-02,78.0
36181,2006-02,73.7
36182,2006-02,87.5
36300,2006-03,78.4
36301,2006-03,74.4
36302,2006-03,87.5
36420,2006-04,78.8
36421,2006-04,74.7
36422,2006-04,88.1
36540,2006-05,78.8
36541,2006-05,74.5
36542,2006-05,88.7
36660,2006-06,79.5
36661,2006-06,75.3
36662,2006-06,88.8
36780,2006-07,80.7
36781,2006-07,76.9
36782,2006-07,89.0
36900,2006-08,81.1
36901,2006-08,77.2
36902,2006-08,89.5
37020,2006-09,81.0
37021,2006-09,77.2
37022,2006-09,89.5
37140,2006-10,81.3
37141,2006-10,77.5
37142,2006-10,89.7
37260,2006-11,81.6
37261,2006-11,77.9
37262,2006-11,89.7
37380,2006-12,81.7
37381,2006-12,78.0
37382,2006-12,90.0
37500,2007-01,81.9
37501,2007-01,78.3
37502,2007-01,90.0
37620,2007-02,82.5
37621,2007-02,78.8
37622,2007-02,90.7
37740,2007-03,82.8
37741,2007-03,79.1
37742,2007-03,91.0
37860,2007-04,83.3
37861,2007-04,79.6
37862,2007-04,91.5
37980,2007-05,83.7
37981,2007-05,79.1
37982,2007-05,93.9
38100,2007-06,84.0
38101,2007-06,79.5
38102,2007-06,93.9
38220,2007-07,84.2
38221,2007-07,79.8
38222,2007-07,93.9
38340,2007-08,83.5
38341,2007-08,78.9
38342,2007-08,93.9
38460,2007-09,83.7
38461,2007-09,79.2
38462,2007-09,93.9
38580,2007-10,83.9
38581,2007-10,79.3
38582,2007-10,93.9
38700,2007-11,84.0
38701,2007-11,79.6
38702,2007-11,93.9
38820,2007-12,84.0
38821,2007-12,79.5
38822,2007-12,93.9
38940,2008-01,84.8
38941,2008-01,80.1
38942,2008-01,95.0
39060,2008-02,85.5
39061,2008-02,81.2
39062,2008-02,95.0
39180,2008-03,86.1
39181,2008-03,82.1
39182,2008-03,95.1
39300,2008-04,86.0
39301,2008-04,81.9
39302,2008-04,95.1
39420,2008-05,86.2
39421,2008-05,82.2
39422,2008-05,95.1
39540,2008-06,85.7
39541,2008-06,81.5
39542,2008-06,95.1
39660,2008-07,85.8
39661,2008-07,81.6
39662,2008-07,95.1
39780,2008-08,85.9
39781,2008-08,81.7
39782,2008-08,95.1
39900,2008-09,86.1
39901,2008-09,82.0
39902,2008-09,95.1
40020,2008-10,86.0
40021,2008-10,81.9
40022,2008-10,95.1
40140,2008-11,85.7
40141,2008-11,81.5
40142,2008-11,95.1
40260,2008-12,85.7
40261,2008-12,81.6
40262,2008-12,95.1
40380,2009-01,85.7
40381,2009-01,81.5
40382,2009-01,95.1
40500,2009-02,85.6
40501,2009-02,81.4
40502,2009-02,95.1
40620,2009-03,85.4
40621,2009-03,81.2
40622,2009-03,95.1
40740,2009-04,84.8
40741,2009-04,80.3
40742,2009-04,95.1
40860,2009-05,83.9
40861,2009-05,78.9
40862,2009-05,95.1
40980,2009-06,84.0
40981,2009-06,79.0
40982,2009-06,95.1
41100,2009-07,84.9
41101,2009-07,80.2
41102,2009-07,95.4
41220,2009-08,84.5
41221,2009-08,79.6
41222,2009-08,95.4
41340,2009-09,84.6
41341,2009-09,79.8
41342,2009-09,95.6
41460,2009-10,85.1
41461,2009-10,80.4
41462,2009-10,95.6
41580,2009-11,84.9
41581,2009-11,80.1
41582,2009-11,95.6
41700,2009-12,84.9
41701,2009-12,80.1
41702,2009-12,95.6
41820,2010-01,85.1
41821,2010-01,80.4
41822,2010-01,95.6
41940,2010-02,85.9
41941,2010-02,81.7
41942,2010-02,95.3
42060,2010-03,85.7
42061,2010-03,81.7
42062,2010-03,94.7
42180,2010-04,85.6
42181,2010-04,81.7
42182,2010-04,94.4
42300,2010-05,86.1
42301,2010-05,82.5
42302,2010-05,94.4
42420,2010-06,86.2
42421,2010-06,82.5
42422,2010-06,94.4
42540,2010-07,86.0
42541,2010-07,82.3
42542,2010-07,94.2
42660,2010-08,86.7
42661,2010-08,82.9
42662,2010-08,95.4
42780,2010-09,86.6
42781,2010-09,82.7
42782,2010-09,95.4
42900,2010-10,86.6
42901,2010-10,82.8
42902,2010-10,95.4
43020,2010-11,87.0
43021,2010-11,83.2
43022,2010-11,95.7
43140,2010-12,86.8
43141,2010-12,82.8
43142,2010-12,95.7
43260,2011-01,86.6
43261,2011-01,82.6
43262,2011-01,95.7
43380,2011-02,86.8
43381,2011-02,82.8
43382,2011-02,95.7
43500,2011-03,86.8
43501,2011-03,82.8
43502,2011-03,95.7
43620,2011-04,87.1
43621,2011-04,83.3
43622,2011-04,95.7
43740,2011-05,87.0
43741,2011-05,83.2
43742,2011-05,95.7
43860,2011-06,87.1
43861,2011-06,83.3
43862,2011-06,95.7
43980,2011-07,86.9
43981,2011-07,83.1
43982,2011-07,95.7
44100,2011-08,86.9
44101,2011-08,83.1
44102,2011-08,95.7
44220,2011-09,87.0
44221,2011-09,83.2
44222,2011-09,95.7
44340,2011-10,87.1
44341,2011-10,83.4
44342,2011-10,95.7
44460,2011-11,87.1
44461,2011-11,83.3
44462,2011-11,95.7
44580,2011-12,86.9
44581,2011-12,83.1
44582,2011-12,95.7
44700,2012-01,87.3
44701,2012-01,83.6
44702,2012-01,95.7
44820,2012-02,87.3
44821,2012-02,83.7
44822,2012-02,95.7
44940,2012-03,87.6
44941,2012-03,84.1
44942,2012-03,95.7
45060,2012-04,87.9
45061,2012-04,84.5
45062,2012-04,95.7
45180,2012-05,88.1
45181,2012-05,84.9
45182,2012-05,95.7
45300,2012-06,88.3
45301,2012-06,85.1
45302,2012-06,95.7
45420,2012-07,88.4
45421,2012-07,85.2
45422,2012-07,95.7
45540,2012-08,88.4
45541,2012-08,85.3
45542,2012-08,95.7
45660,2012-09,88.4
45661,2012-09,85.2
45662,2012-09,95.7
45780,2012-10,89.1
45781,2012-10,86.2
45782,2012-10,95.7
45900,2012-11,89.4
45901,2012-11,86.5
45902,2012-11,95.7
46020,2012-12,89.2
46021,2012-12,86.3
46022,2012-12,95.7
46140,2013-01,89.3
46141,2013-01,86.5
46142,2013-01,95.7
46260,2013-02,89.4
46261,2013-02,86.5
46262,2013-02,95.7
46380,2013-03,89.5
46381,2013-03,86.8
46382,2013-03,95.7
46500,2013-04,90.3
46501,2013-04,87.9
46502,2013-04,95.7
46620,2013-05,90.5
46621,2013-05,87.9
46622,2013-05,96.3
46740,2013-06,90.4
46741,2013-06,87.6
46742,2013-06,96.3
46860,2013-07,90.5
46861,2013-07,87.9
46862,2013-07,96.3
46980,2013-08,90.6
