,REF_DATE,VALUE
29031,2001-02,
29151,2001-03,
29271,2001-04,
29391,2001-05,
29511,2001-06,
29631,2001-07,
29751,2001-08,
29871,2001-09,
29991,2001-10,
30111,2001-11,
30231,2001-12,
30351,2002-01,
30471,2002-02,
30591,2002-03,
30711,2002-04,
30831,2002-05,
30951,2002-06,
31071,2002-07,
31191,2002-08,
31311,2002-09,
31431,2002-10,
31551,2002-11,
31671,2002-12,
31791,2003-01,
31911,2003-02,
32031,2003-03,
32151,2003-04,
32271,2003-05,
32391,2003-06,
32511,2003-07,
32631,2003-08,
32751,2003-09,
32871,2003-10,
32991,2003-11,
33111,2003-12,
33231,2004-01,
33351,2004-02,
33471,2004-03,
33591,2004-04,
33711,2004-05,
33831,2004-06,
33951,2004-07,
34071,2004-08,
34191,2004-09,
34311,2004-10,
34431,2004-11,
34551,2004-12,
34671,2005-01,
34791,2005-02,
34911,2005-03,
35031,2005-04,
35151,2005-05,
35271,2005-06,
35391,2005-07,
35511,2005-08,
35631,2005-09,
35751,2005-10,
35871,2005-11,
35991,2005-12,
36111,2006-01,
36231,2006-02,
36351,2006-03,
36471,2006-04,
36591,2006-05,
36711,2006-06,
36831,2006-07,
36951,2006-08,
37071,2006-09,
37191,2006-10,
37311,2006-11,
37431,2006-12,
37551,2007-01,
37671,2007-02,
37791,2007-03,
37911,2007-04,
38031,2007-05,
38151,2007-06,
38271,2007-07,
38391,2007-08,
38511,2007-09,
38631,2007-10,
38751,2007-11,
38871,2007-12,
38991,2008-01,
39111,2008-02,
39231,2008-03,
39351,2008-04,
39471,2008-05,
39591,2008-06,
39711,2008-07,
39831,2008-08,
39951,2008-09,
40071,2008-10,
40191,2008-11,
40311,2008-12,
40431,2009-01,
40551,2009-02,
40671,2009-03,
40791,2009-04,
40911,2009-05,
41031,2009-06,
41151,2009-07,
41271,2009-08,
41391,2009-09,
41511,2009-10,
41631,2009-11,
41751,2009-12,
41871,2010-01,
41991,2010-02,
42111,2010-03,
42231,2010-04,
42351,2010-05,
42471,2010-06,
42591,2010-07,
42711,2010-08,
42831,2010-09,
42951,2010-10,
43071,2010-11,
43191,2010-12,
43311,2011-01,
43431,2011-02,
43551,2011-03,
43671,2011-04,
43791,2011-05,
43911,2011-06,
44031,2011-07,
44151,2011-08,
44271,2011-09,
44391,2011-10,
44511,2011-11,
44631,2011-12,
44751,2012-01,
44871,2012-02,
44991,2012-03,
45111,2012-04,
45231,2012-05,
45351,2012-06,
45471,2012-07,
45591,2012-08,
45711,2012-09,
45831,2012-10,
45951,2012-11,
46071,2012-12,
46191,2013-01,
46311,2013-02,
46431,2013-03,
46551,2013-04,
46671,2013-05,
46791,2013-06,
46911,2013-07,
47031,2013-08,
47151,2013-09,
47271,2013-10,
47391,2013-11,
47511,2013-12,
47631,2014-01,
47751,2014-02,
47871,2014-03,
47991,2014-04,
48111,2014-05,
48231,2014-06,
48351,2014-07,
48471,2014-08,
48591,2014-09,
48711,2014-10,
48831,2014-11,
48951,2014-12,
49071,2015-01,
49191,2015-02,
49311,2015-03,
49431,2015-04,
49551,2015-05,
49671,2015-06,
49791,2015-07,
49911,2015-08,
50031,2015-09,
50151,2015-10,
50271,2015-11,
50391,2015-12,
50511,2016-01,
50631,2016-02,
50751,2016-03,
50871,2016-04,
50991,2016-05,
51111,2016-06,
51231,2016-07,
51351,2016-08,
51471,2016-09,
51591,2016-10,
51711,2016-11,
51831,2016-12,100.0
51951,2017-01,100.0
52071,2017-02,100.1
52191,2017-03,100.1
52311,2017-04,100.1
52431,2017-05,100.7
52551,2017-06,100.7
52671,2017-07,101.6
52791,2017-08,102.5
52911,2017-09,103.4
53031,2017-10,103.4
53151,2017-11,103.4
53271,2017-12,103.4
53391,2018-01,103.4
53511,2018-02,103.4
53631,2018-03,103.4
53751,2018-04,103.4
53871,2018-05,103.6
53991,2018-06,103.6
54111,2018-07,103.6
54231,2018-08,103.7
54351,2018-09,103.5
54471,2018-10,103.5
54591,2018-11,103.4
54711,2018-12,103.2
54831,2019-01,103.2
54951,2019-02,103.2
55071,2019-03,103.2
55191,2019-04,103.2
55311,2019-05,102.9
55431,2019-06,103.3
55551,2019-07,103.4
55671,2019-08,103.3
55791,2019-09,103.0
55911,2019-10,103.3
56031,2019-11,103.4
56151,2019-12,103.4
56271,2020-01,104.0
56391,2020-02,103.8
56511,2020-03,103.8
56631,2020-04,103.8
56751,2020-05,103.8
56871,2020-06,104.2
56991,2020-07,104.3
57111,2020-08,105.1
57231,2020-09,105.4
57351,2020-10,105.4
57471,2020-11,106.8
57591,2020-12,106.8
57711,2021-01,107.6
57831,2021-02,109.6
57951,2021-03,111.8
58071,2021-04,113.5
58191,2021-05,117.3
58311,2021-06,118.5
58431,2021-07,119.4
58551,2021-08,119.4
58671,2021-09,119.4
58791,2021-10,119.9
58911,2021-11,119.9
59031,2021-12,120.6
59151,2022-01,120.6
59271,2022-02,120.9
59391,2022-03,123.2
59511,2022-04,123.2
59631,2022-05,124.4
59751,2022-06,124.4
59871,2022-07,124.6
59991,2022-08,124.6
60111,2022-09,124.6
60231,2022-10,124.2
60351,2022-11,123.8
60471,2022-12,123.4
