,REF_DATE,VALUE
28986,2001-02,66.3
29106,2001-03,66.4
29226,2001-04,66.7
29346,2001-05,66.7
29466,2001-06,67.3
29586,2001-07,67.5
29706,2001-08,67.7
29826,2001-09,67.8
29946,2001-10,68.1
30066,2001-11,67.6
30186,2001-12,67.8
30306,2002-01,68.1
30426,2002-02,68.2
30546,2002-03,68.3
30666,2002-04,68.4
30786,2002-05,69.9
30906,2002-06,70.7
31026,2002-07,70.7
31146,2002-08,70.9
31266,2002-09,70.6
31386,2002-10,70.9
31506,2002-11,71.2
31626,2002-12,71.3
31746,2003-01,71.2
31866,2003-02,71.8
31986,2003-03,71.9
32106,2003-04,71.8
32226,2003-05,71.9
32346,2003-06,71.8
32466,2003-07,72.3
32586,2003-08,72.5
32706,2003-09,72.6
32826,2003-10,72.6
32946,2003-11,72.8
33066,2003-12,73.6
33186,2004-01,73.8
33306,2004-02,73.8
33426,2004-03,73.7
33546,2004-04,74.8
33666,2004-05,74.8
33786,2004-06,75.4
33906,2004-07,75.3
34026,2004-08,75.5
34146,2004-09,75.9
34266,2004-10,76.9
34386,2004-11,77.9
34506,2004-12,78.0
34626,2005-01,77.9
34746,2005-02,78.2
34866,2005-03,78.3
34986,2005-04,78.3
35106,2005-05,78.7
35226,2005-06,79.3
35346,2005-07,79.3
35466,2005-08,79.9
35586,2005-09,79.8
35706,2005-10,80.0
35826,2005-11,80.8
35946,2005-12,80.6
36066,2006-01,81.3
36186,2006-02,81.7
36306,2006-03,82.3
36426,2006-04,82.0
36546,2006-05,82.7
36666,2006-06,82.8
36786,2006-07,82.7
36906,2006-08,82.7
37026,2006-09,82.7
37146,2006-10,82.7
37266,2006-11,82.9
37386,2006-12,83.3
37506,2007-01,83.2
37626,2007-02,83.4
37746,2007-03,82.8
37866,2007-04,83.3
37986,2007-05,83.6
38106,2007-06,83.9
38226,2007-07,84.0
38346,2007-08,84.3
38466,2007-09,84.3
38586,2007-10,84.1
38706,2007-11,84.1
38826,2007-12,84.1
38946,2008-01,85.2
39066,2008-02,85.1
39186,2008-03,85.6
39306,2008-04,85.8
39426,2008-05,85.8
39546,2008-06,85.9
39666,2008-07,85.7
39786,2008-08,85.9
39906,2008-09,85.9
40026,2008-10,85.9
40146,2008-11,86.0
40266,2008-12,86.4
40386,2009-01,86.4
40506,2009-02,86.4
40626,2009-03,86.4
40746,2009-04,85.8
40866,2009-05,86.1
40986,2009-06,86.1
41106,2009-07,86.1
41226,2009-08,86.2
41346,2009-09,86.3
41466,2009-10,86.3
41586,2009-11,86.7
41706,2009-12,86.7
41826,2010-01,86.7
41946,2010-02,86.7
42066,2010-03,87.6
42186,2010-04,87.6
42306,2010-05,86.9
42426,2010-06,87.1
42546,2010-07,87.5
42666,2010-08,87.5
42786,2010-09,87.7
42906,2010-10,87.7
43026,2010-11,87.7
43146,2010-12,87.7
43266,2011-01,87.7
43386,2011-02,89.2
43506,2011-03,89.2
43626,2011-04,89.2
43746,2011-05,90.1
43866,2011-06,90.1
43986,2011-07,90.2
44106,2011-08,90.6
44226,2011-09,90.6
44346,2011-10,90.6
44466,2011-11,90.9
44586,2011-12,90.9
44706,2012-01,90.9
44826,2012-02,91.6
44946,2012-03,91.6
45066,2012-04,91.8
45186,2012-05,91.8
45306,2012-06,93.4
45426,2012-07,93.3
45546,2012-08,93.3
45666,2012-09,93.3
45786,2012-10,93.3
45906,2012-11,93.1
46026,2012-12,93.1
46146,2013-01,93.0
46266,2013-02,93.0
46386,2013-03,93.0
46506,2013-04,93.0
46626,2013-05,93.1
46746,2013-06,93.3
46866,2013-07,93.3
46986,2013-08,93.3
47106,2013-09,93.3
47226,2013-10,93.4
47346,2013-11,93.4
47466,2013-12,93.2
47586,2014-01,92.9
47706,2014-02,93.6
47826,2014-03,93.6
47946,2014-04,93.6
48066,2014-05,93.6
48186,2014-06,93.6
48306,2014-07,93.8
48426,2014-08,94.1
48546,2014-09,94.3
48666,2014-10,94.6
48786,2014-11,94.8
48906,2014-12,95.2
49026,2015-01,95.2
49146,2015-02,95.5
49266,2015-03,95.5
49386,2015-04,95.5
49506,2015-05,95.5
49626,2015-06,95.7
49746,2015-07,95.5
49866,2015-08,95.6
49986,2015-09,95.8
50106,2015-10,95.8
50226,2015-11,95.8
50346,2015-12,96.0
50466,2016-01,96.0
50586,2016-02,96.1
50706,2016-03,96.2
50826,2016-04,97.0
50946,2016-05,97.3
51066,2016-06,97.4
51186,2016-07,97.5
51306,2016-08,98.0
51426,2016-09,98.0
51546,2016-10,98.7
51666,2016-11,99.2
51786,2016-12,100.0
51906,2017-01,101.0
52026,2017-02,101.5
52146,2017-03,101.7
52266,2017-04,103.2
52386,2017-05,103.6
52506,2017-06,103.7
52626,2017-07,103.7
52746,2017-08,103.7
52866,2017-09,103.7
52986,2017-10,103.6
53106,2017-11,103.6
53226,2017-12,103.6
53346,2018-01,103.6
53466,2018-02,103.6
53586,2018-03,103.6
53706,2018-04,103.6
53826,2018-05,103.8
53946,2018-06,103.8
54066,2018-07,103.8
54186,2018-08,103.8
54306,2018-09,103.8
54426,2018-10,103.8
54546,2018-11,103.9
54666,2018-12,103.9
54786,2019-01,103.9
54906,2019-02,104.0
55026,2019-03,104.0
55146,2019-04,104.3
55266,2019-05,104.3
55386,2019-06,104.5
55506,2019-07,104.4
55626,2019-08,106.0
55746,2019-09,107.6
55866,2019-10,107.7
55986,2019-11,107.8
56106,2019-12,107.8
56226,2020-01,107.8
56346,2020-02,108.8
56466,2020-03,109.4
56586,2020-04,109.9
56706,2020-05,110.0
56826,2020-06,110.8
56946,2020-07,111.6
57066,2020-08,112.3
57186,2020-09,113.1
57306,2020-10,114.9
57426,2020-11,117.3
57546,2020-12,118.4
57666,2021-01,121.8
57786,2021-02,126.2
57906,2021-03,128.2
58026,2021-04,134.0
58146,2021-05,139.7
58266,2021-06,141.5
58386,2021-07,142.5
58506,2021-08,142.5
58626,2021-09,143.1
58746,2021-10,148.5
58866,2021-11,151.3
58986,2021-12,154.7
59106,2022-01,154.7
59226,2022-02,157.9
59346,2022-03,159.5
59466,2022-04,159.5
59586,2022-05,159.5
59706,2022-06,160.2
59826,2022-07,159.0
59946,2022-08,159.4
60066,2022-09,158.4
60186,2022-10,158.8
60306,2022-11,158.8
60426,2022-12,158.8
