,REF_DATE,VALUE
28992,2001-02,64.0
28993,2001-02,57.6
28994,2001-02,92.8
29112,2001-03,64.2
29113,2001-03,57.8
29114,2001-03,92.8
29232,2001-04,64.8
29233,2001-04,58.6
29234,2001-04,92.8
29352,2001-05,64.8
29353,2001-05,58.6
29354,2001-05,92.8
29472,2001-06,64.9
29473,2001-06,58.7
29474,2001-06,92.8
29592,2001-07,64.9
29593,2001-07,58.6
29594,2001-07,92.8
29712,2001-08,64.9
29713,2001-08,58.8
29714,2001-08,92.8
29832,2001-09,65.1
29833,2001-09,58.9
29834,2001-09,92.8
29952,2001-10,65.2
29953,2001-10,59.1
29954,2001-10,92.8
30072,2001-11,65.6
30073,2001-11,59.6
30074,2001-11,92.8
30192,2001-12,65.5
30193,2001-12,59.4
30194,2001-12,92.8
30312,2002-01,66.3
30313,2002-01,60.3
30314,2002-01,92.8
30432,2002-02,66.3
30433,2002-02,60.3
30434,2002-02,92.8
30552,2002-03,66.1
30553,2002-03,60.1
30554,2002-03,92.8
30672,2002-04,66.4
30673,2002-04,60.5
30674,2002-04,92.8
30792,2002-05,66.3
30793,2002-05,60.3
30794,2002-05,92.8
30912,2002-06,66.6
30913,2002-06,60.8
30914,2002-06,92.8
31032,2002-07,66.5
31033,2002-07,60.6
31034,2002-07,92.7
31152,2002-08,66.6
31153,2002-08,60.8
31154,2002-08,92.7
31272,2002-09,66.9
31273,2002-09,61.1
31274,2002-09,92.8
31392,2002-10,67.7
31393,2002-10,62.0
31394,2002-10,92.8
31512,2002-11,67.1
31513,2002-11,62.0
31514,2002-11,89.4
31632,2002-12,67.3
31633,2002-12,62.2
31634,2002-12,90.0
31752,2003-01,67.9
31753,2003-01,62.4
31754,2003-01,93.2
31872,2003-02,68.4
31873,2003-02,63.0
31874,2003-02,93.2
31992,2003-03,69.2
31993,2003-03,64.0
31994,2003-03,93.2
32112,2003-04,69.7
32113,2003-04,64.7
32114,2003-04,93.2
32232,2003-05,69.9
32233,2003-05,64.8
32234,2003-05,93.2
32352,2003-06,69.9
32353,2003-06,64.8
32354,2003-06,93.1
32472,2003-07,70.0
32473,2003-07,65.0
32474,2003-07,93.2
32592,2003-08,70.0
32593,2003-08,65.0
32594,2003-08,93.2
32712,2003-09,70.1
32713,2003-09,65.1
32714,2003-09,93.2
32832,2003-10,70.1
32833,2003-10,65.1
32834,2003-10,93.2
32952,2003-11,70.8
32953,2003-11,65.8
32954,2003-11,94.2
33072,2003-12,71.5
33073,2003-12,66.6
33074,2003-12,94.2
33192,2004-01,71.3
33193,2004-01,66.4
33194,2004-01,94.2
33312,2004-02,72.6
33313,2004-02,67.8
33314,2004-02,95.0
33432,2004-03,72.8
33433,2004-03,68.0
33434,2004-03,95.0
33552,2004-04,72.8
33553,2004-04,68.0
33554,2004-04,95.0
33672,2004-05,72.8
33673,2004-05,68.1
33674,2004-05,95.0
33792,2004-06,73.1
33793,2004-06,68.5
33794,2004-06,95.0
33912,2004-07,73.3
33913,2004-07,68.6
33914,2004-07,95.0
34032,2004-08,73.4
34033,2004-08,68.7
34034,2004-08,95.0
34152,2004-09,73.5
34153,2004-09,68.9
34154,2004-09,95.0
34272,2004-10,73.7
34273,2004-10,69.1
34274,2004-10,95.0
34392,2004-11,73.8
34393,2004-11,69.3
34394,2004-11,94.9
34512,2004-12,74.4
34513,2004-12,69.9
34514,2004-12,95.7
34632,2005-01,74.9
34633,2005-01,70.3
34634,2005-01,96.1
34752,2005-02,74.9
34753,2005-02,70.5
34754,2005-02,95.7
34872,2005-03,75.3
