,REF_DATE,VALUE
28962,2001-02,60.0
29082,2001-03,60.1
29202,2001-04,60.4
29322,2001-05,60.7
29442,2001-06,61.0
29562,2001-07,61.0
29682,2001-08,61.2
29802,2001-09,61.4
29922,2001-10,61.6
30042,2001-11,61.7
30162,2001-12,61.7
30282,2002-01,61.9
30402,2002-02,62.2
30522,2002-03,62.8
30642,2002-04,63.8
30762,2002-05,64.1
30882,2002-06,64.3
31002,2002-07,64.3
31122,2002-08,64.8
31242,2002-09,65.2
31362,2002-10,65.4
31482,2002-11,66.9
31602,2002-12,66.9
31722,2003-01,67.7
31842,2003-02,68.5
31962,2003-03,67.9
32082,2003-04,68.1
32202,2003-05,68.3
32322,2003-06,68.5
32442,2003-07,68.5
32562,2003-08,69.5
32682,2003-09,70.0
32802,2003-10,70.5
32922,2003-11,70.9
33042,2003-12,71.1
33162,2004-01,71.3
33282,2004-02,71.7
33402,2004-03,72.1
33522,2004-04,72.8
33642,2004-05,73.2
33762,2004-06,73.3
33882,2004-07,73.3
34002,2004-08,74.0
34122,2004-09,74.6
34242,2004-10,75.1
34362,2004-11,75.6
34482,2004-12,75.6
34602,2005-01,75.9
34722,2005-02,76.2
34842,2005-03,76.7
34962,2005-04,76.9
35082,2005-05,76.9
35202,2005-06,77.1
35322,2005-07,77.1
35442,2005-08,77.3
35562,2005-09,77.8
35682,2005-10,78.2
35802,2005-11,78.4
35922,2005-12,78.4
36042,2006-01,78.7
36162,2006-02,79.2
36282,2006-03,79.3
36402,2006-04,80.1
36522,2006-05,80.4
36642,2006-06,80.6
36762,2006-07,80.6
36882,2006-08,81.0
37002,2006-09,81.2
37122,2006-10,81.4
37242,2006-11,81.9
37362,2006-12,81.9
37482,2007-01,82.3
37602,2007-02,83.1
37722,2007-03,83.2
37842,2007-04,83.2
37962,2007-05,83.6
38082,2007-06,83.7
38202,2007-07,83.7
38322,2007-08,84.6
38442,2007-09,84.8
38562,2007-10,84.9
38682,2007-11,85.3
38802,2007-12,85.3
38922,2008-01,86.0
39042,2008-02,86.9
39162,2008-03,86.9
39282,2008-04,86.8
39402,2008-05,88.3
39522,2008-06,88.4
39642,2008-07,88.5
39762,2008-08,89.0
39882,2008-09,88.9
40002,2008-10,89.0
40122,2008-11,89.2
40242,2008-12,89.2
40362,2009-01,89.3
40482,2009-02,89.6
40602,2009-03,89.9
40722,2009-04,89.9
40842,2009-05,90.0
40962,2009-06,90.1
41082,2009-07,90.1
41202,2009-08,90.1
41322,2009-09,90.3
41442,2009-10,90.6
41562,2009-11,90.9
41682,2009-12,91.1
41802,2010-01,91.1
41922,2010-02,91.4
42042,2010-03,92.3
42162,2010-04,92.3
42282,2010-05,92.5
42402,2010-06,92.7
42522,2010-07,92.7
42642,2010-08,92.8
42762,2010-09,94.3
42882,2010-10,94.5
43002,2010-11,94.6
43122,2010-12,94.3
43242,2011-01,94.7
43362,2011-02,95.0
43482,2011-03,95.1
43602,2011-04,95.4
43722,2011-05,95.9
43842,2011-06,95.8
43962,2011-07,95.7
44082,2011-08,95.9
44202,2011-09,95.9
44322,2011-10,95.9
44442,2011-11,96.3
44562,2011-12,96.5
44682,2012-01,96.5
44802,2012-02,96.6
44922,2012-03,96.7
45042,2012-04,96.7
45162,2012-05,96.8
45282,2012-06,96.9
45402,2012-07,97.0
45522,2012-08,97.0
45642,2012-09,97.0
45762,2012-10,97.4
45882,2012-11,97.6
46002,2012-12,97.6
46122,2013-01,97.6
46242,2013-02,97.7
46362,2013-03,97.7
46482,2013-04,97.6
46602,2013-05,97.9
46722,2013-06,98.0
46842,2013-07,97.9
46962,2013-08,98.1
47082,2013-09,98.1
47202,2013-10,98.1
47322,2013-11,98.2
47442,2013-12,98.2
47562,2014-01,98.3
47682,2014-02,98.3
47802,2014-03,98.3
47922,2014-04,98.4
48042,2014-05,98.5
48162,2014-06,98.3
48282,2014-07,98.4
48402,2014-08,98.4
48522,2014-09,98.2
48642,2014-10,98.2
48762,2014-11,98.2
48882,2014-12,98.1
49002,2015-01,98.2
49122,2015-02,98.5
49242,2015-03,98.5
49362,2015-04,98.4
49482,2015-05,98.3
49602,2015-06,98.3
49722,2015-07,98.5
49842,2015-08,98.6
49962,2015-09,98.8
50082,2015-10,98.8
50202,2015-11,99.3
50322,2015-12,99.2
50442,2016-01,99.2
50562,2016-02,99.4
50682,2016-03,99.4
50802,2016-04,99.5
50922,2016-05,99.5
51042,2016-06,99.5
51162,2016-07,99.5
51282,2016-08,99.5
51402,2016-09,100.0
51522,2016-10,100.0
51642,2016-11,99.9
51762,2016-12,100.0
51882,2017-01,100.2
52002,2017-02,100.4
52122,2017-03,100.4
52242,2017-04,100.5
52362,2017-05,100.6
52482,2017-06,100.6
52602,2017-07,100.9
52722,2017-08,100.9
52842,2017-09,101.1
52962,2017-10,101.3
53082,2017-11,101.3
53202,2017-12,101.3
53322,2018-01,101.8
53442,2018-02,102.4
53562,2018-03,102.4
53682,2018-04,102.4
53802,2018-05,102.5
53922,2018-06,103.5
54042,2018-07,103.6
54162,2018-08,104.0
54282,2018-09,104.1
54402,2018-10,104.3
54522,2018-11,104.7
54642,2018-12,104.7
54762,2019-01,104.8
54882,2019-02,104.9
55002,2019-03,104.9
55122,2019-04,105.0
55242,2019-05,105.3
55362,2019-06,105.6
55482,2019-07,107.3
55602,2019-08,108.5
55722,2019-09,109.2
55842,2019-10,110.1
55962,2019-11,111.3
56082,2019-12,111.6
56202,2020-01,111.9
56322,2020-02,112.8
56442,2020-03,113.6
56562,2020-04,113.8
56682,2020-05,113.8
56802,2020-06,114.2
56922,2020-07,114.8
57042,2020-08,115.5
57162,2020-09,116.5
57282,2020-10,119.7
57402,2020-11,121.3
57522,2020-12,122.0
57642,2021-01,122.1
57762,2021-02,123.0
57882,2021-03,124.7
58002,2021-04,133.9
58122,2021-05,135.8
58242,2021-06,136.9
58362,2021-07,137.8
58482,2021-08,139.6
58602,2021-09,142.0
58722,2021-10,142.3
58842,2021-11,143.8
58962,2021-12,144.4
59082,2022-01,144.4
59202,2022-02,146.3
59322,2022-03,151.0
59442,2022-04,150.4
59562,2022-05,151.9
59682,2022-06,151.7
59802,2022-07,151.5
59922,2022-08,151.5
60042,2022-09,151.4
60162,2022-10,152.0
60282,2022-11,151.3
60402,2022-12,151.7
