,REF_DATE,VALUE
29013,2001-02,37.8
29133,2001-03,37.8
29253,2001-04,38.5
29373,2001-05,38.5
29493,2001-06,38.5
29613,2001-07,38.5
29733,2001-08,38.5
29853,2001-09,38.5
29973,2001-10,38.5
30093,2001-11,38.5
30213,2001-12,38.6
30333,2002-01,38.6
30453,2002-02,39.0
30573,2002-03,39.0
30693,2002-04,39.0
30813,2002-05,39.0
30933,2002-06,39.3
31053,2002-07,39.9
31173,2002-08,40.3
31293,2002-09,40.3
31413,2002-10,40.5
31533,2002-11,41.1
31653,2002-12,41.1
31773,2003-01,41.1
31893,2003-02,41.5
32013,2003-03,41.6
32133,2003-04,41.6
32253,2003-05,41.6
32373,2003-06,42.0
32493,2003-07,42.2
32613,2003-08,42.6
32733,2003-09,42.8
32853,2003-10,43.1
32973,2003-11,43.1
33093,2003-12,43.4
33213,2004-01,43.4
33333,2004-02,43.9
33453,2004-03,44.1
33573,2004-04,44.6
33693,2004-05,45.0
33813,2004-06,45.3
33933,2004-07,45.4
34053,2004-08,45.6
34173,2004-09,46.1
34293,2004-10,46.2
34413,2004-11,46.3
34533,2004-12,46.3
34653,2005-01,46.3
34773,2005-02,47.5
34893,2005-03,47.5
35013,2005-04,47.6
35133,2005-05,48.2
35253,2005-06,48.2
35373,2005-07,48.2
35493,2005-08,48.2
35613,2005-09,48.5
35733,2005-10,48.9
35853,2005-11,48.9
35973,2005-12,48.9
36093,2006-01,50.6
36213,2006-02,50.6
36333,2006-03,50.6
36453,2006-04,51.3
36573,2006-05,51.4
36693,2006-06,52.0
36813,2006-07,52.7
36933,2006-08,52.8
37053,2006-09,52.8
37173,2006-10,52.9
37293,2006-11,53.9
37413,2006-12,54.9
37533,2007-01,54.9
37653,2007-02,57.5
37773,2007-03,58.8
37893,2007-04,60.1
38013,2007-05,62.5
38133,2007-06,63.7
38253,2007-07,64.8
38373,2007-08,68.2
38493,2007-09,68.4
38613,2007-10,68.4
38733,2007-11,69.1
38853,2007-12,69.1
38973,2008-01,69.1
39093,2008-02,73.9
39213,2008-03,75.2
39333,2008-04,80.5
39453,2008-05,81.6
39573,2008-06,81.9
39693,2008-07,84.0
39813,2008-08,84.0
39933,2008-09,84.0
40053,2008-10,84.0
40173,2008-11,84.0
40293,2008-12,84.0
40413,2009-01,84.0
40533,2009-02,84.8
40653,2009-03,84.8
40773,2009-04,84.8
40893,2009-05,84.8
41013,2009-06,84.8
41133,2009-07,84.8
41253,2009-08,85.5
41373,2009-09,85.5
41493,2009-10,85.5
41613,2009-11,85.6
41733,2009-12,85.6
41853,2010-01,85.6
41973,2010-02,87.2
42093,2010-03,87.2
42213,2010-04,88.0
42333,2010-05,91.0
42453,2010-06,90.7
42573,2010-07,90.7
42693,2010-08,90.7
42813,2010-09,90.7
42933,2010-10,90.6
43053,2010-11,90.7
43173,2010-12,90.7
43293,2011-01,90.7
43413,2011-02,92.3
43533,2011-03,92.6
43653,2011-04,92.7
43773,2011-05,94.2
43893,2011-06,94.2
44013,2011-07,94.2
44133,2011-08,95.2
44253,2011-09,95.2
44373,2011-10,95.2
44493,2011-11,95.5
44613,2011-12,95.5
44733,2012-01,95.5
44853,2012-02,97.8
44973,2012-03,97.8
45093,2012-04,97.8
45213,2012-05,98.2
45333,2012-06,98.5
45453,2012-07,98.5
45573,2012-08,98.6
45693,2012-09,98.6
45813,2012-10,98.6
45933,2012-11,98.7
46053,2012-12,98.6
46173,2013-01,98.6
46293,2013-02,99.9
46413,2013-03,100.6
46533,2013-04,100.8
46653,2013-05,100.9
46773,2013-06,101.1
46893,2013-07,101.1
47013,2013-08,101.1
47133,2013-09,101.1
47253,2013-10,101.8
47373,2013-11,102.0
47493,2013-12,102.0
47613,2014-01,102.0
47733,2014-02,102.2
47853,2014-03,102.2
47973,2014-04,101.7
48093,2014-05,102.1
48213,2014-06,102.1
48333,2014-07,102.2
48453,2014-08,102.0
48573,2014-09,101.8
48693,2014-10,101.9
48813,2014-11,101.8
48933,2014-12,101.8
49053,2015-01,101.8
49173,2015-02,101.5
49293,2015-03,101.4
49413,2015-04,100.1
49533,2015-05,100.3
49653,2015-06,100.3
49773,2015-07,100.3
49893,2015-08,100.1
50013,2015-09,100.3
50133,2015-10,100.2
50253,2015-11,100.1
50373,2015-12,100.6
50493,2016-01,100.8
50613,2016-02,100.8
50733,2016-03,100.8
50853,2016-04,100.7
50973,2016-05,100.3
51093,2016-06,100.4
51213,2016-07,100.6
51333,2016-08,100.1
51453,2016-09,100.1
51573,2016-10,100.0
51693,2016-11,99.7
51813,2016-12,100.0
51933,2017-01,99.8
52053,2017-02,100.1
52173,2017-03,100.2
52293,2017-04,100.3
52413,2017-05,100.2
52533,2017-06,100.5
52653,2017-07,100.5
52773,2017-08,100.7
52893,2017-09,100.4
53013,2017-10,100.6
53133,2017-11,100.2
53253,2017-12,100.2
53373,2018-01,100.4
53493,2018-02,100.0
53613,2018-03,99.9
53733,2018-04,99.9
53853,2018-05,99.5
53973,2018-06,99.3
54093,2018-07,99.3
54213,2018-08,98.6
54333,2018-09,98.5
54453,2018-10,98.2
54573,2018-11,97.6
54693,2018-12,97.2
54813,2019-01,97.4
54933,2019-02,97.2
55053,2019-03,97.1
55173,2019-04,96.3
55293,2019-05,96.8
55413,2019-06,96.7
55533,2019-07,96.5
55653,2019-08,96.5
55773,2019-09,96.6
55893,2019-10,96.5
56013,2019-11,94.9
56133,2019-12,94.9
56253,2020-01,93.8
56373,2020-02,93.3
56493,2020-03,93.0
56613,2020-04,92.8
56733,2020-05,92.9
56853,2020-06,92.4
56973,2020-07,91.9
57093,2020-08,92.4
57213,2020-09,92.1
57333,2020-10,92.5
57453,2020-11,92.4
57573,2020-12,92.7
57693,2021-01,92.9
57813,2021-02,92.7
57933,2021-03,94.4
58053,2021-04,93.9
58173,2021-05,95.8
58293,2021-06,96.9
58413,2021-07,97.3
58533,2021-08,97.4
58653,2021-09,97.6
58773,2021-10,99.0
58893,2021-11,99.3
59013,2021-12,99.3
59133,2022-01,100.0
59253,2022-02,100.1
