,REF_DATE,VALUE
28947,2001-02,77.2
28948,2001-02,77.6
28949,2001-02,77.6
29067,2001-03,77.4
29068,2001-03,77.8
29069,2001-03,77.6
29187,2001-04,77.4
29188,2001-04,77.8
29189,2001-04,77.6
29307,2001-05,78.3
29308,2001-05,78.7
29309,2001-05,78.6
29427,2001-06,78.1
29428,2001-06,78.5
29429,2001-06,78.4
29547,2001-07,78.4
29548,2001-07,78.8
29549,2001-07,78.6
29667,2001-08,78.4
29668,2001-08,78.8
29669,2001-08,78.6
29787,2001-09,78.5
29788,2001-09,78.9
29789,2001-09,78.6
29907,2001-10,78.6
29908,2001-10,79.1
29909,2001-10,78.9
30027,2001-11,78.6
30028,2001-11,79.1
30029,2001-11,78.9
30147,2001-12,78.7
30148,2001-12,79.2
30149,2001-12,78.9
30267,2002-01,78.7
30268,2002-01,79.2
30269,2002-01,78.9
30387,2002-02,78.9
30388,2002-02,79.3
30389,2002-02,79.2
30507,2002-03,78.9
30508,2002-03,79.3
30509,2002-03,79.2
30627,2002-04,78.9
30628,2002-04,79.3
30629,2002-04,79.2
30747,2002-05,80.2
30748,2002-05,81.0
30749,2002-05,79.4
30867,2002-06,80.1
30868,2002-06,80.8
30869,2002-06,79.4
30987,2002-07,80.1
30988,2002-07,80.7
30989,2002-07,79.4
31107,2002-08,80.3
31108,2002-08,81.0
31109,2002-08,79.4
31227,2002-09,80.4
31228,2002-09,81.0
31229,2002-09,79.4
31347,2002-10,80.3
31348,2002-10,81.0
31349,2002-10,79.4
31467,2002-11,80.2
31468,2002-11,81.0
31469,2002-11,79.4
31587,2002-12,80.3
31588,2002-12,81.0
31589,2002-12,79.4
31707,2003-01,81.3
31708,2003-01,82.1
31709,2003-01,80.1
31827,2003-02,81.2
31828,2003-02,82.0
31829,2003-02,80.1
31947,2003-03,81.2
31948,2003-03,82.0
31949,2003-03,80.1
32067,2003-04,81.2
32068,2003-04,82.0
32069,2003-04,80.1
32187,2003-05,82.1
32188,2003-05,82.8
32189,2003-05,81.0
32307,2003-06,82.1
32308,2003-06,82.8
32309,2003-06,81.0
32427,2003-07,82.2
32428,2003-07,82.9
32429,2003-07,81.0
32547,2003-08,82.7
32548,2003-08,83.5
32549,2003-08,81.0
32667,2003-09,82.7
32668,2003-09,83.5
32669,2003-09,81.0
32787,2003-10,82.7
32788,2003-10,83.5
32789,2003-10,81.0
32907,2003-11,82.6
32908,2003-11,83.5
32909,2003-11,81.0
33027,2003-12,82.7
33028,2003-12,83.5
33029,2003-12,81.0
33147,2004-01,82.6
33148,2004-01,83.5
33149,2004-01,81.0
33267,2004-02,82.8
33268,2004-02,83.7
33269,2004-02,81.0
33387,2004-03,82.8
33388,2004-03,83.7
33389,2004-03,81.0
33507,2004-04,82.8
33508,2004-04,83.7
33509,2004-04,81.0
33627,2004-05,83.0
33628,2004-05,84.0
33629,2004-05,81.0
33747,2004-06,83.5
33748,2004-06,84.4
33749,2004-06,81.5
33867,2004-07,83.4
33868,2004-07,84.2
33869,2004-07,81.5
33987,2004-08,84.3
33988,2004-08,85.2
33989,2004-08,82.6
34107,2004-09,84.3
34108,2004-09,85.2
34109,2004-09,82.6
34227,2004-10,84.5
34228,2004-10,85.3
34229,2004-10,83.3
34347,2004-11,85.4
34348,2004-11,86.4
34349,2004-11,83.4
34467,2004-12,85.4
34468,2004-12,86.4
34469,2004-12,83.4
