,REF_DATE,VALUE
28956,2001-02,
28957,2001-02,
28958,2001-02,
29076,2001-03,
29077,2001-03,
29078,2001-03,
29196,2001-04,
29197,2001-04,
29198,2001-04,
29316,2001-05,
29317,2001-05,
29318,2001-05,
29436,2001-06,
29437,2001-06,
29438,2001-06,
29556,2001-07,
29557,2001-07,
29558,2001-07,
29676,2001-08,
29677,2001-08,
29678,2001-08,
29796,2001-09,
29797,2001-09,
29798,2001-09,
29916,2001-10,
29917,2001-10,
29918,2001-10,
30036,2001-11,
30037,2001-11,
30038,2001-11,
30156,2001-12,
30157,2001-12,
30158,2001-12,
30276,2002-01,
30277,2002-01,
30278,2002-01,
30396,2002-02,
30397,2002-02,
30398,2002-02,
30516,2002-03,
30517,2002-03,
30518,2002-03,
30636,2002-04,
30637,2002-04,
30638,2002-04,
30756,2002-05,
30757,2002-05,
30758,2002-05,
30876,2002-06,
30877,2002-06,
30878,2002-06,
30996,2002-07,
30997,2002-07,
30998,2002-07,
31116,2002-08,
31117,2002-08,
31118,2002-08,
31236,2002-09,
31237,2002-09,
31238,2002-09,
31356,2002-10,
31357,2002-10,
31358,2002-10,
31476,2002-11,
31477,2002-11,
31478,2002-11,
31596,2002-12,
31597,2002-12,
31598,2002-12,
31716,2003-01,
31717,2003-01,
31718,2003-01,
31836,2003-02,
31837,2003-02,
31838,2003-02,
31956,2003-03,
31957,2003-03,
31958,2003-03,
32076,2003-04,
32077,2003-04,
32078,2003-04,
32196,2003-05,
32197,2003-05,
32198,2003-05,
32316,2003-06,
32317,2003-06,
32318,2003-06,
32436,2003-07,
32437,2003-07,
32438,2003-07,
32556,2003-08,
32557,2003-08,
32558,2003-08,
32676,2003-09,
32677,2003-09,
32678,2003-09,
32796,2003-10,
32797,2003-10,
32798,2003-10,
32916,2003-11,
32917,2003-11,
32918,2003-11,
33036,2003-12,
33037,2003-12,
33038,2003-12,
33156,2004-01,
33157,2004-01,
33158,2004-01,
33276,2004-02,
33277,2004-02,
33278,2004-02,
33396,2004-03,
33397,2004-03,
33398,2004-03,
33516,2004-04,
33517,2004-04,
33518,2004-04,
33636,2004-05,
33637,2004-05,
33638,2004-05,
33756,2004-06,
33757,2004-06,
33758,2004-06,
33876,2004-07,
33877,2004-07,
33878,2004-07,
33996,2004-08,
33997,2004-08,
33998,2004-08,
34116,2004-09,
34117,2004-09,
34118,2004-09,
34236,2004-10,
34237,2004-10,
34238,2004-10,
34356,2004-11,
34357,2004-11,
34358,2004-11,
34476,2004-12,
34477,2004-12,
34478,2004-12,
34596,2005-01,
34597,2005-01,
34598,2005-01,
34716,2005-02,
34717,2005-02,
34718,2005-02,
34836,2005-03,
34837,2005-03,
34838,2005-03,
34956,2005-04,
34957,2005-04,
34958,2005-04,
35076,2005-05,
35077,2005-05,
35078,2005-05,
35196,2005-06,
35197,2005-06,
35198,2005-06,
35316,2005-07,
35317,2005-07,
35318,2005-07,
