,REF_DATE,VALUE
28929,2001-02,49.5
28930,2001-02,51.1
28931,2001-02,45.3
29049,2001-03,49.5
29050,2001-03,51.1
29051,2001-03,45.3
29169,2001-04,49.5
29170,2001-04,51.1
29171,2001-04,45.3
29289,2001-05,49.6
29290,2001-05,51.3
29291,2001-05,45.3
29409,2001-06,49.4
29410,2001-06,51.0
29411,2001-06,45.3
29529,2001-07,50.6
29530,2001-07,52.5
29531,2001-07,45.8
29649,2001-08,50.6
29650,2001-08,52.5
29651,2001-08,45.8
29769,2001-09,50.6
29770,2001-09,52.5
29771,2001-09,45.8
29889,2001-10,50.6
29890,2001-10,52.5
29891,2001-10,45.8
30009,2001-11,50.6
30010,2001-11,52.5
30011,2001-11,45.8
30129,2001-12,50.6
30130,2001-12,52.5
30131,2001-12,45.8
30249,2002-01,50.6
30250,2002-01,52.2
30251,2002-01,46.3
30369,2002-02,51.2
30370,2002-02,52.9
30371,2002-02,46.8
30489,2002-03,51.4
30490,2002-03,53.1
30491,2002-03,47.0
30609,2002-04,51.3
30610,2002-04,52.9
30611,2002-04,47.0
30729,2002-05,52.0
30730,2002-05,53.4
30731,2002-05,48.2
30849,2002-06,52.1
30850,2002-06,53.7
30851,2002-06,48.3
30969,2002-07,52.3
30970,2002-07,53.9
30971,2002-07,48.3
31089,2002-08,52.6
31090,2002-08,54.0
31091,2002-08,49.0
31209,2002-09,53.1
31210,2002-09,54.7
31211,2002-09,49.1
31329,2002-10,53.2
31330,2002-10,54.9
31331,2002-10,49.1
31449,2002-11,53.3
31450,2002-11,54.7
31451,2002-11,49.9
31569,2002-12,53.4
31570,2002-12,54.9
31571,2002-12,49.7
31689,2003-01,53.5
31690,2003-01,55.1
31691,2003-01,49.7
31809,2003-02,53.7
31810,2003-02,55.4
31811,2003-02,49.7
31929,2003-03,53.7
31930,2003-03,55.4
31931,2003-03,49.7
32049,2003-04,54.0
32050,2003-04,55.8
32051,2003-04,49.8
32169,2003-05,54.1
32170,2003-05,55.9
32171,2003-05,49.8
32289,2003-06,54.3
32290,2003-06,56.1
32291,2003-06,50.3
32409,2003-07,54.3
32410,2003-07,56.1
32411,2003-07,50.3
32529,2003-08,54.5
32530,2003-08,56.4
32531,2003-08,50.3
32649,2003-09,55.3
32650,2003-09,57.3
32651,2003-09,50.7
32769,2003-10,55.3
32770,2003-10,57.2
32771,2003-10,50.9
32889,2003-11,55.3
32890,2003-11,57.2
32891,2003-11,50.9
33009,2003-12,55.5
33010,2003-12,57.5
33011,2003-12,50.9
33129,2004-01,55.4
33130,2004-01,57.4
33131,2004-01,50.9
33249,2004-02,55.7
33250,2004-02,57.6
33251,2004-02,51.3
33369,2004-03,56.0
33370,2004-03,57.8
33371,2004-03,51.7
33489,2004-04,56.2
33490,2004-04,58.1
33491,2004-04,51.7
33609,2004-05,56.8
33610,2004-05,58.9
33611,2004-05,51.9
33729,2004-06,57.2
33730,2004-06,59.4
33731,2004-06,52.0
33849,2004-07,57.9
33850,2004-07,59.8
33851,2004-07,53.1
33969,2004-08,58.3
33970,2004-08,60.4
33971,2004-08,53.1
34089,2004-09,58.5
34090,2004-09,60.7
34091,2004-09,53.1
34209,2004-10,58.5
34210,2004-10,60.7
34211,2004-10,53.1
34329,2004-11,59.2
34330,2004-11,61.2
34331,2004-11,55.0
34449,2004-12,59.2
34450,2004-12,61.2
34451,2004-12,55.0
34569,2005-01,59.7
34570,2005-01,61.7
34571,2005-01,55.2
34689,2005-02,59.9
34690,2005-02,62.0
34691,2005-02,55.2
34809,2005-03,60.0
34810,2005-03,62.1
34811,2005-03,55.4
34929,2005-04,59.9
34930,2005-04,62.0
34931,2005-04,55.4
35049,2005-05,60.7
35050,2005-05,63.0
35051,2005-05,55.5
35169,2005-06,60.7
35170,2005-06,63.0
35171,2005-06,55.5
35289,2005-07,60.7
35290,2005-07,63.0
35291,2005-07,55.5
35409,2005-08,60.8
35410,2005-08,63.1
35411,2005-08,55.5
35529,2005-09,61.1
35530,2005-09,63.6
35531,2005-09,55.5
35649,2005-10,61.4
35650,2005-10,64.0
35651,2005-10,55.5
35769,2005-11,61.4
35770,2005-11,64.0
35771,2005-11,55.5
35889,2005-12,61.5
35890,2005-12,64.1
35891,2005-12,55.5
36009,2006-01,61.5
36010,2006-01,64.1
36011,2006-01,55.5
36129,2006-02,61.9
36130,2006-02,64.4
36131,2006-02,56.1
36249,2006-03,61.8
36250,2006-03,64.3
36251,2006-03,56.1
36369,2006-04,61.8
36370,2006-04,64.3
36371,2006-04,56.1
36489,2006-05,62.1
36490,2006-05,64.5
36491,2006-05,56.6
36609,2006-06,62.1
36610,2006-06,64.5
36611,2006-06,56.6
36729,2006-07,63.8
36730,2006-07,66.5
36731,2006-07,57.7
36849,2006-08,63.9
36850,2006-08,66.4
36851,2006-08,58.1
36969,2006-09,63.6
36970,2006-09,66.1
36971,2006-09,58.1
37089,2006-10,63.6
37090,2006-10,66.1
37091,2006-10,58.1
37209,2006-11,64.0
37210,2006-11,66.6
37211,2006-11,58.1
37329,2006-12,64.1
37330,2006-12,66.7
37331,2006-12,58.1
37449,2007-01,64.1
37450,2007-01,66.7
37451,2007-01,58.1
37569,2007-02,64.1
37570,2007-02,66.7
37571,2007-02,58.1
37689,2007-03,64.3
37690,2007-03,66.9
37691,2007-03,58.6
37809,2007-04,64.2
37810,2007-04,66.9
37811,2007-04,58.1
37929,2007-05,65.1
37930,2007-05,67.7
37931,2007-05,59.2
38049,2007-06,65.1
38050,2007-06,67.7
38051,2007-06,59.2
38169,2007-07,65.9
38170,2007-07,68.4
38171,2007-07,60.3
38289,2007-08,66.7
38290,2007-08,69.5
38291,2007-08,60.3
38409,2007-09,67.3
38410,2007-09,70.6
38411,2007-09,59.8
38529,2007-10,67.9
38530,2007-10,71.1
38531,2007-10,60.3
38649,2007-11,68.3
38650,2007-11,71.8
38651,2007-11,60.3
38769,2007-12,69.2
38770,2007-12,72.6
38771,2007-12,61.3
38889,2008-01,69.9
38890,2008-01,73.5
38891,2008-01,61.6
39009,2008-02,72.0
39010,2008-02,75.4
39011,2008-02,63.8
39129,2008-03,72.1
39130,2008-03,75.6
39131,2008-03,63.8
39249,2008-04,74.6
39250,2008-04,77.9
39251,2008-04,66.2
39369,2008-05,77.4
39370,2008-05,80.6
39371,2008-05,69.1
39489,2008-06,79.6
39490,2008-06,81.9
39491,2008-06,74.0
39609,2008-07,82.0
39610,2008-07,84.5
39611,2008-07,75.6
39729,2008-08,82.6
39730,2008-08,85.3
39731,2008-08,75.9
39849,2008-09,82.6
39850,2008-09,85.3
39851,2008-09,75.9
39969,2008-10,83.0
39970,2008-10,85.9
39971,2008-10,75.9
40089,2008-11,85.9
40090,2008-11,89.8
