,REF_DATE,VALUE
29034,2001-02,72.8
29035,2001-02,68.3
29036,2001-02,85.8
29154,2001-03,72.9
29155,2001-03,68.5
29156,2001-03,85.8
29274,2001-04,72.9
29275,2001-04,68.6
29276,2001-04,85.8
29394,2001-05,73.1
29395,2001-05,68.7
29396,2001-05,85.8
29514,2001-06,73.2
29515,2001-06,68.8
29516,2001-06,85.8
29634,2001-07,73.6
29635,2001-07,69.4
29636,2001-07,85.8
29754,2001-08,73.7
29755,2001-08,69.6
29756,2001-08,85.8
29874,2001-09,74.0
29875,2001-09,70.0
29876,2001-09,85.8
29994,2001-10,74.3
29995,2001-10,70.3
29996,2001-10,85.8
30114,2001-11,74.5
30115,2001-11,70.6
30116,2001-11,85.8
30234,2001-12,74.4
30235,2001-12,70.6
30236,2001-12,85.8
30354,2002-01,74.6
30355,2002-01,70.8
30356,2002-01,85.9
30474,2002-02,74.8
30475,2002-02,71.0
30476,2002-02,85.9
30594,2002-03,75.0
30595,2002-03,71.4
30596,2002-03,85.9
30714,2002-04,75.3
30715,2002-04,71.7
30716,2002-04,86.2
30834,2002-05,75.3
30835,2002-05,71.9
30836,2002-05,85.9
30954,2002-06,75.3
30955,2002-06,71.9
30956,2002-06,85.9
31074,2002-07,75.3
31075,2002-07,71.9
31076,2002-07,85.9
31194,2002-08,75.3
31195,2002-08,71.9
31196,2002-08,85.9
31314,2002-09,75.5
31315,2002-09,72.0
31316,2002-09,85.9
31434,2002-10,75.8
31435,2002-10,72.6
31436,2002-10,85.9
31554,2002-11,75.9
31555,2002-11,72.8
31556,2002-11,85.9
31674,2002-12,75.9
31675,2002-12,72.8
31676,2002-12,85.9
31794,2003-01,76.2
31795,2003-01,73.2
31796,2003-01,85.9
31914,2003-02,76.8
31915,2003-02,74.2
31916,2003-02,85.9
32034,2003-03,77.1
32035,2003-03,74.5
32036,2003-03,85.9
32154,2003-04,77.3
32155,2003-04,74.8
32156,2003-04,85.9
32274,2003-05,78.0
32275,2003-05,75.4
32276,2003-05,86.7
32394,2003-06,78.0
32395,2003-06,75.4
32396,2003-06,86.9
32514,2003-07,78.1
32515,2003-07,75.5
32516,2003-07,86.9
32634,2003-08,78.0
32635,2003-08,75.4
32636,2003-08,86.9
32754,2003-09,78.1
32755,2003-09,75.5
32756,2003-09,87.1
32874,2003-10,78.5
32875,2003-10,76.0
32876,2003-10,87.1
