,REF_DATE,VALUE,Age group
12765,2001,153905.0,All ages
74175,2002,155184.0,All ages
135585,2003,156739.0,All ages
196995,2004,159256.0,All ages
258405,2005,161332.0,All ages
319815,2006,164477.0,All ages
381225,2007,166354.0,All ages
442635,2008,168561.0,All ages
504045,2009,170762.0,All ages
565455,2010,172753.0,All ages
626865,2011,174304.0,All ages
688275,2012,176526.0,All ages
749685,2013,178496.0,All ages
811095,2014,180615.0,All ages
872505,2015,183864.0,All ages
933915,2016,189040.0,All ages
995325,2017,193390.0,All ages
1056735,2018,198060.0,All ages
1118145,2019,202497.0,All ages
1179555,2020,203907.0,All ages
1240965,2021,205834.0,All ages
1302375,2022,208961.0,All ages
