,REF_DATE,VALUE,Age group
56580,2001,5899712.0,All ages
117990,2002,5895131.0,All ages
179400,2003,5898684.0,All ages
240810,2004,5905578.0,All ages
302220,2005,5911309.0,All ages
363630,2006,5905017.0,All ages
425040,2007,5916431.0,All ages
486450,2008,5933175.0,All ages
547860,2009,5946110.0,All ages
609270,2010,5965530.0,All ages
670680,2011,5973996.0,All ages
732090,2012,5980516.0,All ages
793500,2013,5996245.0,All ages
854910,2014,6011922.0,All ages
916320,2015,6022558.0,All ages
977730,2016,6049517.0,All ages
1039140,2017,6062888.0,All ages
1100550,2018,6086025.0,All ages
1161960,2019,6110440.0,All ages
1223370,2020,6138322.0,All ages
1284780,2021,6197486.0,All ages
1346190,2022,6261607.0,All ages
