,REF_DATE,VALUE,Age group
13800,2001,3946285.0,All ages
75210,2002,3964161.0,All ages
136620,2003,3991964.0,All ages
198030,2004,4023509.0,All ages
259440,2005,4054482.0,All ages
320850,2006,4081694.0,All ages
382260,2007,4114724.0,All ages
443670,2008,4150787.0,All ages
505080,2009,4180456.0,All ages
566490,2010,4211504.0,All ages
627900,2011,4240925.0,All ages
689310,2012,4278901.0,All ages
750720,2013,4310124.0,All ages
812130,2014,4341356.0,All ages
873540,2015,4364838.0,All ages
934950,2016,4399488.0,All ages
996360,2017,4437505.0,All ages
1057770,2018,4483793.0,All ages
1119180,2019,4527320.0,All ages
1180590,2020,4563097.0,All ages
1242000,2021,4595992.0,All ages
1303410,2022,4661671.0,All ages
