,REF_DATE,VALUE,Age group
61065,2001,28133.0,All ages
122475,2002,28822.0,All ages
183885,2003,29322.0,All ages
245295,2004,29857.0,All ages
306705,2005,30339.0,All ages
368115,2006,30813.0,All ages
429525,2007,31395.0,All ages
490935,2008,31892.0,All ages
552345,2009,32597.0,All ages
613755,2010,33352.0,All ages
675165,2011,34192.0,All ages
736575,2012,34672.0,All ages
797985,2013,35337.0,All ages
859395,2014,35971.0,All ages
920805,2015,36488.0,All ages
982215,2016,36975.0,All ages
1043625,2017,37546.0,All ages
1105035,2018,38143.0,All ages
1166445,2019,38592.0,All ages
1227855,2020,39157.0,All ages
1289265,2021,39711.0,All ages
1350675,2022,40526.0,All ages
