,REF_DATE,VALUE,Age group
28980,2001,14570.0,All ages
90390,2002,14633.0,All ages
151800,2003,14744.0,All ages
213210,2004,14832.0,All ages
274620,2005,14839.0,All ages
336030,2006,14888.0,All ages
397440,2007,15062.0,All ages
458850,2008,15265.0,All ages
520260,2009,15484.0,All ages
581670,2010,15695.0,All ages
643080,2011,15891.0,All ages
704490,2012,16089.0,All ages
765900,2013,16181.0,All ages
827310,2014,16284.0,All ages
888720,2015,16310.0,All ages
950130,2016,16357.0,All ages
1011540,2017,16662.0,All ages
1072950,2018,16970.0,All ages
1134360,2019,17299.0,All ages
1195770,2020,17762.0,All ages
1257180,2021,18094.0,All ages
1318590,2022,18396.0,All ages
