,REF_DATE,VALUE,Age group
17940,2001,34433.0,All ages
79350,2002,34050.0,All ages
140760,2003,33733.0,All ages
202170,2004,33458.0,All ages
263580,2005,33230.0,All ages
324990,2006,32998.0,All ages
386400,2007,32735.0,All ages
447810,2008,32509.0,All ages
509220,2009,32367.0,All ages
570630,2010,32235.0,All ages
632040,2011,31973.0,All ages
693450,2012,31952.0,All ages
754860,2013,31834.0,All ages
816270,2014,31675.0,All ages
877680,2015,31673.0,All ages
939090,2016,31688.0,All ages
1000500,2017,31650.0,All ages
1061910,2018,31597.0,All ages
1123320,2019,31687.0,All ages
1184730,2020,31751.0,All ages
1246140,2021,31742.0,All ages
1307550,2022,31999.0,All ages
