,REF_DATE,VALUE,Age group
39330,2001,49250.0,All ages
100740,2002,49249.0,All ages
162150,2003,49600.0,All ages
223560,2004,50208.0,All ages
284970,2005,50710.0,All ages
346380,2006,51376.0,All ages
407790,2007,52027.0,All ages
469200,2008,53079.0,All ages
530610,2009,53888.0,All ages
592020,2010,55296.0,All ages
653430,2011,55927.0,All ages
714840,2012,56607.0,All ages
776250,2013,57256.0,All ages
837660,2014,58052.0,All ages
899070,2015,58873.0,All ages
960480,2016,59849.0,All ages
1021890,2017,60867.0,All ages
1083300,2018,61507.0,All ages
1144710,2019,62458.0,All ages
1206120,2020,62990.0,All ages
1267530,2021,63145.0,All ages
1328940,2022,63822.0,All ages
