,REF_DATE,VALUE,Age group
29670,2001,40585.0,All ages
91080,2002,40696.0,All ages
152490,2003,40885.0,All ages
213900,2004,40915.0,All ages
275310,2005,40960.0,All ages
336720,2006,40976.0,All ages
398130,2007,40747.0,All ages
459540,2008,40567.0,All ages
520950,2009,40247.0,All ages
582360,2010,40170.0,All ages
643770,2011,39938.0,All ages
705180,2012,39352.0,All ages
766590,2013,39323.0,All ages
828000,2014,39360.0,All ages
889410,2015,39348.0,All ages
950820,2016,39503.0,All ages
1012230,2017,39681.0,All ages
1073640,2018,40020.0,All ages
1135050,2019,40559.0,All ages
1196460,2020,40823.0,All ages
1257870,2021,40919.0,All ages
1319280,2022,41217.0,All ages
