,REF_DATE,VALUE,Age group
52785,2001,34694.0,All ages
114195,2002,34480.0,All ages
175605,2003,34598.0,All ages
237015,2004,34994.0,All ages
298425,2005,35364.0,All ages
359835,2006,35677.0,All ages
421245,2007,36038.0,All ages
482655,2008,36407.0,All ages
544065,2009,36489.0,All ages
605475,2010,36601.0,All ages
666885,2011,36726.0,All ages
728295,2012,36993.0,All ages
789705,2013,37377.0,All ages
851115,2014,37854.0,All ages
912525,2015,38488.0,All ages
973935,2016,39398.0,All ages
1035345,2017,40163.0,All ages
1096755,2018,40985.0,All ages
1158165,2019,41611.0,All ages
1219575,2020,42178.0,All ages
1280985,2021,42770.0,All ages
1342395,2022,43529.0,All ages
