,REF_DATE,VALUE,Age group
19665,2001,3008.0,All ages
81075,2002,3004.0,All ages
142485,2003,3012.0,All ages
203895,2004,3015.0,All ages
265305,2005,3057.0,All ages
326715,2006,3091.0,All ages
388125,2007,3148.0,All ages
449535,2008,3206.0,All ages
510945,2009,3276.0,All ages
572355,2010,3320.0,All ages
633765,2011,3327.0,All ages
695175,2012,3267.0,All ages
756585,2013,3191.0,All ages
817995,2014,3110.0,All ages
879405,2015,3036.0,All ages
940815,2016,2918.0,All ages
1002225,2017,2921.0,All ages
1063635,2018,2950.0,All ages
1125045,2019,2978.0,All ages
1186455,2020,2945.0,All ages
1247865,2021,2940.0,All ages
1309275,2022,2953.0,All ages
