,REF_DATE,VALUE,Age group
45195,2001,11078.0,All ages
106605,2002,11427.0,All ages
168015,2003,11778.0,All ages
229425,2004,12087.0,All ages
290835,2005,12381.0,All ages
352245,2006,12460.0,All ages
413655,2007,12615.0,All ages
475065,2008,12747.0,All ages
536475,2009,12810.0,All ages
597885,2010,12778.0,All ages
659295,2011,12735.0,All ages
720705,2012,13214.0,All ages
782115,2013,13643.0,All ages
843525,2014,14051.0,All ages
904935,2015,14243.0,All ages
966345,2016,14592.0,All ages
1027755,2017,14865.0,All ages
1089165,2018,15062.0,All ages
1150575,2019,15368.0,All ages
1211985,2020,15610.0,All ages
1273395,2021,15880.0,All ages
1334805,2022,16347.0,All ages
