,REF_DATE,VALUE,Age group
15525,2001,59815.0,All ages
76935,2002,60049.0,All ages
138345,2003,60345.0,All ages
199755,2004,60708.0,All ages
261165,2005,61050.0,All ages
322575,2006,61454.0,All ages
383985,2007,61591.0,All ages
445395,2008,62433.0,All ages
506805,2009,63777.0,All ages
568215,2010,65292.0,All ages
629625,2011,67616.0,All ages
691035,2012,68188.0,All ages
752445,2013,68159.0,All ages
813855,2014,68692.0,All ages
875265,2015,69480.0,All ages
936675,2016,71533.0,All ages
998085,2017,74485.0,All ages
1059495,2018,76649.0,All ages
1120905,2019,79210.0,All ages
1182315,2020,81602.0,All ages
1243725,2021,83381.0,All ages
1305135,2022,86865.0,All ages
