,REF_DATE,VALUE,Age group
33810,2001,111909.0,All ages
95220,2002,111618.0,All ages
156630,2003,111799.0,All ages
218040,2004,111785.0,All ages
279450,2005,112463.0,All ages
340860,2006,112357.0,All ages
402270,2007,111170.0,All ages
463680,2008,109964.0,All ages
525090,2009,108767.0,All ages
586500,2010,107512.0,All ages
647910,2011,106670.0,All ages
709320,2012,106000.0,All ages
770730,2013,105490.0,All ages
832140,2014,105149.0,All ages
893550,2015,104521.0,All ages
954960,2016,104771.0,All ages
1016370,2017,105259.0,All ages
1077780,2018,105756.0,All ages
1139190,2019,106076.0,All ages
1200600,2020,106977.0,All ages
1262010,2021,108030.0,All ages
1323420,2022,109051.0,All ages
