,REF_DATE,VALUE,Age group
30705,2001,17844.0,All ages
92115,2002,18050.0,All ages
153525,2003,18311.0,All ages
214935,2004,18536.0,All ages
276345,2005,18723.0,All ages
337755,2006,18786.0,All ages
399165,2007,18783.0,All ages
460575,2008,18810.0,All ages
521985,2009,18828.0,All ages
583395,2010,18856.0,All ages
644805,2011,18964.0,All ages
706215,2012,19423.0,All ages
767625,2013,19542.0,All ages
829035,2014,19699.0,All ages
890445,2015,19846.0,All ages
951855,2016,19805.0,All ages
1013265,2017,20020.0,All ages
1074675,2018,20079.0,All ages
1136085,2019,20027.0,All ages
1197495,2020,20001.0,All ages
1258905,2021,20054.0,All ages
1320315,2022,20258.0,All ages
