,REF_DATE,VALUE,Age group
46920,2001,11866.0,All ages
108330,2002,11967.0,All ages
169740,2003,12092.0,All ages
231150,2004,12149.0,All ages
292560,2005,12327.0,All ages
353970,2006,12515.0,All ages
415380,2007,12936.0,All ages
476790,2008,13387.0,All ages
538200,2009,13777.0,All ages
599610,2010,14146.0,All ages
661020,2011,14494.0,All ages
722430,2012,14796.0,All ages
783840,2013,15123.0,All ages
845250,2014,15410.0,All ages
906660,2015,15352.0,All ages
968070,2016,15488.0,All ages
1029480,2017,15048.0,All ages
1090890,2018,14841.0,All ages
1152300,2019,14525.0,All ages
1213710,2020,14124.0,All ages
1275120,2021,13913.0,All ages
1336530,2022,14108.0,All ages
