,REF_DATE,VALUE,Age group
52440,2001,46379.0,All ages
113850,2002,46588.0,All ages
175260,2003,47234.0,All ages
236670,2004,48243.0,All ages
298080,2005,49189.0,All ages
359490,2006,49788.0,All ages
420900,2007,50551.0,All ages
482310,2008,51331.0,All ages
543720,2009,51596.0,All ages
605130,2010,52010.0,All ages
666540,2011,52521.0,All ages
727950,2012,53054.0,All ages
789360,2013,53287.0,All ages
850770,2014,53886.0,All ages
912180,2015,55007.0,All ages
973590,2016,56066.0,All ages
1035000,2017,57242.0,All ages
1096410,2018,58376.0,All ages
1157820,2019,59308.0,All ages
1219230,2020,59997.0,All ages
1280640,2021,60848.0,All ages
1342050,2022,61865.0,All ages
