,REF_DATE,VALUE,Age group
48300,2001,25277.0,All ages
109710,2002,25109.0,All ages
171120,2003,24935.0,All ages
232530,2004,24750.0,All ages
293940,2005,24659.0,All ages
355350,2006,24762.0,All ages
416760,2007,25080.0,All ages
478170,2008,25369.0,All ages
539580,2009,25522.0,All ages
600990,2010,25502.0,All ages
662400,2011,25461.0,All ages
723810,2012,25698.0,All ages
785220,2013,25984.0,All ages
846630,2014,26327.0,All ages
908040,2015,26768.0,All ages
969450,2016,27073.0,All ages
1030860,2017,27306.0,All ages
1092270,2018,27550.0,All ages
1153680,2019,27900.0,All ages
1215090,2020,27927.0,All ages
1276500,2021,27930.0,All ages
1337910,2022,28052.0,All ages
