,REF_DATE,VALUE,Age group
55200,2001,11173.0,All ages
116610,2002,11165.0,All ages
178020,2003,11205.0,All ages
239430,2004,11244.0,All ages
300840,2005,11282.0,All ages
362250,2006,11389.0,All ages
423660,2007,11643.0,All ages
485070,2008,11712.0,All ages
546480,2009,11808.0,All ages
607890,2010,11801.0,All ages
669300,2011,11891.0,All ages
730710,2012,12191.0,All ages
792120,2013,12355.0,All ages
853530,2014,12565.0,All ages
914940,2015,12729.0,All ages
976350,2016,12810.0,All ages
1037760,2017,12998.0,All ages
1099170,2018,13211.0,All ages
1160580,2019,13448.0,All ages
1221990,2020,13543.0,All ages
1283400,2021,13643.0,All ages
1344810,2022,13784.0,All ages
