,REF_DATE,VALUE,Age group
24495,2001,82058.0,All ages
85905,2002,82594.0,All ages
147315,2003,83647.0,All ages
208725,2004,84569.0,All ages
270135,2005,85688.0,All ages
331545,2006,86487.0,All ages
392955,2007,87308.0,All ages
454365,2008,88621.0,All ages
515775,2009,89795.0,All ages
577185,2010,90964.0,All ages
638595,2011,92158.0,All ages
700005,2012,93060.0,All ages
761415,2013,93889.0,All ages
822825,2014,94717.0,All ages
884235,2015,95527.0,All ages
945645,2016,96594.0,All ages
1007055,2017,97851.0,All ages
1068465,2018,98817.0,All ages
1129875,2019,99750.0,All ages
1191285,2020,100821.0,All ages
1252695,2021,102526.0,All ages
1314105,2022,104076.0,All ages
