,REF_DATE,VALUE,Age group
12075,2001,962390.0,All ages
73485,2002,984764.0,All ages
134895,2003,1001160.0,All ages
196305,2004,1017462.0,All ages
257715,2005,1042421.0,All ages
319125,2006,1074031.0,All ages
380535,2007,1104317.0,All ages
441945,2008,1131781.0,All ages
503355,2009,1163333.0,All ages
564765,2010,1183929.0,All ages
626175,2011,1205342.0,All ages
687585,2012,1234307.0,All ages
748995,2013,1271773.0,All ages
810405,2014,1312214.0,All ages
871815,2015,1338092.0,All ages
933225,2016,1364394.0,All ages
994635,2017,1390149.0,All ages
1056045,2018,1415351.0,All ages
1117455,2019,1442835.0,All ages
1178865,2020,1467219.0,All ages
1240275,2021,1480159.0,All ages
1301685,2022,1516719.0,All ages
