,REF_DATE,VALUE,Age group
55545,2001,24120.0,All ages
116955,2002,24357.0,All ages
178365,2003,24709.0,All ages
239775,2004,25059.0,All ages
301185,2005,25457.0,All ages
362595,2006,26195.0,All ages
424005,2007,26565.0,All ages
485415,2008,26702.0,All ages
546825,2009,26879.0,All ages
608235,2010,26902.0,All ages
669645,2011,27272.0,All ages
731055,2012,28315.0,All ages
792465,2013,28901.0,All ages
853875,2014,29567.0,All ages
915285,2015,29890.0,All ages
976695,2016,29808.0,All ages
1038105,2017,29802.0,All ages
1099515,2018,29985.0,All ages
1160925,2019,29920.0,All ages
1222335,2020,29839.0,All ages
1283745,2021,29777.0,All ages
1345155,2022,29730.0,All ages
