,REF_DATE,VALUE,Age group
14835,2001,11468.0,All ages
76245,2002,11548.0,All ages
137655,2003,11674.0,All ages
199065,2004,11714.0,All ages
260475,2005,11700.0,All ages
321885,2006,11770.0,All ages
383295,2007,11907.0,All ages
444705,2008,12345.0,All ages
506115,2009,12459.0,All ages
567525,2010,12713.0,All ages
628935,2011,12938.0,All ages
690345,2012,13142.0,All ages
751755,2013,13214.0,All ages
813165,2014,13310.0,All ages
874575,2015,13418.0,All ages
935985,2016,13507.0,All ages
997395,2017,13606.0,All ages
1058805,2018,13631.0,All ages
1120215,2019,13507.0,All ages
1181625,2020,13477.0,All ages
1243035,2021,13488.0,All ages
1304445,2022,13667.0,All ages
