,REF_DATE,VALUE,Age group
14490,2001,13611.0,All ages
75900,2002,13669.0,All ages
137310,2003,13768.0,All ages
198720,2004,13772.0,All ages
260130,2005,13718.0,All ages
321540,2006,13693.0,All ages
382950,2007,13605.0,All ages
444360,2008,13609.0,All ages
505770,2009,13743.0,All ages
567180,2010,13885.0,All ages
628590,2011,13973.0,All ages
690000,2012,14068.0,All ages
751410,2013,14124.0,All ages
812820,2014,14286.0,All ages
874230,2015,14341.0,All ages
935640,2016,14421.0,All ages
997050,2017,14384.0,All ages
1058460,2018,14354.0,All ages
1119870,2019,14282.0,All ages
1181280,2020,14305.0,All ages
1242690,2021,14282.0,All ages
1304100,2022,14411.0,All ages
