,REF_DATE,VALUE,Age group
9660,2001,164210.0,All ages
71070,2002,163810.0,All ages
132480,2003,164213.0,All ages
193890,2004,164622.0,All ages
255300,2005,165278.0,All ages
316710,2006,166751.0,All ages
378120,2007,167308.0,All ages
439530,2008,168016.0,All ages
500940,2009,168148.0,All ages
562350,2010,167687.0,All ages
623760,2011,167609.0,All ages
685170,2012,168205.0,All ages
746580,2013,168671.0,All ages
807990,2014,168522.0,All ages
869400,2015,168602.0,All ages
930810,2016,169136.0,All ages
992220,2017,169578.0,All ages
1053630,2018,171452.0,All ages
1115040,2019,171968.0,All ages
1176450,2020,172476.0,All ages
1237860,2021,172832.0,All ages
1299270,2022,175357.0,All ages
