,REF_DATE,VALUE,Age group
28290,2001,1341.0,All ages
89700,2002,1356.0,All ages
151110,2003,1362.0,All ages
212520,2004,1344.0,All ages
273930,2005,1345.0,All ages
335340,2006,1415.0,All ages
396750,2007,1386.0,All ages
458160,2008,1399.0,All ages
519570,2009,1478.0,All ages
580980,2010,1520.0,All ages
642390,2011,1598.0,All ages
703800,2012,1600.0,All ages
765210,2013,1678.0,All ages
826620,2014,1690.0,All ages
888030,2015,1706.0,All ages
949440,2016,1717.0,All ages
1010850,2017,1800.0,All ages
1072260,2018,1811.0,All ages
1133670,2019,1844.0,All ages
1195080,2020,1836.0,All ages
1256490,2021,1869.0,All ages
1317900,2022,1908.0,All ages
