,REF_DATE,VALUE,Age group
44505,2001,9611.0,All ages
105915,2002,9950.0,All ages
167325,2003,10215.0,All ages
228735,2004,10494.0,All ages
290145,2005,10876.0,All ages
351555,2006,11081.0,All ages
412965,2007,11458.0,All ages
474375,2008,11993.0,All ages
535785,2009,12466.0,All ages
597195,2010,12895.0,All ages
658605,2011,13320.0,All ages
720015,2012,13777.0,All ages
781425,2013,13869.0,All ages
842835,2014,13618.0,All ages
904245,2015,13806.0,All ages
965655,2016,13972.0,All ages
1027065,2017,14133.0,All ages
1088475,2018,14140.0,All ages
1149885,2019,14156.0,All ages
1211295,2020,14160.0,All ages
1272705,2021,14195.0,All ages
1334115,2022,14391.0,All ages
