,REF_DATE,VALUE,Age group
50025,2001,92786.0,All ages
111435,2002,92547.0,All ages
172845,2003,92843.0,All ages
234255,2004,93501.0,All ages
295665,2005,94358.0,All ages
357075,2006,95606.0,All ages
418485,2007,97468.0,All ages
479895,2008,99272.0,All ages
541305,2009,100129.0,All ages
602715,2010,100586.0,All ages
664125,2011,100830.0,All ages
725535,2012,102073.0,All ages
786945,2013,103413.0,All ages
848355,2014,104711.0,All ages
909765,2015,106093.0,All ages
971175,2016,108213.0,All ages
1032585,2017,110509.0,All ages
1093995,2018,114056.0,All ages
1155405,2019,115683.0,All ages
1216815,2020,116851.0,All ages
1278225,2021,117137.0,All ages
1339635,2022,119408.0,All ages
