,REF_DATE,VALUE,Age group
5175,2001,152761.0,All ages
66585,2002,154796.0,All ages
127995,2003,156300.0,All ages
189405,2004,157133.0,All ages
250815,2005,157347.0,All ages
312225,2006,158214.0,All ages
373635,2007,158849.0,All ages
435045,2008,160029.0,All ages
496455,2009,161564.0,All ages
557865,2010,163013.0,All ages
619275,2011,164287.0,All ages
680685,2012,164353.0,All ages
742095,2013,163807.0,All ages
803505,2014,164019.0,All ages
864915,2015,164334.0,All ages
926325,2016,166004.0,All ages
987735,2017,169487.0,All ages
1049145,2018,172702.0,All ages
1110555,2019,174723.0,All ages
1171965,2020,176176.0,All ages
1233375,2021,176738.0,All ages
1294785,2022,180070.0,All ages
