,REF_DATE,VALUE,Age group
26565,2001,11877.0,All ages
87975,2002,11820.0,All ages
149385,2003,11813.0,All ages
210795,2004,11867.0,All ages
272205,2005,11936.0,All ages
333615,2006,11900.0,All ages
395025,2007,11955.0,All ages
456435,2008,12070.0,All ages
517845,2009,12222.0,All ages
579255,2010,12423.0,All ages
640665,2011,12659.0,All ages
702075,2012,12738.0,All ages
763485,2013,12768.0,All ages
824895,2014,12762.0,All ages
886305,2015,12932.0,All ages
947715,2016,12881.0,All ages
1009125,2017,12905.0,All ages
1070535,2018,13049.0,All ages
1131945,2019,13283.0,All ages
1193355,2020,13508.0,All ages
1254765,2021,13935.0,All ages
1316175,2022,14537.0,All ages
