,REF_DATE,VALUE,Age group
46230,2001,9620.0,All ages
107640,2002,9843.0,All ages
169050,2003,10060.0,All ages
230460,2004,10296.0,All ages
291870,2005,10646.0,All ages
353280,2006,11106.0,All ages
414690,2007,11391.0,All ages
476100,2008,11604.0,All ages
537510,2009,11881.0,All ages
598920,2010,11940.0,All ages
660330,2011,12124.0,All ages
721740,2012,12579.0,All ages
783150,2013,12920.0,All ages
844560,2014,13227.0,All ages
905970,2015,13368.0,All ages
967380,2016,13350.0,All ages
1028790,2017,13241.0,All ages
1090200,2018,13254.0,All ages
1151610,2019,13300.0,All ages
1213020,2020,13141.0,All ages
1274430,2021,12940.0,All ages
1335840,2022,12956.0,All ages
